ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Nepal Chiuri Ghyu UdhYog,Arghakhanchi,Private,2040,
JAY  MATADI CABLE NETWORK,Arghakhanchi,Private,2054,
ARGHAKHANCHI TECHNICAL TRAINING SCHOOL,Arghakhanchi,Private,2056,
MOUNT EVEREST INDUSTRIES,Arghakhanchi,Private,2058,
P.M. PRABHAT CABLE NETWORK,Arghakhanchi,Private,2059,
SUNRISE ENGLISH BOARDING SCHOOL ARGHAKHANCHI,Arghakhanchi,Private,2061,
HIMALAYAN ENGLISH BOARDING SCHOOL ARGHAKHANCHI,Arghakhanchi,Private,2061,
MALIKA ENGLISH BOARDING SCHOOL ARGHAKHANCHI,Arghakhanchi,Private,2061,
GAURI SHANKAR ENGLISH BOARDING SCHOOL( ARGHAKHANCHI),Arghakhanchi,Private,2061,
ADGURI EDUCATION & SOUL DEVELOPING BOARDING SCHOOL,Arghakhanchi,Private,2061,
PRAGATI ENGLISH BOARDING SCHOOL ARGHAKHANCHI,Arghakhanchi,Private,2061,
KALIKA ENGLISH BOARDING SCHOOL ARGHAKHANCHI,Arghakhanchi,Private,2061,
GREEN STAR ENGLISH BOARDING SCHOOL,Arghakhanchi,Private,2063,
ARGHAKHANCHI CABLE NETWORK,Arghakhanchi,Private,2063,
MOTHERLAND ENGLISH BOARDING SCHOOL ARGHAKHA*,Arghakhanchi,Private,2063,
Initiative for the New Epoch Polyclinic & Research Centre,Arghakhanchi,Private,2064,
Adguri Nawa Jyoti English Boarding School,Arghakhanchi,Private,2064,
Sandhikharka Green English Boarding School,Arghakhanchi,Private,2064,
Bright Life English Boarding School Pokharathok,Arghakhanchi,Private,2064,
Resunga Sunrise English Boarding School,Arghakhanchi,Private,2065,
Nepal Sahid Memorial English Boarding School,Arghakhanchi,Private,2065,
Supa Deurali Cable Network,Arghakhanchi,Private,2065,
Nepal English Boarding School Arghakhanchi,Arghakhanchi,Private,2065,
Somtirtha Cable Network,Arghakhanchi,Private,2065,
Shining Star English Boarding School Arghakhanchi,Arghakhanchi,Private,2065,
Argha Galaxy English Boarding School,Arghakhanchi,Private,2065,
Om Adhikari Cable Network,Arghakhanchi,Private,2065,
Narshinha English Boarding School,Arghakhanchi,Private,2065,
Shiva-sandhya English Boarding School,Arghakhanchi,Private,2065,
Khan Nawdeep Academy,Arghakhanchi,Private,2065,
Vast Vision English Boarding School,Arghakhanchi,Private,2065,
Thada Cable Network,Arghakhanchi,Private,2065,
Paudel Cable Television,Arghakhanchi,Private,2065,
Bal Balika Boarding School,Arghakhanchi,Private,2065,
Sitapur English Boarding School,Arghakhanchi,Private,2066,
Arghatosh Global English Boarding School,Arghakhanchi,Private,2066,
Arghakhanchi Bright Future English Boarding School,Arghakhanchi,Private,2066,
Arghakhanchi Bright Star English Boarding School,Arghakhanchi,Private,2066,
Arghakhanchi Paramount Childrens Academy,Arghakhanchi,Private,2066,
Arghakhanchi Paradise Childrens Academy,Arghakhanchi,Private,2066,
Arghakhanchi Chandani English Boarding School,Arghakhanchi,Private,2066,
K.B.G. Crusher,Arghakhanchi,Private,2066,
Panini Cable Network,Arghakhanchi,Private,2066,
Gulmi Media Pvt.Ltd.,Arghakhanchi,Private,2066,
Machapuchchhre Auto Mobile and Investment,Arghakhanchi,Private,2066,
Glorious English Medium School Arghakhanchi,Arghakhanchi,Private,2066,
Dhanchaur English Boarding School,Arghakhanchi,Private,2066,
Jayamata English Boarding School,Arghakhanchi,Private,2066,
Arghakhanchi Deurali Boarding School,Arghakhanchi,Private,2066,
Mountain English Boarding School Arghakhanchi,Arghakhanchi,Private,2066,
Hill Top English Boarding School Gokhunga Arghakhanchi,Arghakhanchi,Private,2066,
Jaljala English Boarding School Arghakhanchi,Arghakhanchi,Private,2066,
Indralok Health Care Center,Arghakhanchi,Private,2067,
Arghatosh Motherland English Boarding School,Arghakhanchi,Private,2067,
Highland Mining,Arghakhanchi,Private,2067,
Arghakhanchi Zenith English Boarding School,Arghakhanchi,Private,2067,
Thula Pokhara Cable Network,Arghakhanchi,Private,2068,
Chhatra-gunj Cable Network,Arghakhanchi,Private,2068,
Supa Deurali Suddha Khanepani,Arghakhanchi,Private,2068,
Naya Media,Arghakhanchi,Private,2068,
Sandhikharka English Boarding School,Arghakhanchi,Private,2068,
Arghakhanchi Hospital,Arghakhanchi,Private,2068,
Arghakhanchi Bahuddheshiya Bikas Company,Arghakhanchi,Private,2068,
Rapti Gabion System,Arghakhanchi,Private,2068,
Arghakhanchi Popular English Boarding School,Arghakhanchi,Private,2068,
Pashchim Nepal Bakhra Palan Company,Arghakhanchi,Private,2068,
Qubex,Arghakhanchi,Private,2068,
Dhaulagiri English Boarding School Arghakhanchi,Arghakhanchi,Private,2068,
Deurali Health Care Center,Arghakhanchi,Private,2069,
Galaxy English Boarding School Arghakhanchi,Arghakhanchi,Private,2069,
Airawati Institute of Technology and Research,Arghakhanchi,Private,2069,
Pahad Itta Udhyog,Arghakhanchi,Private,2069,
Tarjen Driving,Arghakhanchi,Private,2069,
Supa Dewrali Roda Dhunga Udhyog,Arghakhanchi,Private,2069,
Deurali Technical College of Technology,Arghakhanchi,Private,2069,
Arghakhanchi Maha Udhyog,Arghakhanchi,Private,2070,
Jaya Matadi Broadcasters,Arghakhanchi,Private,2070,
Dimond Krishi Farm Pvt.Ltd.,Arghakhanchi,Private,2070,
Sandhikharka Construction,Arghakhanchi,Private,2071,
Namuna Agro Livestock Business,Arghakhanchi,Private,2071,
Lumbini Supa Deurali Agro Farms,Arghakhanchi,Private,2071,
Hamro Agro & Research Center,Arghakhanchi,Private,2071,
Acharya Deurali Agro Farm,Arghakhanchi,Private,2071,
Arghakhanchi Hatchery,Arghakhanchi,Private,2071,
nidan dental clinic,Arghakhanchi,Private,2071,
Anushka Sub Money Exchange,Arghakhanchi,Private,2071,
Narpani Supa Deurali Resort,Arghakhanchi,Private,2071,
Argha Mineral Water,Arghakhanchi,Private,2071,
Bhairab Bhauuddeshya Krishi,Arghakhanchi,Private,2071,
Simalpani Agro Industries And Research Centre,Arghakhanchi,Private,2071,
Everest Old Hotel Arghakhanchi,Arghakhanchi,Private,2071,
Khiljee Bhagawati Crusher Udhyog,Arghakhanchi,Private,2071,
Jhimruk Ekikrit Krishi Farm,Arghakhanchi,Private,2071,
