ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Mechanical Engineering Works & Consultants,Baglung,Private,2045,
HOTEL HIL VIEW,Baglung,Private,2049,
HOTEL DHAULAGIRI VIEW RESORT,Baglung,Private,2051,
KALI GANDAKI RODA UDYOG,Baglung,Private,2052,
DHAWALAGIRI GOBAR GAS COMPANY PVT.LTD.,Baglung,Private,2053,
"DHAWALAGIRI CIVIL, ELECTRICAL & MECHANICAL ENGINEERING",Baglung,Private,2053,
DHAWALAGIRI COLOUR LAB,Baglung,Private,2054,
BAGLUNG CABLE T.V. PVT.LTD.,Baglung,Private,2054,
DHAULAGIRI PRAKASHAN,Baglung,Private,2054,
HOTEL KRISHNA GANDAKI PVT.LTD.,Baglung,Private,2054,
BAGLUNG DISTILLARY PVT.LTD.,Baglung,Private,2055,
baglung chauni rodha dhunga udhaga,Baglung,Private,2055,
DHAWALAGIRI CABLE T.V.,Baglung,Private,2056,
DHAULAGIRI MEDIA BIKAS TATHA PRAKASHAN GRIHA,Baglung,Private,2056,
DHAULAGIRI JADIBUTI BEBASTHAPAN KENDRA,Baglung,Private,2056,
B. & U.N. NURSING HOME,Baglung,Private,2056,
BAGLUNG PRABIDHIK SIKCHHYALAYA,Baglung,Private,2056,
SARBAJEET & CONSTRUCTION,Baglung,Private,2057,
BAGLUNG TARA APPLE PRODUCTION,Baglung,Private,2057,
DHAULAGIRI ALAINCHHI PRODUCTION,Baglung,Private,2057,
SWABHIMAN URJA BIKAS COMPANY,Baglung,Private,2057,
DHOR PATAN RASTRIYA JADIBUTI COMPANY,Baglung,Private,2058,
DHOR PATAN KAGAJ UDHYOG,Baglung,Private,2058,
USHA PRAKASHAN,Baglung,Private,2058,
DHORPATAN PRABIDHIK PRASHIKCHHAN KENDRA,Baglung,Private,2058,
HIM GANGA JADIBUTI BYABASAYA COMPANY,Baglung,Private,2058,
PAHADI HYDROPOWER COMPANY,Baglung,Private,2058,
JUN TARA FASHION COMPANY,Baglung,Private,2058,
DHAWALAGIRI F.M.,Baglung,Private,2059,
BAGLUNG KALIKA SANCHAR,Baglung,Private,2059,
DHAULASHREE PRAKASHAN,Baglung,Private,2059,
Y2K COMPUTER HOME,Baglung,Private,2059,
LIFE (NEW) BOARDING SCHOOL BAGLUNG PVT. LTD.,Baglung,Private,2059,
KALIGANDAKI VIDHYALAYA BAGLUNG,Baglung,Private,2059,
GALKOT MILAN CABLE,Baglung,Private,2059,
AMAR ADARSHA AWASIYA VIDHYALAYA BAGLUNG,Baglung,Private,2060,
GRACE EDUCATION CONSULTANCY,Baglung,Private,2060,
BRIGHT FUTURE SCHOOL OF LANGUAGE,Baglung,Private,2060,
GHUMTE PRAKASHAN,Baglung,Private,2060,
CHILDREN LIFE BOARDING SCHOOL BAGLUNG,Baglung,Private,2060,
HIMALAYAN EDUCATIONAL BAGLUNG,Baglung,Private,2060,
TRINITY INFORMATION & TECHNOLOGY EDUCATION COLLEGE NEPAL,Baglung,Private,2060,
MODERN WORLD COMPUTER AND LANGUAGE INSTITUTE,Baglung,Private,2060,
INSTITUTE OF LEGAL INFORMATION AND RESEARCH CENTER,Baglung,Private,2060,
JUNTARA MULTI TRADERS,Baglung,Private,2061,
AMMA FOUNDATION,Baglung,Private,2061,
DIGNITY ACDEMY AND RESEARCH FOUNDATION,Baglung,Private,2061,
AMRIT ADARSHA ACADEMIC FOUNDATION COMPANY,Baglung,Private,2061,
ADARSHA VIDHYAMANDIR UCHCHA MADHYAMIK VIDHYALA COMPANY BAGLUNG,Baglung,Private,2061,
NEW OASIS EDUCATION FOUNDATION BAGLUNG,Baglung,Private,2061,
SUNRISE MODEL ACADEMY COMPANY,Baglung,Private,2061,
