ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
BET BANS NIGALO UDHYOG,Baitadi,Private,2042,
Suti Bunai Kapada Udyog,Baitadi,Public,2042,
SARADA CONSTRUCTION,Baitadi,Private,2049,
Orient International Transport,Baitadi,Private,2049,
PATAL BHUMESWAR ENTERPRISES,Baitadi,Private,2053,
Bandumaya Yatri Sewa Company,Baitadi,Private,2053,
KALON AASHRAM,Baitadi,Private,2058,
TRIPURA CHALCHITRA BHAWAN,Baitadi,Private,2058,
PATAN VALLEY SCHOOL,Baitadi,Private,2059,
GOKUL ASHRAM,Baitadi,Private,2059,
PRAKRIT ASHRAM,Baitadi,Private,2059,
AADHYATMA ASHRAM,Baitadi,Private,2059,
SATBIJ ASHRAM,Baitadi,Private,2059,
BAYOTTAD AASHRAM,Baitadi,Private,2059,
JAGANNATH ENGLISH BOARDING SCHOOL BAITADI,Baitadi,Private,2060,
UDAYADEV PRABIDHIK TALIM KENDRA,Baitadi,Private,2061,
"MEASURES JENESAIQUOI CHILDREN""S ACADEMY",Baitadi,Private,2061,
SHREE NINGLASHAINI  BOARDING SCHOOL,Baitadi,Private,2061,
TRINETRA ENGLISH BOARDING SCHOOL,Baitadi,Private,2063,
SHREE  SARASWATI  ENGLISH BOARDING SCHOOL SHAHILEK,Baitadi,Private,2063,
Saarthak Boarding School,Baitadi,Private,2064,
Dashrath Memorial English Boarding School,Baitadi,Private,2064,
Dandabagh English Boarding School,Baitadi,Private,2064,
Kaflasaini English Boarding School,Baitadi,Private,2064,
National Brighter Academy,Baitadi,Private,2064,
Sunrise Children Academy Gwallek,Baitadi,Private,2064,
Amod English School Melauli,Baitadi,Private,2064,
Rudreshwar English Boarding School,Baitadi,Private,2065,
Home Town English Boarding School,Baitadi,Private,2065,
Maa Ranasaini Cable Network,Baitadi,Private,2066,
Padam Memorial Primary English Boarding School Gokuleshwar,Baitadi,Private,2066,
Udayadev Swasthya Polyclinic & Diagnostic Centre,Baitadi,Private,2066,
Dahatal Modern Public School,Baitadi,Private,2066,
Kalashaini Modern English School,Baitadi,Private,2067,
Bichar Travel & Tours,Baitadi,Private,2067,
Sudur Pashchim Nirman Sewa,Baitadi,Private,2067,
Trishakti Guest House,Baitadi,Private,2067,
Sunaulo Bihani English Boarding School,Baitadi,Private,2067,
Sorad Educational Foundation,Baitadi,Private,2068,
Gwallek Kedar English Medium Boarding School Baitadi,Baitadi,Private,2068,
Sigas English Boarding School,Baitadi,Private,2068,
Anirudra Broadcasting,Baitadi,Private,2068,
Shree Durga Bhawani Boarding School,Baitadi,Private,2069,
Bombay Garments,Baitadi,Private,2069,
Western Technology,Baitadi,Private,2069,
Ningalasaini Cable Network,Baitadi,Private,2069,
King Star Travel and Tours,Baitadi,Private,2070,
Gwallek Nirman Sewa,Baitadi,Private,2070,
Bhatta Dental Clinic,Baitadi,Private,2071,
Bhumiraj Krishijanya Bastu Bhandaran Tatha Bitaran Store,Baitadi,Private,2071,
Surpal English Memorial Boarding School Baitadi,Baitadi,Private,2071,
Jay Maa Bhagwati Nirman Sewa & Suppliers,Baitadi,Private,2071,
Sunrise English Boarding School Baitadi,Baitadi,Private,2071,
Shree Shraddha Suman English Boarding School Baitadi,Baitadi,Private,2071,
Aadarsh Monteshori English Boarding School Baitadi,Baitadi,Private,2071,
Chahana Technical & Institute,Baitadi,Private,2072,
R.B.Construction,Baitadi,Private,2072,
Green Haven Public School Baitadi,Baitadi,Private,2072,
Jeevanjyoti English Boarding School Baitadi,Baitadi,Private,2072,
Garveswor Traders,Baitadi,Private,2072,
Mala Educational Foundation Baitadi,Baitadi,Private,2072,
Bhauneli English Bording School Baitadi,Baitadi,Private,2072,
Pinnacle Media,Baitadi,Private,2072,
Api Cement,Baitadi,Private,2072,
Shanti Academy English Boarding School Baitadi,Baitadi,Private,2072,
