ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SURMA DEVI BIDHYUT,Bajhang,Private,2050,
MALIKA HAATE KAGAJ,Bajhang,Private,2056,
SURMA DEVI CABLE,Bajhang,Private,2058,
SHREE BAL BIKAS ENGLISH BOARDING SCHOOL,Bajhang,Private,2059,
SHREE NEW LITTLE FLOWER ENGLISH MEDIUM SCHOOL BAJHANG,Bajhang,Private,2059,
PUJA CHALCHITRA HI-VISION,Bajhang,Private,2059,
BAJHANG MARIGOLD ENGLISH BOARDING SCHOOL,Bajhang,Private,2059,
KEDAR KRISHI TATHA JADIBUTI,Bajhang,Private,2061,
SETI PUBLIC SCHOOL,Bajhang,Private,2063,
MAULALI BRIGHT VISION ENGLISH BOARDING SCHOOL,Bajhang,Private,2064,
Rose Glory English Boarding School,Bajhang,Private,2064,
Kumari Sangita Memorial School,Bajhang,Private,2064,
Model Alliance English Boarding School,Bajhang,Private,2064,
Divya Cable,Bajhang,Private,2064,
Chainapur Cable,Bajhang,Private,2064,
Emerald Eden Academy,Bajhang,Private,2064,
A.P. Sneha Bahu Udheshiya Cable,Bajhang,Private,2064,
Saipal Cable Network,Bajhang,Private,2065,
Zenith English Boarding School Koiralakot Bajhang,Bajhang,Private,2065,
Seti English Boarding School,Bajhang,Private,2065,
Sunkuda Academy,Bajhang,Private,2065,
Radium Academy Kotbhairab Bajhang,Bajhang,Private,2065,
Banthawala English Boarding School,Bajhang,Private,2065,
Anteluean English Boarding School,Bajhang,Private,2065,
Rastriya Public English Boarding School,Bajhang,Private,2065,
Seti Saipal Academy,Bajhang,Private,2065,
Nanandev Vidhya Niketan,Bajhang,Private,2065,
Krish Sewa and Kalpasanad Research,Bajhang,Private,2066,
Bajhang Khaptad Academy,Bajhang,Private,2066,
Bajhang Khaptad Academy,Bajhang,Private,2066,
Zygote English Boarding School,Bajhang,Private,2066,
Bajraland Business Group,Bajhang,Private,2066,
Far West International Academy Bajhang,Bajhang,Private,2066,
Little Rose English School Bajhang,Bajhang,Private,2066,
Manasarobar Jadibuti Suppliers,Bajhang,Private,2066,
Balodaya English Boarding School Bajhang,Bajhang,Private,2066,
Saipal Media Network,Bajhang,Private,2066,
Bhawani Bal Bikas Boarding School,Bajhang,Private,2066,
Amisha Hospital,Bajhang,Private,2067,
Jagriti Nirman Sewa,Bajhang,Private,2067,
Triveni Boarding School Bajhang,Bajhang,Private,2067,
Modern Memorial Boarding School Bajhang,Bajhang,Private,2067,
Hill Bird Academy Bajhang,Bajhang,Private,2067,
Jayamasta Bageswori English Boarding School,Bajhang,Private,2067,
Shaligram International Acdemy Bijgada Bungal Bajhang,Bajhang,Private,2067,
Ekata English Boarding School Bajhang,Bajhang,Private,2067,
Khapardev English Boarding School,Bajhang,Private,2067,
Surma Saipal Paryatan Bikash Tatha Anusandhan,Bajhang,Private,2068,
Surma Saipal Academy,Bajhang,Private,2068,
Bimal English Boarding School,Bajhang,Private,2068,
Little Flawer English Boarding School,Bajhang,Private,2068,
Chirasaini Boarding English School,Bajhang,Private,2068,
Patibhere Little Star Boarding School,Bajhang,Private,2068,
Shree Surma Devi Academy,Bajhang,Private,2068,
Bajhang Krishi Tatha Jadibuti Company,Bajhang,Private,2069,
Manoj Cable Network,Bajhang,Private,2069,
Api Saipal English School Bajhang,Bajhang,Private,2069,
Bal Maitri Academy,Bajhang,Private,2069,
surma sarowar english bording school,Bajhang,Private,2069,
Global Tourch English Medium School,Bajhang,Private,2069,
Stars Twinkling Vocational English Boarding School,Bajhang,Private,2069,
Radiant Life English Boarding School bhatekhola Bajhang,Bajhang,Private,2069,
