ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SURMA NIRMAN SEWA,Bajura,Private,2058,
BADI MALIKA ENGLISH BOARDING SCHOOL,Bajura,Private,2059,
BAJURA RAINBOW ENGLISH BOARDING SCHOOL,Bajura,Private,2059,
SUJAN ENGLISH MEDIUM BOARDING SCHOOL,Bajura,Private,2060,
BAJURA CABLE NETWORK,Bajura,Private,2062,
SMALL FLOWER ENGLISH BOARDING SCHOOL GUDUKHATI,Bajura,Private,2063,
HAATEMALO SHRIJANSHIL ENGLISH BOARDING SCHOOL,Bajura,Private,2063,
BUDHINANDA F.M.,Bajura,Private,2064,
Birendra Vidhya Niketan,Bajura,Private,2064,
Creater Zone Academy,Bajura,Private,2064,
B. and S. English Boarding School,Bajura,Private,2064,
Converse Academy,Bajura,Private,2064,
Malika Peace Zone English Boarding School,Bajura,Private,2064,
Suman Karnali English Boarding School,Bajura,Private,2064,
Tapra Sunlight Boarding School,Bajura,Private,2065,
Kuldevmandu Farwest Academy,Bajura,Private,2065,
Prudent Public English Academy,Bajura,Private,2065,
Budhiganga Angreji Aawashiya Vidhyalaya,Bajura,Private,2065,
Shambhu Sammit English Boarding School,Bajura,Private,2065,
Peace Creator Academic Zone,Bajura,Private,2066,
Seti Karnali English Boarding School,Bajura,Private,2066,
Child's Heaven Academy,Bajura,Private,2066,
Parbati Boarding School Bajura,Bajura,Private,2066,
Bright Ken Garden English Boarding School,Bajura,Private,2066,
Vision Academy Bajura,Bajura,Private,2066,
Budhinanda English Boarding School,Bajura,Private,2066,
Minarva English Boarding School Bajura,Bajura,Private,2067,
Khaptad Triveni English Boarding School,Bajura,Private,2067,
Seti Karnali Academy,Bajura,Private,2067,
Lalit Memorial English Boarding School,Bajura,Private,2067,
I See You International School,Bajura,Private,2068,
Jogi Kaushila English Boarding School,Bajura,Private,2068,
Bajura Model Academy,Bajura,Private,2068,
Mount Malika Gobar Gas,Bajura,Private,2069,
Budhi Nanda Bio,Bajura,Private,2069,
Badimalika Polyclinic Sewa,Bajura,Private,2069,
Grace Academy Bajura,Bajura,Private,2069,
Shree Jalphadevi English Boarding School Bajura,Bajura,Private,2069,
Arthik Tatha Krishi Utthan,Bajura,Private,2070,
Badimalika Tribeni Construction,Bajura,Private,2070,
Child Development English Boarding School Bajura,Bajura,Private,2070,
Beautiful Children Garden English Boarding School,Bajura,Private,2071,
Amir Refulgent Institute,Bajura,Private,2071,
Amir Refulgent School,Bajura,Private,2071,
Little Star Academy Bajura,Bajura,Private,2071,
kartikswami Himali Farm House,Bajura,Private,2071,
Mastamandu Farwest academy Bajura,Bajura,Private,2071,
G.N. English Medium Boarding School Bajura,Bajura,Private,2071,
Khaptad Jana Sewa Polyclinic,Bajura,Private,2071,
Sathi Educational Consultancy,Bajura,Private,2071,
Badimalika Model Policlinic,Bajura,Private,2072,
M.R. English Boarding School Bajura,Bajura,Private,2072,
Jovial Academy Bajura,Bajura,Private,2072,
