ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
PASCHIM NEPAL METAL INDUSTRIES,Banke,Private,2021,
BAIJAPUR FIRM OPEN PAN SUGAR FAC.,Banke,Private,2025,
NEPALGANJ BRICK FACTORY,Banke,Private,2031,
WEST HIMALAYAN DAIRY,Banke,Private,2031,
Jaya bageswori Aadhunik Chamal Mill,Banke,Private,2032,
GIJARA KHANDSARI MILLS,Banke,Private,2033,
HIMALAYA TEXTILE,Banke,Private,2033,
NEPA ENGINEERING WORKS,Banke,Private,2034,
HOTEL SOBHA,Banke,Private,2034,
HOTEL TEMPLE(MANDIR),Banke,Private,2034,
HOTEL SNEHA,Banke,Private,2035,
NEPAL CHAMAL DAL UDHYOG,Banke,Private,2035,
VERI RODA DHUGGA  UDYHOG,Banke,Private,2035,
Pasupati Brast Udhyog,Banke,Private,2035,
National Automotive Works,Banke,Private,2036,
NEPAL SPICE PRODUCTS,Banke,Private,2036,
East Consult,Banke,Private,2037,
GOPAL INDUSTRIES,Banke,Private,2038,
HOTEL JWALA,Banke,Private,2038,
Jagadamba Industries,Banke,Private,2039,
BHAGAWAN KHADHYA UDHYOG,Banke,Private,2039,
KOHALPUR RODA DHUNGA UDHYOG,Banke,Private,2039,
MODERN DOORS AND WOOD PRODUCTS,Banke,Private,2039,
BIBHAB IRON AND STEEL COMPANY,Banke,Private,2039,
Nepal Ingineering Enterprises,Banke,Private,2039,
Shakti Stone Policing Industries,Banke,Private,2039,
MOHAN AUTOMOBILES AND GENERAL SERVI,Banke,Private,2040,
NEW MEXICON RESTAURANT AND BAR,Banke,Private,2040,
Nepal International,Banke,Private,2040,
HIMALAYA BISCUIT FACTORY,Banke,Private,2040,
JAYA SHREE HOSIERY UDHYOG,Banke,Private,2041,
HIMANSU HOSIERY UDHYOG,Banke,Private,2041,
LUMBINI GARDEN GUEST HOUSE,Banke,Private,2041,
LANGUAGE CULTURE TRAINING AND RESE0,Banke,Private,2041,
Ojon Apperels,Banke,Private,2041,
Shwostick Oil Inustries,Banke,Private,2041,
SUN RAISE TANARY AND ALLIED PRODUCT,Banke,Private,2041,
RELIABLE MAINTAINANCE & ENGINEER,Banke,Private,2041,
Om Photo Frame Industries,Banke,Private,2041,
LANGUAGE ACTIVITIES AND RESEARCH,Banke,Private,2041,
GANAPATI KATTHA & ALLIED INDUSTRIES,Banke,Private,2041,
Upkan Enterprises,Banke,Private,2041,
Uniyan Overses Trading Company,Banke,Private,2041,
CHOMOLHARI TREKKING,Banke,Private,2042,
JAN COAL INDUSTRIES,Banke,Private,2042,
PASHUPATI VINEER INDUSTRIES,Banke,Private,2042,
HIMALAYAN AIR CARGO SERVICES,Banke,Private,2042,
WHITE MAGIC UNLIMITED TREKKING,Banke,Private,2042,
Bhudev Construction Company,Banke,Private,2042,
Shiva Cells & Service,Banke,Private,2042,
TEAM ADVERTISERS,Banke,Private,2042,
Cost Analysis And Project Implementon,Banke,Private,2042,
Nepal Chem Udyog,Banke,Private,2043,
Bheri Textiles,Banke,Private,2043,
IMAGE COLOR LAB,Banke,Private,2043,
BHATTACHAN WRAPPING PRODUCTS,Banke,Private,2043,
DOLPA CARPET INDUSTRIES,Banke,Private,2043,
Bageshwori Chalchitra Mandir,Banke,Private,2043,
J. D. KHADHYA UDHYOG,Banke,Private,2043,
BINAYAK BUSCUIT,Banke,Public,2043,
