ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
NEPAL IRON & STEEL CORPORATION,Bara,Private,2012,
SURYABAN UDHYOG,Bara,Private,2017,
NEPAL STONE LIVE COMPANY,Bara,Private,2018,
BOMBAY KHANDESARI SUGAR UDHYOG,Bara,Private,2022,
AMBIKA DAIRY FIRM,Bara,Private,2024,
AGRICULTURE TOOLS FACTORY,Bara,Private,2025,
NEPAL CHEMICAL AND SOAP INDUSTRIES,Bara,Private,2031,
NEPAL HIDE & SKIN PROCESSING P.LTD.,Bara,Private,2032,
NARAYANI ICE UDYOG,Bara,Private,2034,
MAHABIR ALMUNIUM UDYOG,Bara,Private,2034,
KEDIYA KAGAJ UDHYOG,Bara,Private,2035,
YETI ELECTRICAL TRANSFORMER,Bara,Private,2035,
Ashok Fatilaigar Bon Mill,Bara,Private,2035,
YETI DISTILLERY,Bara,Private,2035,
IONO PHARMA,Bara,Private,2039,
RASTRABYAPI PUBLICATION PVT. LTD.,Bara,Private,2039,
RUP ROADA DHUNGA UDHYOG,Bara,Private,2039,
Entellus Moters,Bara,Private,2040,
Annapurna Food Udyog,Bara,Private,2040,
HIMALAYAN TEXTILE,Bara,Private,2040,
NEPAL LUBE OIL,Bara,Public,2041,
BIRGUNJ CHINI KARKHANA LTD.,Bara,Private,2042,
JPRAMIM OIL MILL,Bara,Private,2043,
SHIVA SHAKTI PACKAGING PVT.,Bara,Private,2044,
Narayani Dairy,Bara,Private,2044,
Everest Shoe Company,Bara,Private,2045,
NARAYENI MASALNANDA UDHYOG,Bara,Private,2046,
Prakash Trexstiles,Bara,Private,2047,
Tribeni Metels,Bara,Private,2048,
Laxmi Oil Stores,Bara,Private,2048,
METAL BOX (NEPAL),Bara,Private,2048,
NATIONAL SECURITY SERVICE,Bara,Private,2048,
Laxmi Rolling Mills,Bara,Private,2048,
SANGHAI POLYSTER DHAGO UDHYOG,Bara,Private,2049,
SHAKAMBARI PLASTIC UDHYOG,Bara,Private,2049,
RAJESH STEEL INDUSTRIES,Bara,Private,2049,
GANESH GHEE UDHYOG,Bara,Private,2049,
JAYA LAXMI SOLVENT,Bara,Private,2049,
WINNER PLASTIC INDS PVT.LTD,Bara,Private,2049,
RELIABLE ROLLING MILLS  PVT.LTD,Bara,Private,2049,
M R Metal Industries,Bara,Private,2049,
RAJILA METAL CRAFT PVT.LTD,Bara,Private,2049,
PRAKASH PRODUCT PVT.LTD,Bara,Private,2049,
M.K. TRADERS PVT.LTD,Bara,Private,2049,
D.K. TRADERS PVT.LTD,Bara,Private,2049,
NARAYANI FILMS,Bara,Private,2049,
HIMGIRI TEXTILE INDS LTD,Bara,Private,2050,
BISWO NATH AND SONS PVT.LTD,Bara,Private,2050,
BARA TRADING CONCERN,Bara,Private,2050,
TIP SONS POLYMER PVT. LTD.,Bara,Private,2050,
ZENITH STEEL AND METALS PVT.LTD,Bara,Private,2050,
SHIVA BHAGAWAN INDS,Bara,Private,2050,
AGRAWAL TRADING CONCERN PVT LTD,Bara,Private,2050,
TEMANI TRADING CONCERN PVT.LTD,Bara,Private,2050,
D.S. TRADING CONCERN PVT LTD,Bara,Private,2050,
AMBUJA ELECTRONCACASTING NEPAL,Bara,Public,2050,
J.V.EXPORT IMPORT PVT LTD,Bara,Private,2051,
