ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Sarla Rice Oil & Flour Miles,Bardiya,Private,2024,
THAKUR BABHA ADHUNIK RICE MILL,Bardiya,Private,2041,
Everest Vinears Udyog,Bardiya,Private,2041,
BINDA BASINI GARMENT INDUSTRIES,Bardiya,Private,2043,
Tilkana Chuera Udyog,Bardiya,Private,2048,
Prakash Rice Mills,Bardiya,Private,2048,
Kalika Rice Mile Doulotpur,Bardiya,Private,2048,
Dolphins Manor  Hotel,Bardiya,Private,2049,
MALIKA CHAMAL UDHYOG,Bardiya,Private,2049,
GREEN VELLEY PLANTASION AND RESORT PVT.LTD.,Bardiya,Private,2051,
NATURAL AGRO FORESTRY,Bardiya,Private,2051,
BHARIPURNA RICE MILL,Bardiya,Private,2052,
SANGAM CONCRETE UTPADAN,Bardiya,Private,2052,
GAUTAM RICE MILL,Bardiya,Private,2052,
SHIVASHAKTI OIL MILL,Bardiya,Private,2052,
MINA RICE & OIL MILL,Bardiya,Private,2053,
GHIMIRE ADHUNIK RICE MILL PVT.LTD.,Bardiya,Private,2053,
RAJ CHAMAL TEL ANTA MILL PVT.LTD.,Bardiya,Private,2053,
SHIVA SHANKAR PICTURE PALACE,Bardiya,Private,2053,
SRIJANA ADHUNIK RICE AND OIL MILL,Bardiya,Private,2053,
KARNALI ENGLISH MEDIUM SCHOOL PVT.LTD.,Bardiya,Private,2053,
MOTIPUR BAL BIKAS AAWASIYA BOARDING SCHOOL P.,Bardiya,Private,2053,
SOMKALI RICE & OIL MILLS,Bardiya,Private,2054,
SADASHIVA RICE MILL PVT.LTD.,Bardiya,Private,2054,
RHINO LODGE BARDIYA,Bardiya,Private,2054,
MANAKAMANA (JAYA) RICE MILL PVT. LTD.,Bardiya,Private,2054,
HOTEL (FOREST HIDEAWAY) & COTTAGE,Bardiya,Private,2055,
ADARSHA CITY CABLE,Bardiya,Private,2055,
BASTOLA KHADHHEY UDDHYOG,Bardiya,Private,2055,
