ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
VARIETY (THE) MANUFACTURES,Bhaktapur,Private,2018,
NABA DURGA DHARSAN SERVICE,Bhaktapur,Private,2025,
MOUNT VIEW HOTEL,Bhaktapur,Private,2028,
Bhaktapur Uddhyog,Bhaktapur,Private,2029,
VIJAYA DUGDHASHALA,Bhaktapur,Private,2029,
Ganeli Camecals,Bhaktapur,Private,2030,
Bhaktapur Guest House,Bhaktapur,Private,2033,
JANAK SHIKSHA SAMAGRI KENDRA,Bhaktapur,Public,2035,
PRAJAPATI TRANSPORT,Bhaktapur,Private,2037,
Nepal Galvanizing Plant,Bhaktapur,Private,2038,
Nepo Textile  Industries,Bhaktapur,Private,2040,
NEPAL KRISHI AUJAR UDYOG,Bhaktapur,Private,2040,
Formade,Bhaktapur,Private,2041,
Tamarakar Metal Craft,Bhaktapur,Private,2041,
TIE DHUNGE CARRIERS,Bhaktapur,Private,2042,
HIMALAY COLD STORES,Bhaktapur,Private,2042,
Surya Vinayak Oil Store,Bhaktapur,Private,2042,
NITEX NEPAL,Bhaktapur,Private,2042,
PASHUPATI KOILA UDYOG,Bhaktapur,Private,2042,
Surya Binayak Packaging Industries,Bhaktapur,Private,2042,
PAPERMET PEN INDUSTRIES,Bhaktapur,Private,2042,
EVEREST MILK FOOD,Bhaktapur,Public,2043,
Averest Briak And Tail Factory,Bhaktapur,Private,2043,
Basuki Itta Bhatta,Bhaktapur,Private,2043,
S.P. I. Plastic I.,Bhaktapur,Private,2044,
Bhaktapur Polychem,Bhaktapur,Private,2044,
Himalya Milk Foods,Bhaktapur,Private,2044,
Ratna Plastick Industrices,Bhaktapur,Private,2044,
Silu Kunda Tel Mill,Bhaktapur,Private,2044,
Everest Pharmaceuticals,Bhaktapur,Private,2044,
Nagarkot Cottage,Bhaktapur,Private,2045,
Chandeswori Hastakala Udthog,Bhaktapur,Private,2045,
Nil Barahi Intergrated Live Stuck Farm,Bhaktapur,Private,2045,
Suvha Itta Udhyo,Bhaktapur,Private,2045,
Chakreshory Nirman Sewa,Bhaktapur,Private,2045,
Binayak dairy,Bhaktapur,Private,2045,
TECHNICAL ASSIST TEAM PVT.LTD,Bhaktapur,Private,2045,
Siddhi Binayek Bricket Industries,Bhaktapur,Private,2045,
Bhaktapur Chimni Nirman Udhyog,Bhaktapur,Private,2046,
Kohinoor Carpet Industries,Bhaktapur,Private,2046,
Bhaktpur Wairs,Bhaktapur,Private,2046,
Shivapuri Woll Processing,Bhaktapur,Private,2046,
Siddhi Ganesh Hastchery,Bhaktapur,Private,2046,
Shidda Ganesh Harchery,Bhaktapur,Private,2047,
hotel Saino,Bhaktapur,Private,2047,
Araniko Foot Weare Industries,Bhaktapur,Private,2047,
SANJA NIRMAN SEWA,Bhaktapur,Private,2047,
Basukala Frerix,Bhaktapur,Private,2047,
Method Consult,Bhaktapur,Private,2047,
Swadamini Prakashan,Bhaktapur,Private,2047,
Sonu Hojiyari Industries,Bhaktapur,Private,2048,
Bhaktapur Dyeing Udyog,Bhaktapur,Private,2048,
KANODANADA RETREATE,Bhaktapur,Private,2048,
GAURI SHANKAR CARPET INDUSTRIES,Bhaktapur,Private,2048,
Trimurti Textile,Bhaktapur,Private,2048,
Hotel  Space  Mountain,Bhaktapur,Private,2048,
Kabhal Real State Service,Bhaktapur,Private,2048,
Diamond Tooth Paste Industries,Bhaktapur,Private,2048,
