ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Bhoojpura Transport Company,Bhojpur,Private,2049,
Dil Nirman Sewa,Bhojpur,Private,2055,
Bhojpur Technical Institute,Bhojpur,Private,2056,
MANAKAMANA POLYTECHNIQUE INSTITUTE,Bhojpur,Private,2056,
BHOJPUR TECHNICAL INSTITUTE,Bhojpur,Private,2056,
SAGARMATHA SECONDARY ENGLISH SCHOOL,Bhojpur,Private,2059,
SIDDHAKALI SHAIKSHIK PRATISTHAN PVT. LTD.,Bhojpur,Private,2060,
BIDHYADHARI PUBLIC BOARDING SCHOOL BHOJPUR,Bhojpur,Private,2061,
SURYA EXCHANGE COMPANY,Bhojpur,Private,2062,
DAWAN ENGLISH SCHOOL,Bhojpur,Private,2063,
BHOJPUR TEMKE CABLE NETWORK,Bhojpur,Private,2063,
NETRA HARI ENTERPRISES,Bhojpur,Private,2063,
BHOJPUR ACADEMY,Bhojpur,Private,2063,
UNIQUE & UNITED PUBLIC ACADEMY,Bhojpur,Private,2064,
L. & K. SUB MONEY TRANSFER,Bhojpur,Private,2064,
Temke Bhojpur Yatayat,Bhojpur,Private,2064,
Hillary International School Bhojpur,Bhojpur,Private,2064,
Pyauli English Boarding School,Bhojpur,Private,2065,
I.I.D. Bhojpur Technology,Bhojpur,Private,2065,
Hatuwa English Medium Boarding School,Bhojpur,Private,2065,
Arun-Barun Balvatika Academy,Bhojpur,Private,2065,
Dingla Summit Boarding School,Bhojpur,Private,2066,
Shree Siddhakali English Boarding School Bhojpur,Bhojpur,Private,2066,
Evergreen English School Bhojpur,Bhojpur,Private,2066,
Arun View Academy,Bhojpur,Private,2066,
Danda Bokhim Namuna Krishi Tatha Paramarsha Kendra,Bhojpur,Private,2066,
Cliff Academy,Bhojpur,Private,2066,
Pashupati English Boarding School Bhojpur,Bhojpur,Private,2067,
Child Boarding School Bhojpur,Bhojpur,Private,2067,
U.D. Builders Company,Bhojpur,Private,2067,
Sunrise English School Bhojpur,Bhojpur,Private,2067,
Eureka Scholars Academy,Bhojpur,Private,2067,
Kulung English Boarding School,Bhojpur,Private,2067,
Bayang Star English Boarding School,Bhojpur,Private,2067,
Himalayan Kastha Udhyog,Bhojpur,Private,2067,
Tripple S. Orientation & Language Training Centre,Bhojpur,Private,2067,
Chomolungma Construction,Bhojpur,Private,2068,
Jalapa Academy,Bhojpur,Private,2068,
Salpapokhari Construction,Bhojpur,Private,2068,
Sangkhamchulee Construction,Bhojpur,Private,2068,
Chomolungma Academy,Bhojpur,Private,2068,
S. Kimalung Sunrise Boarding School,Bhojpur,Private,2068,
S. Kimalung Sisnu Udyog,Bhojpur,Private,2068,
Arun Dingla Media,Bhojpur,Private,2068,
Panchakanya Multipurpose Company,Bhojpur,Private,2068,
The Creative English Boarding School Kot,Bhojpur,Private,2068,
Kanchanjungha Angreji Vidhyalaya Bhojpur,Bhojpur,Private,2068,
Subhadra Panchakanya Agriculture Firm,Bhojpur,Private,2069,
Sidhhakali Bhojpur Aspatal,Bhojpur,Private,2069,
Dingla Cable Network,Bhojpur,Private,2069,
Sayami Information and Communication Technology Solution,Bhojpur,Private,2069,
Eastern Kagaj Udhyog,Bhojpur,Private,2069,
Bhakta - Ishwari Sub Money Transfer,Bhojpur,Private,2069,
Bhakta-Ishwari Pashupalan Tatha Krishi Farm,Bhojpur,Private,2069,
Pyauli Polyclinic,Bhojpur,Private,2070,
Khomyung Nirman & Suppliers,Bhojpur,Private,2070,
Sriya & Shristee National,Bhojpur,Private,2070,
Ayusha Organization,Bhojpur,Private,2070,
New Vision English Boarding School Bhojpur,Bhojpur,Private,2070,
Mira Memorial English Boarding School Bhojpur,Bhojpur,Private,2070,
Pahade Beshi Krishi Private Limited Company,Bhojpur,Private,2071,
Thulochour Agriculture Farm,Bhojpur,Private,2071,
Arungadhi Agriculture,Bhojpur,Private,2071,
Sanjibani Hospital,Bhojpur,Private,2071,
Yalambar Academy english school,Bhojpur,Private,2071,
Arun Nirman,Bhojpur,Private,2071,
Bhojpur Construction and suppliers,Bhojpur,Private,2071,
Shivaratri Daune Krishi Udyog,Bhojpur,Private,2072,
Mayadevi Furniture Udhyog,Bhojpur,Private,2072,
B. And M. Engineering Consultant,Bhojpur,Private,2072,
Chandani Multipurpose Agircultural Farm,Bhojpur,Private,2072,
Paradise Boarding School Bhojpur,Bhojpur,Private,2072,
Tara Nirman Sewa,Bhojpur,Private,2072,
Civil Action Engineering Consultancy,Bhojpur,Private,2072,
Bhakti Belash Smriti Health Center,Bhojpur,Private,2072,
Ghodetar Polyclinic,Bhojpur,Private,2072,
Kanchanjungha English Boarding School Bhojpur,Bhojpur,Private,2072,
Koshi Oral & Dental Clinic,Bhojpur,Private,2072,
Sidhakali Samudayak Polyclinic,Bhojpur,Private,2072,
Aadarsha Gyankunja Academy Bhojpur,Bhojpur,Private,2072,
Bright Future English Boarding School Bhojpur,Bhojpur,Private,2072,
Kot Gadi Kalika Angreji Bidyalaya Bhojpur,Bhojpur,Private,2072,
Thulung Bahuuddeshiya Krishi Farm,Bhojpur,Private,2072,
Temke Cable Car,Bhojpur,Private,2072,
