ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
TIGER TOPS,Chitwan,Private,2021,
NARAYANI SAW MILL AND FURNITURE UDDHYOG,Chitwan,Private,2031,
Him sagarmatha Construction,Chitwan,Private,2034,
Narayani Aadhunik Rice Mills,Chitwan,Private,2034,
Dra Brothers,Chitwan,Private,2034,
HOTEL CHITAWAN,Chitwan,Private,2035,
NARAYANGARH AUTOMOBILE AND GENERAL,Chitwan,Private,2035,
GURANS BAKERY UDHYOG,Chitwan,Private,2035,
Hotel Blue  Heaven,Chitwan,Private,2036,
HOTEL CHITWAN,Chitwan,Private,2037,
SAFARI NARAYANI HOTEL,Chitwan,Private,2037,
NARAYANI X-RAY,Chitwan,Private,2038,
CHITAWAN TILE,Chitwan,Private,2039,
Chitwan Bakery Udhyog,Chitwan,Private,2039,
NIL KAMAL OIL STORES,Chitwan,Private,2039,
BISHNU OIL MILL PVT.LTD.,Chitwan,Private,2039,
PECO Pradhan Engineerig Company,Chitwan,Private,2039,
SEWA RICE FLOUR AND OIL MILLS,Chitwan,Private,2040,
Ganesh Chitra Mandir,Chitwan,Private,2040,
Himali Adhunik Khaddhya Uddhyog,Chitwan,Private,2040,
Kailash Oil Disributors,Chitwan,Private,2041,
Chitawon Cold Storage,Chitwan,Private,2041,
CHITWAN DAIRY,Chitwan,Private,2042,
Jyoti Chalchitra Mandir,Chitwan,Private,2042,
HIMAL BLECHING POWDDER,Chitwan,Private,2042,
GHARELU RODA DHUNGA UDYOG,Chitwan,Private,2042,
CHITAWAN BRICKET COIL UDYOG,Chitwan,Private,2042,
Awatar Distribution,Chitwan,Private,2042,
Kaliak Itta Udyog,Chitwan,Private,2042,
BOTTLERS NEPAL (TARAI),Chitwan,Public,2042,
NARAYANI CHITRA MANDIR,Chitwan,Private,2043,
NARAYANI RODA DHUNGA UDYOG,Chitwan,Private,2043,
Sukratara Consltantion Company,Chitwan,Private,2043,
Aarks Poltri,Chitwan,Private,2043,
Gauri Threeyater,Chitwan,Private,2043,
YETI DISTILLERY,Chitwan,Private,2043,
Trise Feed,Chitwan,Private,2043,
Trivini Concrit Product,Chitwan,Private,2043,
Lumbini Colour Lab,Chitwan,Private,2044,
MACHAN WILD LIFE RESORTS,Chitwan,Private,2044,
Laxmi Oil Mill,Chitwan,Private,2044,
RupShree Koila Udhyog,Chitwan,Private,2044,
HIMALAYAN FEEDS,Chitwan,Private,2044,
Phato Kina Color Lab,Chitwan,Private,2044,
Adventures Jungle Camp,Chitwan,Private,2044,
Usha Plastic Udhyog,Chitwan,Private,2044,
Suswastha Nursing Home,Chitwan,Private,2045,
Shree Bhawani Itta Udhyog,Chitwan,Private,2045,
S.E.Transport,Chitwan,Private,2045,
Shubha Films,Chitwan,Private,2045,
S.D.B.Brick &Tile Industries,Chitwan,Private,2045,
Ramcot Nirman Sewa,Chitwan,Private,2045,
Jungle paradise wild life Resort,Chitwan,Private,2045,
Nepal Steel,Chitwan,Private,2046,
Island  Jangle  Resort,Chitwan,Private,2046,
Bhudeahya Pashupalan Cender,Chitwan,Private,2046,
Panchakanya Tal Mil,Chitwan,Private,2046,
Bhawana Plastic Udyog,Chitwan,Private,2046,
Tibe Airt Carpet Industries,Chitwan,Private,2046,
SERC CONSULTING ENGINEERS,Chitwan,Private,2046,
M.R. Transports,Chitwan,Private,2047,
Laxmi Nirmana Samagri Udhyog,Chitwan,Private,2047,
Super Strong Transport Service,Chitwan,Private,2047,
S.K.S.Dhuwani Sewa,Chitwan,Private,2047,
Chini National Trasport Company,Chitwan,Private,2047,
Dipawali National Transport,Chitwan,Private,2047,
Avinash Poultry Briding Farm,Chitwan,Private,2047,
National Packaging Box Industries,Chitwan,Private,2047,
Mahalaxmi Oil Mill,Chitwan,Private,2047,
Jay Durga Biscuit,Chitwan,Private,2047,
Akshansha Offset Printing Press,Chitwan,Private,2047,
