ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Seti Makhakali Pariwahan,Dadeldhura,Private,2045,
GHATAL DIP KASTHA UDYOG PVT.LTD.,Dadeldhura,Private,2053,
RAJENDRA NIRMAN SEWA,Dadeldhura,Private,2059,
UGRATARA CABLE NETWORK,Dadeldhura,Private,2059,
GYANODAYA BIDHYA NIKETAN DADELDHURA,Dadeldhura,Private,2061,
SHREE LOTUS  ENGLISH BOARDING SCHOOL SALLAGHARI DADELDHURA,Dadeldhura,Private,2061,
"SHREE SRIJANA BOADING SCHOOL SAKAYAL ,DADELDHURA",Dadeldhura,Private,2061,
MOUNTAIN  ENGLISH  BOARDING  SCHOOL  DADELDHURA,Dadeldhura,Private,2061,
SHREEGHATAL CABLE NETWORK,Dadeldhura,Private,2062,
FAR WESTERN TECHONOLOGY,Dadeldhura,Private,2063,
GREEN VALLEY ENGLISH BOARDING SCHOOL DADELDHURA,Dadeldhura,Private,2063,
PIONEER CHILD ACADEMY KANTIPUR KATAL SHIRSH DADELDHURA,Dadeldhura,Private,2063,
GURANS RESORT,Dadeldhura,Private,2064,
Ugratara Media And Information Network,Dadeldhura,Private,2065,
Sharada Academy Shirsh Parigaun Dadeldhura,Dadeldhura,Private,2065,
Little Paradise Boarding School Dadeldhura,Dadeldhura,Private,2065,
Bright Future Knowledge Share Academy Shantipur,Dadeldhura,Private,2065,
Rato Gurans Resort and Training Centre,Dadeldhura,Private,2065,
Line Legal Service,Dadeldhura,Private,2066,
Api Hospital,Dadeldhura,Private,2066,
Aapi Nepal Travel & Trekking,Dadeldhura,Private,2066,
Paragon Academy Dadeldhura,Dadeldhura,Private,2066,
Trisewa Consultant,Dadeldhura,Private,2066,
Radhakrishna English Boarding School Dadeldhura,Dadeldhura,Private,2066,
Cambridge Public School Dadeldhura,Dadeldhura,Private,2066,
Nischal Construction,Dadeldhura,Private,2067,
Baby Nav Srijana English Boarding School,Dadeldhura,Private,2067,
Aalital English Boarding School,Dadeldhura,Private,2067,
United Seeds International,Dadeldhura,Private,2067,
Aadarsha Vidhya Niketan Boarding School Airoda Dadeldhura,Dadeldhura,Private,2067,
Chiranjeevi Aspatal Pvt.Ltd,Dadeldhura,Private,2067,
Dadeldhura Paramedical Campus,Dadeldhura,Private,2067,
Bir Engineering Consultancy,Dadeldhura,Private,2067,
Khaptad Paragliding & Adventure,Dadeldhura,Private,2067,
Sudur Paschim Engineering College,Dadeldhura,Private,2068,
Shikhar Technical Institute,Dadeldhura,Private,2068,
