ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Shakti Distrilari,Dailekh,Private,2042,
SAGAR CHALCHITRA MANDIR PVT LTD,Dailekh,Private,2050,
NEPALI KAGAJ UDYOG PVT.LTD.,Dailekh,Private,2054,
PANCHAKOSHI CABLE NETWORK,Dailekh,Private,2059,
PHULBARI VIDHYA MANDIR DAILEKH,Dailekh,Private,2060,
SUNRISE ENGLISH SCHOOL DAILEKH,Dailekh,Private,2060,
SHRESTHA CITY CABLE NETWORK,Dailekh,Private,2061,
PANCHA KOSHI ENGLISH MEDIUM SCHOOL,Dailekh,Private,2063,
CHAUTARA ENGLISH BOARDING SCHOOL,Dailekh,Private,2063,
DEVISTHAN CABLE NETWORK,Dailekh,Private,2063,
SARASWATI VIDHYA MANDIR TRIBENI DAILEKH,Dailekh,Private,2063,
THE BLUE  MOON ENGLISH ACADEMY DAILEKH,Dailekh,Private,2063,
SAVE ENGINEERING CONSULTANT,Dailekh,Private,2063,
DAILEKH SHRIJANSHIL ENGLISH MEDIUM SCHOOL,Dailekh,Private,2064,
"SHREE JWALA SIDDHASTHALI ENGLISH MEDIUM BOARDING SCHOOL DALLU, DAILEKH",Dailekh,Private,2064,
Bestada Himalayan Boarding School,Dailekh,Private,2064,
Himshikhar Vidhya Mandir,Dailekh,Private,2064,
Karnali Bright English Medium School Dailekh,Dailekh,Private,2064,
Lohare English Boarding School,Dailekh,Private,2064,
Western Childrens' Paradise Boarding School,Dailekh,Private,2064,
Dailekh Model School,Dailekh,Private,2065,
Greenland English School Dailekh,Dailekh,Private,2065,
Jwala Panchkoshi B.R. Polyclinic and Research Center,Dailekh,Private,2066,
Prayatan Tatha Prayabaran Sansarakshan Company,Dailekh,Private,2066,
True Good Shepherd English School,Dailekh,Private,2066,
Chupra Yadav Samudayik Pharmacy,Dailekh,Private,2066,
Green Land United Public School Dailekh,Dailekh,Private,2066,
Suryodaya Academy Dailekh,Dailekh,Private,2066,
Bright Future English Medium School Dailekh,Dailekh,Private,2066,
Kopila English Boarding School Dailekh,Dailekh,Private,2066,
Hillside English Medium School,Dailekh,Private,2066,
Panchakoshi Polyclinic,Dailekh,Private,2066,
Kalika Boarding School Dailekh,Dailekh,Private,2066,
Nova Child Care Centre and Boaridng House,Dailekh,Private,2067,
Mabu Hydro Construction,Dailekh,Private,2067,
Bansi Golden Gate English Boarding School,Dailekh,Private,2067,
Cambridge International Academy Dailekh,Dailekh,Private,2067,
Katti Lord Buddha Boarding School,Dailekh,Private,2067,
Belaspur Bidhya Mandir,Dailekh,Private,2067,
Laligurans English School Mehaltoli,Dailekh,Private,2067,
Columbus Academy Chhiudi Pusakot,Dailekh,Private,2067,
Little Angels Boarding School Dailekh,Dailekh,Private,2067,
Grange Meridian Academy,Dailekh,Private,2068,
Dullu Prabidhik Shikshalaya,Dailekh,Private,2068,
Panchakoshi Technical School,Dailekh,Private,2068,
Deutistahn English Boarding School,Dailekh,Private,2068,
Child Star English Medium Boarding School,Dailekh,Private,2068,
Gramin Krishi Tatha Urja Bikas,Dailekh,Private,2068,
Madhyapaschim Laghu Tatha Sana Jalabidhyut Aayojana,Dailekh,Private,2069,
Dailekh Technical School,Dailekh,Private,2069,
Panchakoshi construction,Dailekh,Private,2069,
Panchakoshi Sub Remitance,Dailekh,Private,2070,
Sangam Crusher Udhyog,Dailekh,Private,2070,
Shree Bindhyabasini Academy Dailekh,Dailekh,Private,2070,
Samata Suva,Dailekh,Private,2070,
Madhya Paschim Technical School,Dailekh,Private,2071,
Dullu Policlinic,Dailekh,Private,2071,
pioneer Vision Academy Dailekh,Dailekh,Private,2071,
N.S. Hydro Construction and Suppliers,Dailekh,Private,2071,
Dailekh Darpan Prapidhik Shikshalaya,Dailekh,Private,2071,
Madhya Pahad  Investment And Multi Service Life Assurance Co.,Dailekh,Private,2071,
Matribhumi English Medium School Dailekh,Dailekh,Private,2071,
New Bheri Karnali Modern English Boarding School Dailekh,Dailekh,Private,2071,
Manisha S.S.Construction,Dailekh,Private,2071,
Panchakoshi English Boarding School Dailekh,Dailekh,Private,2071,
Naya Goreto English School Dailekh,Dailekh,Private,2071,
Bright Land Academy Dailekh,Dailekh,Private,2071,
Galaxy Shanti Boarding School,Dailekh,Private,2071,
Dullu Cable Network,Dailekh,Private,2071,
Shiwalaya Bidhaya Mandir Dailekh,Dailekh,Private,2071,
Dullu Model English Medium Academy Dailekh,Dailekh,Private,2072,
Bright Hope English Boarding School Dailekh,Dailekh,Private,2072,
Good Luck Academy Dailekh,Dailekh,Private,2072,
Everest Wireless Network,Dailekh,Private,2072,
Shivashakti Bidhya Mandir Dailekh,Dailekh,Private,2072,
Dhamala Organic Agro,Dailekh,Private,2072,
Pujan Organic Agro Herbal,Dailekh,Private,2072,
Great Nepal Agro Forestry,Dailekh,Private,2072,
Jwala English Boarding School Dailekh,Dailekh,Private,2072,
Everest Academy Dailekh,Dailekh,Private,2072,
Star English Medium School Dailekh,Dailekh,Private,2072,
Gurase Agro Farm,Dailekh,Private,2072,
Binayak United Academy Dailekh,Dailekh,Private,2072,
Binayak Educational Network Dailekh,Dailekh,Private,2072,
Jambukandh Vidhya Mandir,Dailekh,Private,2072,
Gurukul Biddhyashram Dailekh,Dailekh,Private,2072,
Dailekh New Vision Academy,Dailekh,Private,2072,
D.K.Niketan School Dailakh,Dailekh,Private,2072,
