ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
AMAR RICE MILL,Dang,Private,2031,
SARASHWATI RICE AND OIL GENERAL INDUS.,Dang,Private,2042,
SPECTRA COLOR,Dang,Private,2043,
RAPTI NURSINGH HOME,Dang,Private,2043,
Ganesh Chitralaya,Dang,Private,2043,
NABA DURGA OIL MILL,Dang,Private,2043,
Sherpa T Nirman Sewa,Dang,Private,2044,
Kaushyala Chira Mandir,Dang,Private,2044,
Sharma & Subedi Oil Mile,Dang,Private,2044,
Ambikakeshweri Textile Industries,Dang,Private,2044,
Om Shanti Cinema Hal,Dang,Private,2046,
Durga Film,Dang,Private,2046,
Usha Tal Mill,Dang,Private,2047,
Rapti Roda Dhunga Udhyog,Dang,Private,2048,
Krisn Hotel & Ladge,Dang,Private,2048,
SAGUN PRAKASHAN,Dang,Private,2048,
Nepal Chiuri Ghee Udyog,Dang,Private,2049,
BARAHA YAKIKRIT KRISHI FIRM,Dang,Private,2049,
ROLPALI KRISHI MAL UDHYOG,Dang,Public,2050,
R.N. CONSTRUCION CO.PVT.LTD,Dang,Private,2050,
KADEL UNNAT BAKHRA PALAN PVT.LTD,Dang,Private,2050,
BISHNU CHALCHITRA MANDIR,Dang,Private,2050,
BUDDHA (JAYA) NURSING HOME PVT. LTD.,Dang,Private,2052,
BIMASH COLLECTION,Dang,Private,2052,
MANAKAMANA COAL INDUSTRIES,Dang,Private,2052,
HOTEL DANG VALLEY,Dang,Private,2052,
MAHASHAKTI COAL UDYOG PVT.LTD.,Dang,Private,2053,
Rapti Pulp Tatha Kaagaj Karkhana,Dang,Public,2053,
NISHAN COAL UDYOG PVT.LTD.,Dang,Private,2053,
SATYA (SHREE) SAI RAPTI COLOR LAB PVT. LTD.,Dang,Private,2053,
DANG VALLEY OIL MILL PVT.LTD.,Dang,Private,2053,
PANORAMA COAL UDYOG,Dang,Private,2053,
WESTERN NEPAL MINES COMPANY PVT.LTD.,Dang,Private,2053,
KIRAN COAL UDYOG,Dang,Private,2053,
AMBEKESWARI OFFSET PRESS PVT.LTD.,Dang,Private,2053,
MARIGOLD ENGLISH BOARDING SCHOOL,Dang,Private,2053,
BASANTI GRILL UDYOG PVT.LTD.,Dang,Private,2054,
S.B. TIME NETWORK PVT.LTD.,Dang,Private,2054,
BIBEK COAL UDYOG,Dang,Private,2054,
RAPTI SPACE CABLE TELEVISION,Dang,Private,2054,
KHIMAJIV CONSTRUCTION PVT.LTD.,Dang,Private,2054,
BHALUBANG KHADYA UDYOG PVT.LTD.,Dang,Private,2054,
EXPRESS HIGHWAY FUEL CENTRE,Dang,Private,2054,
SATYA SAI SPACE NETWORK PVT.LTD.,Dang,Private,2054,
