ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SHARADA HOTEL,Darchula,Private,2031,
MAHAKALI KHANDSARI SUGAR MILL,Darchula,Private,2039,
Darchula Wool Trading Company,Darchula,Public,2043,
Darchula Woll House,Darchula,Private,2044,
DARCHULA BIDHYUT,Darchula,Private,2050,
HOTEL OPERA PVT.LTD,Darchula,Private,2050,
URJA SHROT KENDRA,Darchula,Private,2053,
MALIKARJUN CHHAPAKHANA PVT.LTD.,Darchula,Private,2053,
MAN SAROBAR CABLE T.V. NETWORK,Darchula,Private,2058,
KANCHAN SARASWATI ENGLISH SCHOOL,Darchula,Private,2059,
MOUNT API SCHOOL,Darchula,Private,2060,
NEW MODERN SCHOOL DARCHULA,Darchula,Private,2061,
AITWAL BROTHER'S & JADIBUTI,Darchula,Private,2063,
DARCHULA PUBLIC SCHOOL,Darchula,Private,2064,
SHREE CHAULANI ENGLISH BOARDING SCHOOL,Darchula,Private,2064,
MANJARI CABLE NETWORK,Darchula,Private,2064,
M.B.L. Star Boarding School,Darchula,Private,2064,
Rainy Spectrum Boarding School,Darchula,Private,2064,
Basant Valley Public School,Darchula,Private,2064,
Noble Institute Of Information Technology International,Darchula,Private,2065,
Chaulani Shikhar Public School,Darchula,Private,2065,
Shailya Shikhar Boarding School,Darchula,Private,2065,
Golchha Sharp Stone,Darchula,Private,2065,
Darchula Shikhar Boarding School,Darchula,Private,2065,
Mount Api Nampa Public School,Darchula,Private,2065,
Braham Durga Cable,Darchula,Private,2066,
Malikarjun Natural Products,Darchula,Private,2066,
Apinampa Jadibuti Suppliers,Darchula,Private,2066,
Mashatakedar Cable Network,Darchula,Private,2066,
Mount Shikhar Boarding School,Darchula,Private,2066,
Chamelia Multiple Technical College,Darchula,Private,2067,
Accounting System Update Institute,Darchula,Private,2067,
Asian Academy Khalanga,Darchula,Private,2067,
Oxford International Academy Darchula,Darchula,Private,2067,
Aumtikar Public School,Darchula,Private,2067,
Darchula Holyland Boarding School,Darchula,Private,2068,
Kapchuli Education Foundation,Darchula,Private,2068,
Pancheswar Boarding School,Darchula,Private,2068,
Diamond Academy Boarding School Darchula,Darchula,Private,2069,
Braham Mallika Boarding School,Darchula,Private,2070,
Hikila Public School Darchula,Darchula,Private,2070,
Empower Academy Darchula,Darchula,Private,2072,
Malikarjun Boarding School Darchula,Darchula,Private,2072,
Kriti Ganesh  Krishi Farm,Darchula,Private,2072,
Sarathi Communication Network,Darchula,Private,2072,
Api Academy Darchula,Darchula,Private,2072,
Divya Gurukul Academy,Darchula,Private,2072,
Rising Star Bording School Darchula,Darchula,Private,2072,
Latinath Yatayat Sewa,Darchula,Private,2072,
