ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
RASUWA NUWAKOT GHARELU UDHYOG DEVELOPMENT COMPANY,Dhading,Public,2037,
BLUE MOON TRANSPORT COMPANY,Dhading,Private,2037,
JAY HAMRO KALI DEVI TRANSPORTS,Dhading,Private,2037,
DURGA TRANSPORT,Dhading,Private,2037,
SAROJ TRANSPORT,Dhading,Private,2037,
SITA MANI SUGAR MILLS,Dhading,Private,2038,
BALABAHADRA RODA DHUUNGA UDYOG CO,Dhading,Private,2039,
B. S. AND J. B. TRANSPORT COMPANY,Dhading,Private,2044,
Krishna Laxmi Roda Dhunga Udhyog,Dhading,Private,2045,
Chandrasurya Travels,Dhading,Private,2045,
NIRBEHWOR OIL CENTER,Dhading,Private,2046,
MOUNTAIN HERBLES,Dhading,Private,2049,
GANESH CONFECTINORY UDHYOG PVT.LTD,Dhading,Private,2049,
Birang Glass Industries,Dhading,Private,2049,
EVEREST AGRIGATE INDUSTRIES,Dhading,Private,2049,
SAPTAGANDAKI UDHYOG PVT.LTD,Dhading,Private,2050,
K.C. RODA DHUNGA UDHYOG,Dhading,Private,2050,
SHIVAPURI RESORT PVT LTD,Dhading,Private,2050,
BISHESH CARPETS P.LTD,Dhading,Private,2050,
BAJRA BLOCK UDHYOG PVT. LTD.,Dhading,Private,2051,
SAFAL CONSTRUCTION PVT. LTD.,Dhading,Private,2051,
SWASTIK RODA DHUNGA UDHYOG,Dhading,Private,2051,
SIDDHANT CHALCHITRA BHAWAN,Dhading,Private,2051,
DUK K CONSTRUCTION,Dhading,Private,2052,
GANESH HIMAL CONSTRUCTION,Dhading,Private,2052,
JAYA SIDDHI GANESH RODA DHUNGA UDHYOG,Dhading,Private,2052,
KARYA BINAYAK RODA DHUNGA UDYOG,Dhading,Private,2052,
ANGORA EKIKRIT KRISHI FARM PVT.LTD.,Dhading,Private,2053,
DAUNNE RODA DHUNGA UDYOG,Dhading,Private,2053,
MALLA TRANSPORT SERVICE PVT.LTD.,Dhading,Private,2053,
SHIKHAR CHALCHITRA BHAWAN PVT.LTD.,Dhading,Private,2053,
MAHESH MATI GOBAR GAS UDYOG PVT.LTD.,Dhading,Private,2053,
Balajeee cement  udyog,Dhading,Public,2053,
JYOTI PUNJA BOARDING SCHOOL PVT.LTD.,Dhading,Private,2053,
BLOOMING LOTUS ANGREJI VIDYALAYA PVT.LTD.,Dhading,Private,2053,
DHADING AWASIYA VIDYALAYA,Dhading,Private,2053,
SALYANTAR BAL BIKAS ENGLISH BOARDING SCHOOL,Dhading,Private,2053,
SHANTI DIP ACADEMY,Dhading,Private,2053,
C.B.S. SUNGABHA SCHOOL PVT.LTD.,Dhading,Private,2053,
CHILDREN PARK BOARDING SCHOOL,Dhading,Private,2054,
NAUBISE FEED,Dhading,Private,2054,
NISHA HYUME PIPE TATHA CONCRETE UDYOG PVT.LTD,Dhading,Private,2054,
SHERPAN HERBAL & CHEMICALS PVT.LTD.,Dhading,Private,2054,
SYSTEMA NEPAL (PAPER PRODUCTS) PVT.LTD.,Dhading,Private,2054,
FULL MOON HOTEL & RESTURENT PVT.LTD.,Dhading,Private,2054,
LAXMI POULTRY  FARM PVT.LTD.,Dhading,Private,2055,
KALIDEVI FURNITURE UDYOG CO.PVT.LTD.,Dhading,Private,2055,
DHADING OIL DISTRIBUTOR PVT.LTD.,Dhading,Private,2055,
DHAHDING BESI INDUSTRY & TRADERS,Dhading,Private,2055,
SAKURA BUILDERS,Dhading,Private,2055,
RANIBARI FARM PVT.LTD.,Dhading,Private,2055,
SADA JYOTI OIL DISTRIBUTORS PVT.LTD.,Dhading,Private,2055,
YETI TRANSPORT COPMANY,Dhading,Private,2055,
REMOTE ENVIRONMENT CONSTRUCTION PVT.LTD.,Dhading,Private,2055,
FLORA NEPAL PVT.LTD.,Dhading,Private,2055,
BRIJESH & BRIJAL SUPPLIERS,Dhading,Private,2055,
ANGAD WATER SPORTS & SEEKING RESORT,Dhading,Private,2056,
ORGANIC COFFEE & CASH CROPS ORCHARD,Dhading,Private,2056,
DHADING CABLE NETWORK,Dhading,Private,2056,
PUBLIC HEALTH & TECHNICAL EDUCATION SCHOOL,Dhading,Private,2056,
HIRA AND NAMITA CONSTRUCTION,Dhading,Private,2056,
HIMALAYAN TEA HOUSE TRADING,Dhading,Private,2056,
REAL HIGHWAY GARDEN RESTAURANT,Dhading,Private,2056,
BINAYAK KRISHI FARM,Dhading,Private,2056,
DYNO RESORT,Dhading,Private,2056,
BIHANI TRADERS,Dhading,Private,2057,
SUNDAR NIRMAN SEWA,Dhading,Private,2057,
BAJRANG CONCRETE UDYOG,Dhading,Private,2057,
JAYA BABA GORAKH CONSTRUCTION,Dhading,Private,2057,
VOLGA CONSTRUCTION,Dhading,Private,2057,
LOK NIRMAN SEWA,Dhading,Private,2057,
AMARAPURI BAHU-UDDESIYA KRISHI FARM PVT. LTD.,Dhading,Private,2057,
CHINAU AYURVED,Dhading,Private,2057,
DAS CHALCHITRA MANDIR,Dhading,Private,2057,
PEOPLE'S ENERGY,Dhading,Private,2057,
SHREEBAN ROCK CLIMBING  NATURE CAMP,Dhading,Private,2057,
SNOWLAND HERBS & ROSIN INDUSTRIES,Dhading,Private,2057,
UNIQUE FEED PRODUCT & POULTRY,Dhading,Private,2058,
KANDEL CONSTRUCTION,Dhading,Private,2058,
CHANDIKA CONCRETE UDHYOG,Dhading,Private,2058,
SHIVA GAS,Dhading,Private,2058,
dasha export,Dhading,Private,2058,
PRIME HYDROPOER COMPANY,Dhading,Private,2058,
HIMALAYAN TROUT FARM,Dhading,Private,2058,
LOVELY PANORAMA RESORT,Dhading,Private,2058,
ANNAPURNA MINES & MINERAL,Dhading,Private,2058,
EVEREST FUEL CENTRE,Dhading,Private,2058,
GANESH HIMAL ENERGY,Dhading,Private,2058,
PRITHIVI HIGHWAY FUEL CENTRE,Dhading,Private,2058,
AASTHA OIL STORE,Dhading,Private,2058,
WORLD VISION CABLE NETWORK,Dhading,Private,2058,
DHADING HYDROPOWER COMPANY,Dhading,Private,2058,
A-ONE CABLE NETWORK,Dhading,Private,2058,
L.R. MANAKAMANA KRISHI FARM,Dhading,Private,2059,
GAUMATI BHAIRABI OIL STORE,Dhading,Private,2059,
920 (NINE TWENTY) RESORT,Dhading,Private,2059,
R.R. FARM,Dhading,Private,2059,
MALEKHU CABLE NETWORK,Dhading,Private,2059,
KIBO INTERNATIONAL SCHOOL,Dhading,Private,2059,
G.S. PEOPLES ENERGY,Dhading,Private,2059,
SHIVA SHAKTI POULTRY AND FEEDS,Dhading,Private,2059,
DHUNIBESHI ACADEMY,Dhading,Private,2059,
JAGADAMBA GITTI UDHYOG,Dhading,Private,2059,
S.R. UPACHAR SEWA KENDRA,Dhading,Private,2059,
OM SWASTHYA SEWA KENDRA,Dhading,Private,2059,
SU.JI. PRATHAMIK SWASTHYA SEWA KENDRA,Dhading,Private,2059,
ARUSH CABLE NETWORK,Dhading,Private,2059,
BHAIRAVI SWASTHA SEWA KENDRA,Dhading,Private,2059,
SAMYOG PRATHAMIK SWASTHA SEWA KENDRA,Dhading,Private,2059,
NAUBISE SPACE CABLE NETWORK PVT.(LIQ.064.10.6,Dhading,Private,2059,
GANESH HIMAL NURSING HOME TATHA ANUSANDHAN KENDRA,Dhading,Private,2060,
SILU KUNDA RODA DHUNGA UDHYOG,Dhading,Private,2060,
SIDDHA BABA RODA DHUNGA UDHYOG,Dhading,Private,2060,
SUMA GROUP INDUSTRIES,Dhading,Private,2060,
BAGESHWARI BIDHYUT SUPPLIERS,Dhading,Private,2060,
KALA INTERNATIONAL,Dhading,Private,2060,
