ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Ladge Makalu,Dhankuta,Private,2033,
NARAYANI MATCH UDYOG,Dhankuta,Private,2034,
Hotel Mansarobar,Dhankuta,Private,2037,
ANANDA PRINTING PRESS,Dhankuta,Private,2039,
Shulu Tranning Company,Dhankuta,Private,2039,
Binayak Deep Enterprises,Dhankuta,Private,2039,
DUJA OFFSET PRINTERS,Dhankuta,Private,2042,
ASIAN FILMS INTERNATIONAL,Dhankuta,Private,2042,
Purbanchal Gaun Bikash Bank,Dhankuta,Public,2042,
ANNAPURNA GARMENT INDUSTRIES,Dhankuta,Private,2043,
SAGARMATHA TAYARI POSAK UDYOG,Dhankuta,Private,2044,
Nepal Garment  Industries,Dhankuta,Private,2044,
A One Roda Dhunga Udyog,Dhankuta,Private,2044,
Reliance Real Estate Service,Dhankuta,Private,2044,
Inter-Pack,Dhankuta,Private,2044,
Kiwanis Treading,Dhankuta,Private,2045,
Yathartha Prakashan,Dhankuta,Private,2045,
Nepal  Foram Of Invarmental Communicaters,Dhankuta,Private,2045,
Everest Trekking,Dhankuta,Private,2045,
Switebel Hotel,Dhankuta,Private,2045,
Bijayshree Udyog,Dhankuta,Private,2045,
Diary Prakashan,Dhankuta,Private,2045,
Danchinkali Cabul Udyog,Dhankuta,Private,2045,
Center Printing Press,Dhankuta,Private,2045,
Kasthamandap Publication,Dhankuta,Private,2046,
Shivshakti Printers,Dhankuta,Private,2046,
Satya Prakashan,Dhankuta,Private,2046,
Shree I. A.Wan carpet Industries,Dhankuta,Private,2046,
Media Pu.,Dhankuta,Private,2046,
Kalyan Prakashan,Dhankuta,Private,2047,
North Eastern Roadways,Dhankuta,Private,2047,
Distion  Consulting  Service,Dhankuta,Private,2047,
Times Cargo Services,Dhankuta,Private,2047,
Modern Secretarial Institute,Dhankuta,Private,2047,
Record Prakashan,Dhankuta,Private,2047,
Upbhokata Sewa Kendra,Dhankuta,Private,2047,
Variety Prienters,Dhankuta,Private,2047,
Shruti Accounting & Consultants,Dhankuta,Private,2047,
Quality Printers,Dhankuta,Private,2047,
H.S. Services,Dhankuta,Private,2047,
Harihar Builders,Dhankuta,Private,2048,
Office Metirials,Dhankuta,Private,2048,
Kurin Gharjagga Kharid Bikri Sewa,Dhankuta,Private,2048,
K G Ko,Dhankuta,Private,2048,
Divya Prakashan,Dhankuta,Private,2048,
TAKAMO GROUP OFENGINEERING,Dhankuta,Private,2048,
Rajdhani Ghar  Jagga Bandobst Sewa Kendra,Dhankuta,Private,2048,
Taraget International Cargo,Dhankuta,Private,2048,
Everest Publication,Dhankuta,Private,2048,
Himalayan Media Services,Dhankuta,Private,2048,
Global Business Link System,Dhankuta,Private,2048,
Junkiri Prakashan,Dhankuta,Private,2048,
Janayoug Prakashan,Dhankuta,Private,2048,
Tanahu Real Estate,Dhankuta,Private,2048,
I C S,Dhankuta,Private,2048,
MAGAZINE & DOCUMENT SERVICES,Dhankuta,Private,2048,
NEW ERA PUBLICATION,Dhankuta,Private,2048,
SAMBHAWANA PRAKASHAN,Dhankuta,Private,2048,
CENTRAL CREATION,Dhankuta,Private,2048,
Gauri shankar Publication,Dhankuta,Private,2048,
Annapurna Kargo,Dhankuta,Private,2049,
Plase Consulting Cor,Dhankuta,Private,2049,
Malla Constraction  Consaltancy,Dhankuta,Private,2049,
Engoy Nepal Prakashan,Dhankuta,Private,2049,
Pacific International Trading Company,Dhankuta,Private,2049,
Nabadurga Motor Driving Traning,Dhankuta,Private,2049,
Pacific Commercial Company,Dhankuta,Private,2049,
VICTOR HATCHERY,Dhankuta,Private,2049,
JUNKIRI TREKKS & EXPEDITION,Dhankuta,Private,2049,
PREMIER CABLE COMPANY,Dhankuta,Private,2049,
LEKALI PRAKASHAN,Dhankuta,Private,2049,
Chari Prakashan,Dhankuta,Private,2049,
Travinas Production,Dhankuta,Private,2049,
Anusandhan Tatha Pramarsha Bikas Sewa,Dhankuta,Private,2049,
Global Engineering & Computer Sales,Dhankuta,Private,2049,
Janata Prakashan,Dhankuta,Private,2049,
Andi Consultents Rearch Group,Dhankuta,Private,2049,
Bhavelly Housing Development Center,Dhankuta,Private,2049,
Environment  Connection & Protection Company,Dhankuta,Private,2049,
Jagarn Prakashan,Dhankuta,Private,2049,
Bal Baba Construction,Dhankuta,Private,2049,
Ghandrung Treks,Dhankuta,Private,2049,
Richa Publication,Dhankuta,Private,2049,
Deepganga Prakashan,Dhankuta,Private,2049,
Nepal Plaza Overseas,Dhankuta,Private,2049,
Holy Himal Tours & Travels,Dhankuta,Private,2049,
MODERN MANAGEMENT INSTITUTE PVT.LTD,Dhankuta,Private,2049,
MARKET LINK PVT.LTD,Dhankuta,Private,2049,
LOSHAR CARGO PVT.LTD,Dhankuta,Private,2049,
