ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
JANAKPUR CHUROT KARKHANA,Dhanusha,Public,2021,
JANAK DAIRY FIRM,Dhanusha,Private,2026,
SITA RICE MILL,Dhanusha,Private,2030,
Labkush Khadya Udyog,Dhanusha,Private,2031,
EVEREST CARDBORD INDUSTRIES,Dhanusha,Private,2031,
HIMALI LODGE UDYOG,Dhanusha,Private,2033,
Everest  Paper Mills,Dhanusha,Private,2038,
EVEREST PAPER MILLS,Dhanusha,Private,2038,
JANAKPUR KHADSARI CHINI KARKHANA,Dhanusha,Private,2039,
Hotel   Sis   Mahal,Dhanusha,Private,2041,
Janakapur Medical Center,Dhanusha,Private,2042,
Janaki Paper House,Dhanusha,Private,2043,
Janakpur Brick  Industries,Dhanusha,Public,2043,
Rilins Foot-ware,Dhanusha,Private,2044,
Everest Chappal Udyog,Dhanusha,Private,2044,
Mithila Auto And Engineering Works,Dhanusha,Private,2044,
Everest Soap & Chemical Industries,Dhanusha,Private,2044,
Wellcome Plastic,Dhanusha,Private,2045,
Murarka Plastic Industries,Dhanusha,Private,2045,
Janakpur Plastick,Dhanusha,Private,2047,
Everest Foot Wiars,Dhanusha,Private,2047,
Janak Janaki Engineering And Sales,Dhanusha,Private,2049,
UDAYA PAPER PRODUCT PVT.LTD,Dhanusha,Private,2049,
SHIVA SHAKTI STATIONERY UDHYOG PVT,Dhanusha,Private,2050,
Janak Plastic Industries,Dhanusha,Private,2050,
HOTEL JANAK NANDANI PVT LTD,Dhanusha,Private,2050,
BASNET BROTHERS,Dhanusha,Private,2050,
J.S.S. EXPORT IMPORT PVT.LTD,Dhanusha,Private,2050,
HANDMADE CARPET INDUSTRIES PVT.LTD,Dhanusha,Private,2050,
SITA MEDICAL INSTITUTE PVT LTD,Dhanusha,Private,2050,
EVEREST SUGAR AND CHEMICAL INDUSTRIES,Dhanusha,Public,2050,
SHIWANI TEXTILE PVT.LTD,Dhanusha,Private,2050,
G.L.,Dhanusha,Private,2051,
BAGMATI CHEMICALS PVT.LTD,Dhanusha,Private,2051,
J.B. PVT. LTD.,Dhanusha,Private,2051,
B.S.P. PVT. LTD.,Dhanusha,Private,2051,
GUHESHOWARI TRADING COMPANY,Dhanusha,Private,2051,
BASANA INTERNATIONAL PVT. LTD.,Dhanusha,Private,2051,
EAGLE INTERNATIONAL PVT. LTD.,Dhanusha,Private,2051,
SUBAS SEWA COMPANY PVT. LTD.,Dhanusha,Private,2051,
D.B.M. COMPANY PVT. LTD.,Dhanusha,Private,2051,
S.K. SUNADA TRADE PVT. LTD.,Dhanusha,Private,2051,
RIPA DADA TRADERS,Dhanusha,Private,2051,
BISAHARA ENTERPRISES PVT. LTD.,Dhanusha,Private,2051,
SADANANDA TRADERS,Dhanusha,Private,2051,
ARGAJA TRADE CENTRE,Dhanusha,Private,2051,
MEX TRADE COMPANY PVT. LTD.,Dhanusha,Private,2051,
SUNIKAS TRADE PVT. LTD.,Dhanusha,Private,2051,
TARIVET TRADE PVT. LTD.,Dhanusha,Private,2051,
ERSO LIGHT TRADING PVT. LTD.,Dhanusha,Private,2051,
DRISTANT BYAPAR (TRADE)PVT. LTD.,Dhanusha,Private,2051,
SHIWAGINI TRADE PVT. LTD.,Dhanusha,Private,2051,
A.A.C. TRADE COMPANY PVT. LTD.,Dhanusha,Private,2051,
ULFA TRADE PVT. LTD.,Dhanusha,Private,2051,
RIJA INTERNATIONAL,Dhanusha,Private,2051,
ADHIRI TRADING COMPANY PVT. LTD.,Dhanusha,Private,2051,
CEAR MEDICAL CENTRE,Dhanusha,Private,2051,
GANASHAYA INTERNATIONAL COMPANY,Dhanusha,Private,2051,
