ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Nurdun Industrial Carporetion,District not known,Private,2015,
Paschim Nepal Transport,District not known,Private,2020,
PIONEER CONSTRUCTION COMPANY,District not known,Private,2023,
Koshi Pump Station,District not known,Private,2024,
Eastern Nepal Trasnport,District not known,Private,2024,
NEPAL SYNTHETIC INDUSTRIES,District not known,Private,2024,
Cosmo Trek,District not known,Private,2025,
NEPAL SAJHA YATAYAT GAUN SEWA,District not known,Private,2026,
Mechi Aanchal Bus Service,District not known,Private,2030,
HOTEL JAYA INTERNATIONAL,District not known,Private,2030,
HOTEL ARCHID PVT.LTD.,District not known,Private,2031,
G L And Company,District not known,Private,2031,
V. W. COMPUTER SERVICE,District not known,Private,2032,
INTERNATIONAL TRANSPORT,District not known,Private,2032,
KAILASH CARGO SEWA,District not known,Private,2032,
Nepal Pesticideds & Chemicals,District not known,Private,2033,
Hotel Elephant Camp,District not known,Private,2033,
DHARAN MAIDYA UDHYOG,District not known,Private,2034,
RITA TRANSPORT,District not known,Private,2037,
ASIAN TREKKING,District not known,Private,2038,
MORNIYA MODERN RICE MILL,District not known,Private,2038,
LAXMI KHANDSARI SUGAR MILLS,District not known,Private,2039,
Trishuli Oil Store,District not known,Private,2039,
Office Me.Indu.,District not known,Private,2040,
Rajbhandari International Trade Cocern,District not known,Private,2041,
HOTEL LAXMI,District not known,Private,2042,
Shree Bramahani Nirman sewa,District not known,Private,2042,
K. R. FEED,District not known,Private,2042,
Shell Nepal B. V.,District not known,Private,2043,
Safari Adventure Loage,District not known,Private,2043,
Prabin Roda Inustries,District not known,Private,2044,
China Apprels,District not known,Private,2044,
Basanti Pauroti Udhyog,District not known,Private,2044,
Monaj Offset Press,District not known,Private,2044,
Hotel Kailali,District not known,Private,2045,
Sringar Kesh Tel Udhyog,District not known,Private,2045,
Everest Souvenir Center,District not known,Private,2046,
C.T.L. Pharmaceuticals,District not known,Private,2046,
Gomteem Nursing Home,District not known,Private,2047,
Hilari Travels & Tours,District not known,Private,2047,
Everst Vidio & Films,District not known,Private,2048,
HIMALAYAN INTEGRATED DEVELOPMENT,District not known,Private,2048,
Susma Carpet Industries,District not known,Private,2048,
Bakratunda Trading House,District not known,Private,2048,
Bageshwory Chiura Udhyog,District not known,Private,2048,
Uma Guarment,District not known,Private,2049,
Mahakali Cold Retrading,District not known,Private,2049,
Cha. S. Ta. Mar.Udhy.,District not known,Private,2049,
Tri Devi Prodiction,District not known,Private,2049,
Makers India,District not known,Private,2049,
Kalinchowk  Saino Resort,District not known,Private,2049,
BAGMATI TELECOM ENTERPRISE,District not known,Private,2049,
Everesr sugar and chemical industries,District not known,Public,2050,
KEVI EXPORT IMPORT PVT.LTD,District not known,Private,2050,
Image Plus,District not known,Private,2050,
SHRISTI CONSTRUCTION,District not known,Private,2052,
COMPUTER CARE,District not known,Private,2052,
Satish Kurani Pisani tatha Chiura Udhyog,District not known,Private,2052,
NEPAL GRAMIN FARM,District not known,Private,2052,
LUMBINI INDUSTRIES PVT.(MERGED IN LUMBINI VI*,District not known,Private,2053,
OM DANA UDYOG PVT.LTD.,District not known,Private,2053,
INSTITUTION DEVELOPERS FOR EDUCATIONAL,District not known,Private,2053,
SERC CONSTRUCTION,District not known,Private,2053,
Temple City Trading Group,District not known,Private,2054,
Alternative Mode Of Transport,District not known,Private,2055,
"""KATHMANDU FLAT SYSTEMS COMPANY"",""14860",District not known,Private,2057,
"""BAABAA  PROMOTORS "",""18391",District not known,Public,2058,
