ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HIMCHULI LODGE DOLAKHA,Dolakha,Private,2037,
Cherdong Lodge,Dolakha,Private,2038,
LOK KALYAN CONSTRUCTION COMPANY,Dolakha,Private,2040,
B. B. Pandit and Company,Dolakha,Private,2043,
KGK Carpet  Industries,Dolakha,Private,2049,
SANA KISAN NEPALI KAGAJ UDYOG,Dolakha,Private,2050,
JIRI JADIBUTI UDHYOG,Dolakha,Private,2050,
EVEREST PACKING INDUSTRIES,Dolakha,Private,2052,
DOLKHA BYAPAR COMPANY,Dolakha,Private,2052,
SAILUNG RESORT ADVENTURE PVT.LTD.,Dolakha,Private,2052,
GAURI SHANKAR CHEROLPA RESORT PVT.LTD.,Dolakha,Private,2052,
HOTEL GAURI HIMAL,Dolakha,Private,2052,
SHADIKSHA CHALCHITRA MANDIR PVT.LTD.,Dolakha,Private,2053,
SILVER STAR ENGLISH BOARDING SCHOOL,Dolakha,Private,2053,
TRIPURA GLOWRIAS ACADEMY,Dolakha,Private,2053,
SABET (NEPAL) CARPET,Dolakha,Private,2054,
CHARIKOT PYANOROMA RESORTS,Dolakha,Private,2054,
HOTEL JIREL GABILA,Dolakha,Private,2054,
GHIMIRE NIRMAN SEWA,Dolakha,Private,2055,
SERABESI MAHADEV NIRMAN SEWA,Dolakha,Private,2055,
INDU DRIVING INSTITUTE,Dolakha,Private,2055,
Dolakha Dugdha Udyog,Dolakha,Public,2056,
DOLAKHA MULTI-SECTORAL TRAINING INSTITUTE,Dolakha,Private,2056,
UPAKAR NIRMAN SEWA,Dolakha,Private,2056,
GAURISHANKAR CABLE T.V. NETWORK SERVICE,Dolakha,Private,2056,
BHITTERI BAN PAIDAWAR PRASODHAN,Dolakha,Private,2056,
BHIMESHWOR CABLE NETWORK,Dolakha,Private,2056,
BAZRA HATE KAGAJ,Dolakha,Private,2056,
SUMERU NEPALI KAGAJ,Dolakha,Private,2056,
SUBEDI NEPALI KAGAJ UDDHYOG,Dolakha,Private,2056,
KALINCHOWK MILIJULI CABLE NETWORK,Dolakha,Private,2057,
GAURISHANKER MANAV SHROT BIKAS KENDRA NEPAL,Dolakha,Private,2057,
KALINCHOWK RESORT,Dolakha,Private,2057,
BHIMESHWAR KAGAJ UDDHYOG,Dolakha,Private,2057,
CHARIKOT MOUNTAIN RESORT,Dolakha,Private,2057,
SUNKOSHI NIRMAN SEWA,Dolakha,Private,2057,
SAMUDAYIK BAN JADIBUTI TATHA KAGAJ UDHYOG,Dolakha,Private,2057,
GAURI SHANKER PRINTING PRESS,Dolakha,Private,2057,
GAURI SHANKER RESHA TATHA NEPALI KAGAJ UDHYOG,Dolakha,Private,2057,
PANDIT KAMALA BAN PAIDAWAR PRASHODHAN,Dolakha,Private,2058,
KALINAG VENEER WOODGRASS AND SAW MILL,Dolakha,Private,2058,
OSIN CONSTRUCTION & SUPPLIERS,Dolakha,Private,2059,
BHIMESHWAR COLOUR LAB,Dolakha,Private,2059,
MOUNT VALLEY ACADEMY,Dolakha,Private,2059,
SANJAYA & SANTOSH CABLE NETWORK,Dolakha,Private,2059,
BHIMESHWOR SURYODAYA EDUCATIONAL ACADEMY,Dolakha,Private,2059,
DOLAKHA BHIMESHWAR CABLE NETWORK,Dolakha,Private,2059,
TSHO ROLPA GENERAL HOSPITAL,Dolakha,Private,2059,
THE RISING STAR SCHOOL,Dolakha,Private,2059,
BASNET ACADEMIC ENGLISH BOARDING SCHOOL,Dolakha,Private,2059,
KALINCHOWK CABLE NETWORK,Dolakha,Private,2059,
AANKURA ENGLISH BOARDING SCHOOL,Dolakha,Private,2060,
VIDHYA PREMI ENGLISH SCHOOL DOLAKHA,Dolakha,Private,2060,
BHIMESHWAR VIDHYUT BITARAN TATHA BIKASH,Dolakha,Private,2060,
RAYA BAHUKRISHI ANUSANDHAN,Dolakha,Private,2060,
TAMAKOSHI HYDROPOWER,Dolakha,Private,2060,
Himalayan Crown Boarding School,Dolakha,Private,2060,
Tschhorolpa Shaikshik Pratisthan,Dolakha,Public,2060,
SALLERI BHIMESHWOR COMPANY,Dolakha,Private,2061,
HEMANTA MEMORIAL CABLE NETWORK,Dolakha,Private,2061,
GAURISHANKAR ENGLISH BOARDING SCHOOL DOLAKHA,Dolakha,Private,2061,
KALINCHOWK ENGLISH BOARDING SCHOOL DOLAKHA,Dolakha,Private,2061,
SUNRISE ACADEMY DOLAKHA,Dolakha,Private,2061,
JIRI CABLE T.V. NETWORK,Dolakha,Private,2061,
PAHADI NEPALI BASTU UDHYOG,Dolakha,Private,2061,
DOLAKHA CABLE NETWORK,Dolakha,Private,2061,
EVEREST GATEWAY HERBS,Dolakha,Private,2061,
MODERN NEPAL SCHOOL,Dolakha,Private,2061,
EMMANUEL ENGLISH BOARDING SCHOOL DOLAKHA,Dolakha,Private,2061,
BHIMESHWOR GHARJAGGA KHARIDBIKRI COMPANY,Dolakha,Private,2061,
BHIMESHWAR GAIR KASTHA BAN PAIDAWAR UTPADAN TATHA  PRASHODHAN,Dolakha,Private,2061,
VIVID TIME NETWORK,Dolakha,Private,2062,
CHARILAND BROTHERS CONSTRUCTION & SUPPLY COMPANY,Dolakha,Private,2062,
UPAKAR NIRMAN SAMAGRI UTPADAN TATHA SUPPLIERS,Dolakha,Private,2062,
ALPINE PUBLIC SCHOOL DOLAKHA,Dolakha,Private,2063,
JIRI JALASHROT BIKASH,Dolakha,Private,2063,
TAMAKOSHI CONSTRUCTION COMPANY,Dolakha,Private,2063,
