ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
MAHAKALI RICE OIL AND FLOUR MILLS,Dolpa,Private,2017,
PAPATI INDUSTRIES AND PHARMACIAL,Dolpa,Private,2023,
MAKALU,Dolpa,Private,2024,
SHYAM TEXTILE,Dolpa,Private,2025,
J. K. SPICES,Dolpa,Private,2030,
BHERI ICE FACTORY,Dolpa,Private,2031,
GANESH HIMAL RICE MILL,Dolpa,Private,2031,
PASCHIMANCHAL KHADHYA UDHYOG,Dolpa,Private,2031,
SARALA MAIDA MILLS,Dolpa,Private,2033,
NEPALGUNJ STEEL WORKSHOP,Dolpa,Private,2034,
JAYA BAGESHWORI BAKERY P. LTD.,Dolpa,Private,2040,
BINAYAK BISCUIT PVT.LTD,Dolpa,Private,2040,
HIMANSU KHADYA UDYOG,Dolpa,Private,2048,
Blue Ship Treks Inn,Dolpa,Private,2048,
KARNALI PAPER MILLS,Dolpa,Private,2048,
BANESH BISCUIT UDHYOG PVT.LTD,Dolpa,Private,2050,
TAPIRICHA BOARDING SCHOOL PVT.LTD.,Dolpa,Private,2053,
JUFAL DISTILLRY,Dolpa,Private,2054,
TRIPURA SUNDARI JADIBUTI SAMRACHHAN TATHA PR*,Dolpa,Private,2055,
NARAYANI & SHILA CONSTRUCTION PVT.LTD.,Dolpa,Private,2055,
DEV (SHREE) NETWORK VISION,Dolpa,Private,2057,
DOLPA TRADE LINK,Dolpa,Private,2057,
DOLPA CABLE NETWORK,Dolpa,Private,2060,
TRIPURA CABLE NETWORK,Dolpa,Private,2062,
LUCKY NETWORK,Dolpa,Private,2062,
JUFAL CABLE TV NETWORK,Dolpa,Private,2064,
Motherland Foksundo Academy,Dolpa,Private,2064,
Dolpo Educational English School,Dolpa,Private,2065,
Dev Laxmi Cable Network,Dolpa,Private,2066,
Kanjirowa Jadibuti Utpadan Prashodhan Tatha Suppliers,Dolpa,Private,2066,
Lord Buddha English School Dolpa,Dolpa,Private,2067,
She Phokasundo Minerals & Herbal,Dolpa,Private,2067,
J.B. Jadibuti Tatha Cargo Suppliers,Dolpa,Private,2068,
Alisha Himali Nirman Sewa,Dolpa,Private,2069,
Dolpo Malika Krishi Anushandhan Kendra,Dolpa,Private,2069,
Mount Kailas Jadibuti Company,Dolpa,Private,2070,
Tripura Chirayu Swasthya Sadan,Dolpa,Private,2071,
Dibyajyoti Indrayani Sahayogi Sanstha,Dolpa,Non-Profit Distributing,2071,
Mukuteshwar Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Pahada Phoksundo Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Jagadula Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Moure Rimi Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Ganesh Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Nilkantha Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Balangchaur Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Masta Bhagawati Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Tuldhara Bantadi Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Tripura Sundari Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Pahile Himal Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Phedi Khola Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2071,
Dolpa Dental Home,Dolpa,Private,2071,
Rosa Farming Concepts,Dolpa,Private,2071,
Phoksundo Adventure,Dolpa,Private,2071,
Samling Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2072,
Bijul Masta Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2072,
Kanjirewa Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2072,
Bhairab Nadi Upabhokta Nirman Sanstha,Dolpa,Non-Profit Distributing,2072,
Kula Palsang Herbal Company,Dolpa,Private,2072,
