ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HOTEL EVEREST KHAPTED,Doti,Private,2040,
RAJESWARI OIL INDUSTRIES,Doti,Private,2052,
NIRMAL GUEST HOUSE PVT.LTD.,Doti,Private,2053,
KATHAYAT ADHUNIK RICE MILL PVT.LTD.,Doti,Private,2055,
M.M. CONSTRUCTION,Doti,Private,2058,
NORIDANG RURAL HYDROPOWER,Doti,Private,2059,
GANESH ISHWARI (SHREE) PABITRA EDUCATION PVT.,Doti,Private,2059,
RAMESH DEEP CABULE NETWORK,Doti,Private,2059,
PARBHAT VISION NETWORK,Doti,Private,2059,
RONAK CABULE NETWORK,Doti,Private,2060,
MORNING LIGHT BOARDING SCHOOL DOTI PVT. LTD.,Doti,Private,2061,
Mount Saipal International Academy,Doti,Private,2061,
HIMSHREE HERBAL PROSHODHAN COMPANY,Doti,Private,2061,
THE RISING  LAND ENGLISH BOARDING SCHOOL DOTI,Doti,Private,2061,
SILGADHI COLOUR LAB,Doti,Private,2062,
EXCELLENT BABA ACADEMY,Doti,Private,2063,
ROYAL NEPAL CONSULTANCY,Doti,Private,2064,
KHAPTAD BABA EDUCATION SCHOOL,Doti,Private,2064,
"SHREE NAVADEEP VIDHYA NIKETAN BOARDING SCHOOL, DOTI",Doti,Private,2064,
Tapi Network,Doti,Private,2064,
Crystal English Boarding School,Doti,Private,2065,
Kedareshwar Saraswati English Boarding School,Doti,Private,2066,
Sunakhari English Boarding School Doti,Doti,Private,2066,
Soojung Health & Technical Academy,Doti,Private,2066,
Shaileshwari Higher Secondary School Silgadhi,Doti,Private,2066,
Seti Academy,Doti,Private,2066,
Seti Model English Boarding School,Doti,Private,2066,
Amar Jyoti Education School Doti,Doti,Private,2066,
Dibya Jyoti Vidhya Niketan Doti,Doti,Private,2066,
Muna Memorial Academy Dehumandu,Doti,Private,2066,
Lord Buddha Hotel Silgadi Doti,Doti,Private,2066,
Bhairav Academy Banjhkakani Doti,Doti,Private,2066,
Malika Education School Doti,Doti,Private,2067,
Genius International Academy Doti,Doti,Private,2067,
New S.T.S. Cable Net,Doti,Private,2067,
Hillside Academy Doti,Doti,Private,2067,
Chandika English Boarding School Doti,Doti,Private,2067,
Little Star Vidhya Niketan Toleni,Doti,Private,2067,
Brain Light Boarding School,Doti,Private,2067,
Genius Generation Academy Doti,Doti,Private,2068,
Muna Memorial English Academy Silgadhi,Doti,Private,2068,
Jay Kedar Polyclinic,Doti,Private,2068,
Saraswati International Academic Memorial,Doti,Private,2068,
Bhawani English Boarding School Doti,Doti,Private,2068,
New Word Line English School Talara Doti,Doti,Private,2068,
Chatiwan Krishi Bikash,Doti,Private,2068,
Bhageshor Engineering Consultancy & Construction Company,Doti,Private,2068,
Shining Star Education Doti,Doti,Private,2068,
Jay Naryal English Boarding School,Doti,Private,2068,
Janakalyan Academy Dhurkot Doti,Doti,Private,2068,
S.P. Academy Doti,Doti,Private,2068,
Nawa Prabhat  Academy Doti,Doti,Private,2068,
Himalayan Ugratara Education Academy,Doti,Private,2069,
Khaptad Gobar Gas,Doti,Private,2069,
Dipayal Technical College,Doti,Private,2069,
Pashchim Seti Polytechnical College,Doti,Private,2069,
Peace International Technical College,Doti,Private,2069,
Ichchha Technical College,Doti,Private,2069,
Pioneer Science & Technical College,Doti,Private,2069,
Osin & Robin Travels,Doti,Private,2069,
Shahi Polyclinic Sewa,Doti,Private,2069,
Laldevi Sawadi Shaileshwori Advertising Agency,Doti,Private,2069,
Shree Kedar Boarding School Doti,Doti,Private,2069,
G.D. Polyclinic,Doti,Private,2069,
B. & B. Multipurpose,Doti,Private,2070,
Dipayal technical Training Institute,Doti,Private,2070,
Saileshwori Polyclinic,Doti,Private,2070,
Chopada Hospital Pvt. Ltd.,Doti,Private,2070,
Durga Maheshwor Boarding School Doti Pvt . Ltd,Doti,Private,2070,
Unique Academy Doti,Doti,Private,2070,
Khaptad Durga Laxmi Academy Doti,Doti,Private,2070,
Shreekrishna Vision Academy Doti,Doti,Private,2071,
Milestone Academy Doti,Doti,Private,2071,
Peace Zone National Academy Doti,Doti,Private,2071,
D.K. Academy Doti,Doti,Private,2071,
Bogtan Kirsi Utpadan tatha Prosodhag Udhyog,Doti,Private,2071,
S. K. English Boarding School Doti,Doti,Private,2071,
Laxman Pioneer English Boarding School Doti,Doti,Private,2071,
Dipayal Academy School Doti,Doti,Private,2071,
Sunflower English Academy Doti,Doti,Private,2071,
Bahadur Rokaya Krishi Bikash Farm,Doti,Private,2071,
Seti Media Network,Doti,Private,2072,
Kedar Namuna Vidya Niketan Doti,Doti,Private,2072,
Khaptad Multipurpose,Doti,Private,2072,
Hanuman Horticulture Farm,Doti,Private,2072,
Far West Media,Doti,Private,2072,
Shubha Tara English Boarding School Doti,Doti,Private,2072,
K.G. Green Energy Park,Doti,Private,2072,
Lali Gurans Academy Doti,Doti,Private,2072,
Sunshine Memorial Bording School Doti,Doti,Private,2072,
Kuleshwor Technical Institute Doti,Doti,Private,2072,
N.S. Group Trade Link,Doti,Private,2072,
Hotel Riverside,Doti,Private,2072,
Shree Kaphali English School Doti,Doti,Private,2072,
Ishwori polyclinic,Doti,Private,2072,
