ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
DURGA RICE OIL AND FLOUR MILLS,Gorkha,Private,2009,
Hotel Gorkha  Bisauni,Gorkha,Private,2034,
HOTEL DOUDHA POKHARI,Gorkha,Private,2040,
JYOTI COIL UDYOG COMPANI,Gorkha,Private,2042,
Siran Dada Dugdha Utpadan Tatha Prashodan Company,Gorkha,Private,2046,
Gogan Pani Jadibuti Utpadan Tatha Prosodan Company,Gorkha,Private,2047,
Cable Car Company,Gorkha,Private,2048,
FLORA TAWEL INSUDTRIES,Gorkha,Private,2048,
GURKHA INN VILLAGE HOTEL,Gorkha,Private,2048,
PRAGATI KAPADA UDHYOG,Gorkha,Private,2048,
BHAGAWAN TEXTILE,Gorkha,Private,2049,
Himali Chalachitr Mandir,Gorkha,Private,2049,
TRIDEV ROLLING IRON INDS PVT.LTD,Gorkha,Private,2049,
GORKHA FRUITS TRADING PVT. LTD.,Gorkha,Private,2051,
HIGH MOUNTAIN CRAFTS,Gorkha,Private,2052,
VILLAGE (THE) ENGLISH SCHOOL PVT.LTD.,Gorkha,Private,2053,
THE OLD CAPITAL EDUCATIONAL INSTITUTE,Gorkha,Private,2053,
GORAKHKALI GOBAR GAS & URJA BIKAS CO.PVT.LTD.,Gorkha,Private,2054,
GORAKHA CABLE TELEVISION NETWORK PVT.LTD.,Gorkha,Private,2055,
MOUNTAIN VIEW PVT.LTD.,Gorkha,Private,2055,
DARAUDI PRAKASHAN PVT.LTD.,Gorkha,Private,2055,
SANJIVANI AYURBED CO. PVT.LTD.,Gorkha,Private,2055,
BARPAK GRAMIN BIDDHUTIKARAN COMPANY,Gorkha,Private,2056,
SIRANCHOWK NURSING HOME & RESEARCH PVT. LTD.,Gorkha,Private,2056,
SHALIMAR CONSTRUCTION COMPANY,Gorkha,Private,2057,
GORAKHA POWER COMPANY,Gorkha,Private,2057,
NORTH GORKHA CONSTRUCTION,Gorkha,Private,2057,
MANASALU PRAKASHAN,Gorkha,Private,2057,
GORAKHKALI WOODEN PRODUCTS,Gorkha,Private,2057,
HOLIDAY NETWORK PVT. LTD.,Gorkha,Private,2058,
SHUBHA LAXMI CONSTRUCTION,Gorkha,Private,2058,
SHILA CABLE NETWORK,Gorkha,Private,2059,
ANDHERI KHOLA LAGHU JALA BIDHYUT,Gorkha,Private,2059,
CHHOTEKHOLA BAHU UDDESIYA LAGHU JAL BIDHYUT,Gorkha,Private,2059,
CHHARE KHOLA LAGHU JAL BIDHYUT AAYOJANA,Gorkha,Private,2059,
HILME LAGHU JAL BIDHUT AAYOJANA,Gorkha,Private,2059,
JANASEWA LAGHU JAL BIDHYUT,Gorkha,Private,2059,
JHYALLABHUME DOSHRO JAL BIDHUT COMPANY,Gorkha,Private,2059,
NAWA SRIJANA  PASHU PALAN KENDRA,Gorkha,Private,2060,
HELPING TREKKING & TRAVELS,Gorkha,Private,2060,
BAJRA BHAIRAV GROUP OF INDUSTRIES,Gorkha,Private,2060,
BAJRA BHAIRAV PRINTING SERVICE,Gorkha,Private,2060,
DARAUDI CABLE NETWORK,Gorkha,Private,2060,
INFOTECH COLLEGE OF HARDWARE ENGINEERING,Gorkha,Private,2060,
GORAKHA MANAKAMANA BOARDING SCHOOL,Gorkha,Private,2060,
UNITED EDUCATIONAL INSTITUTE,Gorkha,Private,2060,
SINGLA MICRO HYDRO PROJECT,Gorkha,Private,2060,
RASHMI & ROSHANI FURNITURE UDHYOG,Gorkha,Private,2061,
LILI JALVIDHYUT,Gorkha,Private,2061,
THE ANNAPURNA ANGREJI AWASIYA VIDDHYALAYA GORKHA,Gorkha,Private,2061,
GORAKHA URJA BIKAS COMPANY,Gorkha,Private,2061,
GORKHA ENGLISH BOARDING SCHOOL,Gorkha,Private,2061,
PREM MEMORIAL HOSPITAL AND RESEARCH CENTRE,Gorkha,Private,2061,
SNEHA PRINTING PRESS,Gorkha,Private,2061,
Advance Community School,Gorkha,Public,2061,
SUREN HEART YATAYAT SEWA,Gorkha,Private,2062,
MOTHERLAND ENGLISH PRIMARY SCHOOL,Gorkha,Private,2062,
MODERN ENGLISH BOARDING SCHOOL GORKHA,Gorkha,Private,2062,
GORKHA MODERN SCHOOL,Gorkha,Private,2062,
MANAKAMANA HILL SIDE ACADEMY,Gorkha,Private,2062,
GANDAKI LEKHA BYABASAYA TATHA TALIM SEWA KENDRA,Gorkha,Private,2063,
RECEIVE REMIT,Gorkha,Private,2063,
GORAKHA PRABIDHIK PRASHIKSHAN KENDRA,Gorkha,Private,2063,
LAXMI EDUCATIONAL INSTITUTE,Gorkha,Public,2063,
SHYAM BEL DIAGNOSTIC & POLY CLINIC,Gorkha,Private,2063,
GORAKHNATH MONEY TRANSFER,Gorkha,Private,2063,
TIRUPATI MONEY TRANSFER,Gorkha,Private,2063,
Samata shikshya niketan,Gorkha,Private,2063,
EVERGREEN ACADEMY GORKHA,Gorkha,Private,2063,
SHREE GENIUS  GORKHA ENGLISH SCHOOL,Gorkha,Private,2063,
GHYAMPESHAL SHAIKSHIK BIKAS KENDRA,Gorkha,Private,2063,
MOUNT VISION SCHOOL GORAKHA,Gorkha,Private,2063,
NEPAL GLOBAL UNIVERSAL ENGLISH BOARDING SCHOOL,Gorkha,Private,2064,
NEPALESE ADVANCE BOARDING SCHOOL,Gorkha,Private,2064,
LIG LIG PUBLIC SCHOOL,Gorkha,Private,2064,
JANA SHAKTI TATHA SADHAN PARICHALAN,Gorkha,Private,2064,
GORAKHKALI SUB MONEY TRANSFER,Gorkha,Private,2064,
Gaurab Academy,Gorkha,Private,2064,
Sagun English Boarding School,Gorkha,Private,2064,
Gorkha Appropriate Technology for Re-Construction,Gorkha,Private,2064,
Bauddha Himal Academy,Gorkha,Private,2064,
Pauwatar Pragati English School,Gorkha,Private,2064,
Bright Future Academy Gorkha,Gorkha,Private,2064,
Stone Investment Company,Gorkha,Private,2064,
Friends Investment Company,Gorkha,Private,2064,
Saksham Investment Company,Gorkha,Private,2064,
B.S.B. Investment Company,Gorkha,Private,2064,
Shringi  Investment Company,Gorkha,Private,2064,
Aama-Baa Hospital And Research Center,Gorkha,Private,2065,
Juna Devi English Boarding School,Gorkha,Private,2065,
Thantipokhari Baljyoti English Boarding School,Gorkha,Private,2065,
Social Active Boarding School,Gorkha,Private,2065,
Bhachchek Samudayik Aspatal Gorkha,Gorkha,Private,2065,
Advance Gorkha Construction,Gorkha,Private,2065,
Shiva Babu Construction,Gorkha,Private,2065,
Apeksha Future English Boarding School,Gorkha,Private,2065,
Surya Memorial Boarding School,Gorkha,Private,2065,
Children Glad English Boarding School,Gorkha,Private,2065,
Uttam Jadibuti Utpadan Tatha Prasodhan,Gorkha,Private,2065,
Surya Mukhi English Boarding School,Gorkha,Private,2065,
Gandaki Nursing Home & Research Centre,Gorkha,Private,2065,
The New Origin Community English School,Gorkha,Private,2065,
Gorkha Oxford International Academy,Gorkha,Private,2065,
