ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
JANAPRIYA GOBAR GYAS COMPANY,Gulmi,Private,2053,
KALIKA BOARDING SCHOOL PVT.LTD.,Gulmi,Private,2053,
CHAURASI ENGLISH BOARDING SCHOOL PVT.LTD.,Gulmi,Private,2053,
RAINBOW ENGLISH BOARDING SCHOOL PVT.LTD.,Gulmi,Private,2053,
RESHUNGA COLOR LAB PVT.LTD.,Gulmi,Private,2054,
LASHOR CINEMA,Gulmi,Private,2054,
TAMGHAS CABLE DISTRIBUTORS,Gulmi,Private,2054,
RESUNGA PRINTERS & STATIONARY PVT.LTD.,Gulmi,Private,2055,
RURU POWER COMPANY,Gulmi,Private,2056,
TAMGHAS TECHNICAL INSTITUTE,Gulmi,Private,2056,
BHATTARAI PASHU PALAN TATHA HASTAKALA SUDHAR SAMTHA,Gulmi,Private,2056,
NEW SHINE STAR ENGLISH BOARDING SCHOOL GULMI,Gulmi,Public,2059,
LUMBINI MARBLE INDUSTRIES,Gulmi,Private,2059,
RESUNGA CABLE NETWORK,Gulmi,Private,2059,
ADARSHA VIDHYA ASHRAM ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2059,
RUDRA GANGA ENGLISH BORDING SCHOOL (GULMI),Gulmi,Private,2060,
LUMBINI BUSINESS SUPPORT CENTRE,Gulmi,Private,2060,
GOODWILL ENGLISH BOARDING SCHOOL,Gulmi,Private,2060,
GAURI SHANKAR ENGLISH BOARDING SCHOOL,Gulmi,Private,2060,
SUNRISE ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2060,
RESUNGA ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2060,
LITTLE STARS PUBLIC SCHOOL GULMI,Gulmi,Private,2060,
GANDAKI ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2060,
SIMIBHUMI ENGLISH BOARDING SCHOOL,Gulmi,Private,2060,
MOON LIGHT ENGLISH BOARDING SCHOOL,Gulmi,Private,2060,
CHAKRESHWOR ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2060,
SHREE GLORY ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2061,
MARIGOLD ENGLISH BOARDING SCHOOL,Gulmi,Private,2061,
GREENBURD ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2061,
KISAN AWASHIYA MADHYAMIK BIDHYALAYA GULMI,Gulmi,Private,2061,
ARJUN ENGLISH BOARDING HIGH SCHOOL GULMI,Gulmi,Private,2061,
POLARIS SECONDARY BOARDING SCHOOL GULMI,Gulmi,Private,2061,
UNIQUE CHILDREN'S ACADEMY ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2061,
BHANU LOWER SECONDARY ENGLISH BOARDING SCH *,Gulmi,Private,2061,
BRIGHTER ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2061,
READERS' PUBLIC HIGH SCHOOL GULMI,Gulmi,Private,2061,
MALIKA ENGLISH BOARDING SECONDARY SCHOOL GUL*,Gulmi,Private,2061,
NEW DAWN  ENGLISH BOARDING SCHOOL  GULMI,Gulmi,Private,2061,
BHANDARI AAYURVED DHAM .,Gulmi,Private,2061,
RIDI CABLE T.V. NETWORK,Gulmi,Private,2062,
Y.K. REMIT,Gulmi,Private,2062,
GAUTAM BUDDHA MONEY EXCHANGE,Gulmi,Private,2063,
GAINDAKOT ENGLISH BOARDING SCHOOL GULMI,Gulmi,Private,2063,
Gaidakot English Boarding School,Gulmi,Private,2063,
RADIO RESUNGA,Gulmi,Private,2063,
CHHATRA DEVI  EVERGREEN BOARDING,Gulmi,Private,2063,
SHUBHA SIDDHA BABA DISTRIBUTORS,Gulmi,Private,2063,
TAMGHAAS BELIEVERS ENGLISH SCHOOL,Gulmi,Private,2063,
CHARPALA CABLE SPACE,Gulmi,Private,2064,
SIDDHA ENGLISH BOARDING SCHOOL ARJAI,Gulmi,Private,2064,
BEST SOCIETY ENGLISH SCHOOL,Gulmi,Private,2064,
JANA PRAGATI  ENGLISH BOARDING SCHOOL,Gulmi,Private,2064,
Bhairabkali Public English School,Gulmi,Private,2064,
Aglung Gaumukhi Bright Future Academy,Gulmi,Private,2064,
Little Flower Boarding School gulmi,Gulmi,Private,2064,
Resunga Net Service,Gulmi,Private,2065,
Resunga Madane Jadibuti Tatha Krishi Utpadan Prashodhan,Gulmi,Private,2065,
Ruru Multi Media,Gulmi,Private,2065,
Jaya Lal English Boarding School,Gulmi,Private,2065,
