ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Nal Kankar Distributer,Humla,Private,2041,
PRAKASH JADIBUTI PRASODHAN COMPANY PVT. LTD,Humla,Private,2050,
HUMLA OIL,Humla,Private,2051,
HUMLA JADIBUTI PRASODHAN,Humla,Private,2051,
HOTEL MANSAROBAR PVT.LTD.,Humla,Private,2053,
D.K.D. KAILASA,Humla,Private,2056,
ROKAYA SHOPPING CENTRE,Humla,Private,2057,
MALIKA JADIBUTI PRASODHAN,Humla,Private,2059,
RACE CONSULTANCY,Humla,Private,2060,
SHANTI VIDHYA GRIHA (HUMLA),Humla,Private,2060,
ADITYA CABLE T.V. NETWORK,Humla,Private,2062,
KARNALI ALPINE PRODUCTS,Humla,Private,2062,
BALUNG RESORT,Humla,Private,2064,
Raling Cable Network,Humla,Private,2064,
Hidden Himalaya Ranch & Resort,Humla,Private,2065,
Panchamukhi Hardware and General Order Suppliers,Humla,Private,2065,
Sun Valley Resort,Humla,Private,2066,
Karnali Power Development Centre,Humla,Private,2066,
Saipal English Medium Aawasiya School Humla,Humla,Private,2067,
Karnali Namuna Academy,Humla,Private,2067,
Himali Model Boarding School,Humla,Private,2067,
Malika English Boarding School Humla,Humla,Private,2067,
Karnali Developers,Humla,Private,2068,
kailash Mansarobar Media,Humla,Private,2069,
Himalayan Alpine Product,Humla,Private,2069,
Karnali Academy Simikot,Humla,Private,2069,
Humla Krishi Bikas,Humla,Private,2069,
Humla Krishi Prawardhan Sanstha,Humla,Private,2070,
B. & B. Sub Remit,Humla,Private,2070,
Mama Bhanja Polyclinic,Humla,Private,2070,
Humla Jadibuti Utpadan,Humla,Private,2071,
Concern Agro Himalaya,Humla,Private,2071,
Kachahari Media Group,Humla,Private,2072,
Alice Investment,Humla,Private,2072,
Nishan Nirman Sewa,Humla,Private,2072,
Mount Everest English Boarding School Humla,Humla,Private,2072,
