ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
NEPAL CHIYA BIKASH NIGAM,Ilam,Private,2023,
Nepal Chiya Bikash Nigum,Ilam,Public,2030,
PUWA HIL TEA ESTATE,Ilam,Private,2035,
PANCHAKANYA DISTILLERY,Ilam,Private,2040,
ACHARYA RICE AND OIL MILLS,Ilam,Private,2041,
GAJUR MUKHI BUS SEWA,Ilam,Private,2042,
Pathibhara Chiya udyog,Ilam,Private,2045,
Jayamir Gadhi  Tea Estate,Ilam,Private,2045,
Dhan Hilti,Ilam,Private,2045,
Corp. Bus Sewa,Ilam,Private,2046,
DHUNGANA TEA ESTATE,Ilam,Private,2047,
Snow Dew Tea Company,Ilam,Private,2047,
NEPAL SMALL TEA PRODUCERS,Ilam,Public,2048,
SIDDHI DEVI TEA ESTATE,Ilam,Private,2049,
Mahabharat Tea Estate,Ilam,Private,2049,
PYURE BAGBANI FARM,Ilam,Private,2049,
AALOKATI CO.PVT.LTD,Ilam,Private,2050,
NEPAL CHIYA BAGAN PVT.LTD,Ilam,Private,2050,
DEURALI DAIRY PVT.LTD,Ilam,Private,2050,
PUWAMAI CHIYA BAGAN,Ilam,Private,2050,
MOROHANG TEA GARDEN PVT LTD,Ilam,Private,2050,
DAWA NERMAN SEWA PVT. LTD.,Ilam,Private,2051,
DEUMAI CHIYA BAGAN PVT.LTD,Ilam,Private,2051,
MANGMALUNG TEA ESTATE,Ilam,Public,2051,
SHIVA LAXMAN TEA STATE,Ilam,Private,2051,
SINGH DEVI CHIYA UDYOG,Ilam,Private,2051,
GORKHA TEA STATE,Ilam,Private,2051,
KAJI KOTHI TEA GARDEN,Ilam,Private,2051,
SHACHI PAURATHA TEA STATE,Ilam,Private,2052,
SANUBHAI TEA ESTATE,Ilam,Private,2053,
SHAKTI DEVI TEA ESTATE PVT.LTD.,Ilam,Private,2053,
THE MOUNTAIN RANGE TEA GARDEN,Ilam,Private,2053,
MEGAMA TEA  INDUSTRIES,Ilam,Private,2053,
Mechi Tours And Travels Company,Ilam,Private,2053,
GARUWA VALLEY ENGLISH SCHOOL,Ilam,Private,2053,
RATNA MAI VIDYA MANDIR PVT.LTD.,Ilam,Private,2053,
SINGH BHAWANI NIRMAN SEWA PVT.LTD.,Ilam,Private,2053,
MECHI TOURS & TRAVELS COMPANY,Ilam,Private,2053,
GAUTAM BANDHU NIRMAN SEWA PVT.LTD.,Ilam,Private,2053,
BAL JYOTI ENGLISH BOARDING SCHOOL PVT.LTD.,Ilam,Private,2053,
NAVA JYOTI AWASIYA MADHYAMIK VIDYALAYA P.LTD.,Ilam,Private,2053,
Barbote Angregi Boarding School,Ilam,Private,2053,
PEAK POINT ENGLISH SCHOOL PVT.LTD.,Ilam,Private,2053,
