ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
L.J.S. CONSTRUCTION,Jajarkot,Private,2055,
MALIKA CABLE NETWORK,Jajarkot,Private,2056,
RANJU CHALCHITRA HIGHVISION HALL,Jajarkot,Private,2058,
KASTURI SAHAKARI BOARDING SCHOOL JAJARKOT,Jajarkot,Private,2061,
RAMBA & MALIKA CONSTRUCTION,Jajarkot,Private,2062,
BELIEVERS KHALANGA ENGLISH SCHOOL,Jajarkot,Private,2062,
D.R. CABLE NETWORK,Jajarkot,Private,2063,
Nobelist boarding school,Jajarkot,Private,2064,
Sharma Order and Suppliers,Jajarkot,Private,2065,
Alpha Multipurpose Spectra Alternative Energy,Jajarkot,Private,2066,
Sandesh Multi-Purpose Company,Jajarkot,Private,2066,
Bheri Karnali Samudayik Bikas Abhiyan,Jajarkot,Non-Profit Distributing,2067,
Kushe Minerals & Herbal,Jajarkot,Private,2067,
Phulbari Danfudev Minerals & Herbal,Jajarkot,Private,2068,
Ramka Pathivara Minerals & Herbal,Jajarkot,Private,2068,
Rupa Sub Money Transfer,Jajarkot,Private,2068,
Jajarkot Samudayik Swasthya Pratisthan,Jajarkot,Non-Profit Distributing,2068,
Sahara Marketing Nepal,Jajarkot,Private,2068,
Mission Engineering Consultancy,Jajarkot,Private,2069,
Maa Jaya Bageshwari Krishi Firm,Jajarkot,Private,2069,
D.P.M. Minerals Company,Jajarkot,Private,2070,
Jajarkot Lifecare Polyclinic Center,Jajarkot,Private,2070,
Jajarkot Gems Udhyog,Jajarkot,Private,2070,
Nar Padam Friendship English School,Jajarkot,Private,2070,
Hamro Paila,Jajarkot,Private,2071,
New Malika Boarding School Jajarkot,Jajarkot,Private,2071,
Nilima Polyclinic,Jajarkot,Private,2071,
Himali Juni Multi Purpose,Jajarkot,Private,2071,
Shree Moonlight English Medium School Jajarkot,Jajarkot,Private,2071,
River Dynamic English Boarding School,Jajarkot,Private,2071,
J. R. Long Ribar Boarding School Jajarkot,Jajarkot,Private,2071,
B.P. Gyanjyoti English Boarding School Jajarkot,Jajarkot,Private,2071,
Shree Childrens Warden Academy Jajarkot,Jajarkot,Private,2071,
Tribeni Multiple Service,Jajarkot,Private,2071,
Bhagwati Balbikas Boarding School,Jajarkot,Private,2072,
Rakshka   Nirman  Sewa  And  Suppliers,Jajarkot,Private,2072,
Parbati Ganesh Agro Farm,Jajarkot,Private,2072,
Gyan Sindhu English Medium Bording School Jajarkot,Jajarkot,Private,2072,
Dobhan Health Care Hospital,Jajarkot,Private,2072,
Janakalyan Krishi Tatha Jadibuti Herbal,Jajarkot,Private,2072,
Nahakuli Organic Herbal Agro,Jajarkot,Private,2072,
Rikhe Organic Herbal Agro Farm,Jajarkot,Private,2072,
Lavkush Organic Herbal Agro,Jajarkot,Private,2072,
Bijaya Bandana Agro Farm,Jajarkot,Private,2072,
Shree Saiquari Organic Herbal Agro Farm,Jajarkot,Private,2072,
Nalsinggad Yatayat,Jajarkot,Private,2072,
Dipendra Multi Service,Jajarkot,Private,2072,
Sirish Krishiban Tatha Pashupalan,Jajarkot,Private,2072,
Long River E.M. Boarding School Jajarkot,Jajarkot,Private,2072,
Deuti Balbalika Boarding School Jajarkot,Jajarkot,Private,2072,
