ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
PURBI NEPAL AGRICULTURAL FIRM,Jhapa,Private,2013,
HRIDAYA MAHAT KRISHI,Jhapa,Private,2013,
HANUMAN INDUSTRIES,Jhapa,Private,2016,
Nakal Banda Tea Estate,Jhapa,Private,2018,
SANJIBANI BYABSAYA,Jhapa,Private,2018,
Sati Ghatia Tea State,Jhapa,Private,2020,
Giri Bhandhu Tea Estate,Jhapa,Private,2020,
Morang Canning Company,Jhapa,Private,2020,
KANCHAN DAIRY,Jhapa,Private,2020,
Shree Chandra Gadi Tea Estate,Jhapa,Private,2020,
Mittal Tea Estate,Jhapa,Private,2020,
Budhakaran & Suns Tea Co.,Jhapa,Private,2021,
BUDHAKARAN AND SONS TEA COMPANY,Jhapa,Private,2021,
GIRIBANDHU TEA ESTATE,Jhapa,Private,2022,
ACHARYA FOREST INDUSTRIES,Jhapa,Private,2022,
MECHI ANCHAL JUTE PRESS UDHYOG,Jhapa,Private,2025,
Yuggan Prakashan,Jhapa,Private,2028,
PANCHA KANYA RICE MILL,Jhapa,Private,2029,
MECHI JUT PRESS UDYOG,Jhapa,Private,2029,
Dhaijan Chamal Ra Tel,Jhapa,Private,2031,
JHAPA ASHUNIK BRICK INDUSTRY,Jhapa,Private,2031,
Janaki Yatayat,Jhapa,Private,2032,
SOHAN LAL RICE AND OIL MILLS,Jhapa,Private,2032,
Nepal Ingineering Works,Jhapa,Private,2032,
SHIVA KRISHNA RICE AND OIL MILLS,Jhapa,Private,2032,
ADI SHAKTI TRANSPORT,Jhapa,Private,2032,
VIJAYA TRANSPORT,Jhapa,Private,2033,
Nepal Moon light Tyaning Industries,Jhapa,Private,2033,
MECHI FURNITURE UDYOG,Jhapa,Private,2033,
Himalaya Rice Mill,Jhapa,Private,2034,
HOTEL MANANKAMANA,Jhapa,Private,2034,
Mechi Distlary,Jhapa,Private,2034,
MECHI DISTILLERY,Jhapa,Private,2034,
RABI RICE AND OIL MILLS,Jhapa,Private,2034,
Jhapa Cha.,Jhapa,Private,2036,
MECHI LODGE HOTEL,Jhapa,Private,2036,
Lakap Auto Engineering Trading,Jhapa,Private,2038,
NEPAL BAKERY,Jhapa,Private,2038,
HOTEL REGENT RESTAURANT & BAR,Jhapa,Private,2038,
TEPAL TOUR JUNCTION,Jhapa,Private,2039,
Kanchan Yatayat Sewa,Jhapa,Private,2039,
PUSPANJALI TRANSPORT,Jhapa,Private,2039,
Daf. Yatayat Sewa,Jhapa,Private,2039,
Binayak Sabun Udhyog,Jhapa,Private,2040,
Shihamai  DhuwanI sewa,Jhapa,Private,2040,
DAMAK BUS SERVICE,Jhapa,Private,2040,
ARUN BANASPATI UDHYOG,Jhapa,Private,2040,
BINAMRA KANTI UDYOG,Jhapa,Private,2040,
Kankai Takij,Jhapa,Private,2040,
New Giri and Sons Tea Estate,Jhapa,Private,2041,
SYNTEX MNITWEAVE,Jhapa,Private,2041,
Tina Garment,Jhapa,Private,2041,
Meachi Guest House,Jhapa,Private,2041,
Indratravels And Tours,Jhapa,Private,2041,
Syata Narayan Rice Mill,Jhapa,Private,2041,
THAPATHALI RICE MILL,Jhapa,Private,2042,
NEPAL HIMAL TREKKS,Jhapa,Private,2042,
MAN AND BOHARA PRINTING INK UDHYOG,Jhapa,Private,2042,
Global Tred Link,Jhapa,Private,2042,
Mechi Rice Saller,Jhapa,Private,2042,
Baibhab Tea Estate,Jhapa,Private,2043,
Gau.S.Ta. Indu,Jhapa,Private,2043,
Loknath & Sons Tea Estate,Jhapa,Private,2043,
Shyam Sundar Tea Estate,Jhapa,Private,2043,
A B Transport Company,Jhapa,Private,2043,
Shrestha Carriers,Jhapa,Private,2043,
Jaya confectionary,Jhapa,Private,2043,
Jaya Nepal sports Company,Jhapa,Private,2043,
Raj Tea Istate,Jhapa,Private,2044,
Kankai International Builders,Jhapa,Private,2044,
Purbanchal P P T Bag Udyog,Jhapa,Private,2044,
Tej Plastic and Polithin Industries,Jhapa,Private,2044,
Kechana Tea Estate,Jhapa,Private,2044,
Pathi Varabhagwti kaphi Udhyog,Jhapa,Private,2044,
Yangrima Trekking and Mountaineering,Jhapa,Private,2044,
Kuwadi Devi Tea Estate,Jhapa,Private,2044,
Chandragadi Tea Estate,Jhapa,Private,2045,
Haldibari Tea Industries,Jhapa,Private,2045,
Pashupati Appliances,Jhapa,Private,2045,
Adibi Appex  Nepal,Jhapa,Private,2045,
Himchuli Rice & Oil Mill,Jhapa,Private,2045,
Shree Chhata Industries,Jhapa,Private,2045,
In Waildernes Treking,Jhapa,Private,2045,
Bhanu Carpet Center,Jhapa,Private,2046,
Shrrestha Woll Service,Jhapa,Private,2046,
Everest In ternational Suppliers,Jhapa,Private,2046,
Listry Galaicha Udhyog,Jhapa,Private,2046,
Chakchaki Tea Estate,Jhapa,Private,2046,
Deckstop Seckretial Stop,Jhapa,Private,2046,
NAMASTE CARPET EXPORT(LIQ.067/11/13,Jhapa,Private,2046,
Bhimshen Carpet,Jhapa,Private,2046,
Jodical Impex,Jhapa,Private,2046,
Great Mountain Carpets,Jhapa,Private,2046,
Galchur Carpet Industries,Jhapa,Private,2046,
Jaya Carpet Industries,Jhapa,Private,2046,
Naya Kamana Prakashan,Jhapa,Private,2046,
Gorakha Prakeshan,Jhapa,Private,2046,
Om Daying And Yarn Mills,Jhapa,Private,2047,
Laxmi Tea Estate,Jhapa,Private,2047,
Tuladhar Wollan Knittwear,Jhapa,Private,2047,
Chhitij Prakashan,Jhapa,Private,2047,
Pashupati Still Farnichar,Jhapa,Private,2047,
Hasti Cahmal Udyog,Jhapa,Private,2047,
Sangam Trikala,Jhapa,Private,2047,
Lokmat Prakashan,Jhapa,Private,2047,
Quality Carpet,Jhapa,Private,2047,
Nepal Ta Export,Jhapa,Private,2047,
Kalpana   Brothers,Jhapa,Private,2047,
New  Shrestha Wool Service,Jhapa,Private,2047,
POUDEL BANDHU TEA ESTATE,Jhapa,Private,2047,
Kathmandu Ghar Jgga Kharid Bikri Kendra,Jhapa,Private,2047,
Karuna Travels,Jhapa,Private,2047,
Toch Wood Trading Company,Jhapa,Private,2047,
Busuantas Agency,Jhapa,Private,2047,
Sinciear Travels & Tours,Jhapa,Private,2047,
Samuha Prakashan,Jhapa,Private,2047,
Exclusive Garment,Jhapa,Private,2048,
PADAM TEA-STATE,Jhapa,Private,2048,
Shiva Electronic,Jhapa,Private,2048,
Janahit Rial Estate,Jhapa,Private,2048,
Bhrikuti Trading Company,Jhapa,Private,2048,
Tasi Pokhari Uni Dhago Katai Industries,Jhapa,Private,2048,
Ukarma Carpets Industries,Jhapa,Private,2048,
Kanging Handicraft & Exjim,Jhapa,Private,2048,
Sudha Phal Ras Karyalaya,Jhapa,Private,2048,
Janaki Trading Company,Jhapa,Public,2048,
Shrestha Woll Processing,Jhapa,Private,2048,
Navina Prakashan,Jhapa,Private,2048,
Padam Tara Galaicha Carpet Industries,Jhapa,Private,2048,
Gandip Carpet Manufator,Jhapa,Private,2048,
High Himalaya,Jhapa,Private,2048,
Exclusive Nepal Tibet Carpet,Jhapa,Private,2048,
Ganesh Security Service,Jhapa,Private,2048,
Shree R.Carpets Industries,Jhapa,Private,2048,
BUDDHA BHAKTA DHUWANI SEWA,Jhapa,Private,2048,
Manang Carpet,Jhapa,Private,2048,
Hotel Sita,Jhapa,Private,2048,
Panchaganga Hojiyari Udhyog,Jhapa,Private,2049,
Realince Automobiles,Jhapa,Private,2049,
Automobile Commerical Interprises,Jhapa,Private,2049,
Jankhalyan Riyal State,Jhapa,Private,2049,
Himalayan Trading Company,Jhapa,Private,2049,
Urmila Film Production,Jhapa,Private,2049,
JAY PRINTERS,Jhapa,Private,2049,
Mangal Sutra,Jhapa,Private,2049,
AERO EXPRESS,Jhapa,Private,2049,
Everest Trading Company,Jhapa,Private,2049,
LUMBINI CLAYCRAFT,Jhapa,Private,2049,
MAINACHULI NIRMAN SEWA,Jhapa,Private,2049,
Yasi Confectionary Udhyog,Jhapa,Private,2049,
Shrestha Carpets Industries,Jhapa,Private,2049,
Shrestha Wool Carding,Jhapa,Private,2049,
H. M. T.  Carpet  Export,Jhapa,Private,2049,
MAHABHARAT TEA ESTATE PVT.LTD,Jhapa,Private,2049,
Antarastraya Commercial Enterprises,Jhapa,Private,2049,
J K Avels,Jhapa,Private,2049,
Marshyangdi Polythen Pipe Industries,Jhapa,Private,2049,
Lal Prasad Shrma & Souns,Jhapa,Private,2049,
Atlas Aakpa Industries,Jhapa,Private,2049,
Nepal Merror Publication,Jhapa,Private,2049,
Mahavir Real Estate,Jhapa,Private,2049,
Goyal  Garments,Jhapa,Private,2049,
Trilok Real Estate,Jhapa,Private,2049,
Trvel Line Tours & Travels,Jhapa,Private,2049,
Siddhakali Bus Sewa,Jhapa,Private,2049,
NAJ TEA ESTATE PVT.LTD,Jhapa,Private,2049,
Naj Tea Estate,Jhapa,Private,2049,
Om Trishakti Aawash Company,Jhapa,Private,2049,
Lucky Properties,Jhapa,Private,2049,
Damak Chalchitra Mandir,Jhapa,Private,2049,
Arunima Carpet Industries,Jhapa,Private,2049,
Mechi Prakashan,Jhapa,Private,2049,
ATLAS PLASTIC INDUSTRIES PVT.LTD,Jhapa,Private,2049,
JHAPA KAGAJ KARAKHANA PVT.LTD,Jhapa,Private,2049,
KANCHANJUNGA BAN TATHA JADIBUTI CO.PVT.LTD,Jhapa,Private,2049,
PACIFIC PICTURES CO.PVT.LTD,Jhapa,Private,2049,
GITANJALI TEA ESTATE PVT.LTD,Jhapa,Private,2049,
DANFE TEA CO.PVT.LTD,Jhapa,Private,2049,
NATIONAL IRON AND STEEL INDUSTRIES PVT.LTD,Jhapa,Private,2049,
Swarbi Engineering Consultancy,Jhapa,Private,2050,
Prayas Chiya Udhyog,Jhapa,Private,2050,
PRASAI BANDU DHAGO KATAI UDDHYOG PVT. LTD.,Jhapa,Private,2050,
MICRO VETS CLINIC PVT.LTD,Jhapa,Private,2050,
INOVA PVT.LTD,Jhapa,Private,2050,
NICE COLOUR PRINTS,Jhapa,Private,2050,
HOTEL DEURALI PVT.LTD,Jhapa,Private,2050,
BHAWANI REAL ESTATE DEVELOPMENT AND HOUSING,Jhapa,Private,2050,
CORPORATE HOUSE MARKETING AND MEDIA P. LTD.,Jhapa,Private,2050,
NEPAL KAN MAL KARKHANA P.LTD,Jhapa,Private,2050,
SARASWATI FILMS PVT LTD,Jhapa,Private,2050,
GUHESWARI REAL STATE DEVELOPMENT & HOUSING P.,Jhapa,Private,2050,
KANOONI PARAMARSHA TATHA SEWA P.LTD,Jhapa,Private,2050,
PASHUPATI PROMOTERS P.LTD,Jhapa,Private,2050,
KANCHANJUNGA TRAVELS PVT.LTD,Jhapa,Private,2050,
KANKAI NURSHING HOME PVT.LTD,Jhapa,Private,2050,
NOVEL HOUSE PVT LTD,Jhapa,Private,2050,
KALIKA TEA ESTATE,Jhapa,Private,2050,
MAHALAXMI CHYAU UDYOG PVT.LTD,Jhapa,Private,2050,
SHAKTI AUTO ENGINEERING WORKS PVT. LTD,Jhapa,Private,2050,
SARABAGI TEA ESTATE,Jhapa,Private,2051,
INTEGRATED INFORMATION NEPAL PVT.LTD.,Jhapa,Private,2051,
NEPALI BHASA SIKSHYA PARAMARS KENDRA PVT LTD,Jhapa,Private,2051,
KAMAR TEA STATE PVT LTD,Jhapa,Private,2051,
KHUSBU TEA STATE PVT.LTD.,Jhapa,Private,2051,
