ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Hotel Jumla,Jumla,Private,2032,
Hotel Srinkhala,Jumla,Private,2046,
RINMOKSHA JADIBUTI UTPADAN PRABARDHAN KENDRA,Jumla,Private,2050,
KARNALI JADIBUTI PRASODHAN PVT.LTD,Jumla,Private,2050,
HIMALAYAN JADIBUTI SANKALAN TATHA PROSHODHAN,Jumla,Private,2050,
CHANDAN NATH CHALCHITRA MANDIR,Jumla,Private,2056,
KARNALI SYAU COMPANY,Jumla,Private,2056,
CARAVAN RECREATION,Jumla,Private,2057,
SINJA PUBLICATION,Jumla,Private,2059,
KANIKA NISA ENGLISH SCHOOL,Jumla,Private,2059,
SHRISTI TELEVISION NETWORK,Jumla,Private,2061,
CHANDANNATH CABLE NETWORK,Jumla,Private,2061,
SAINT PAUL BOARDING SCHOOL,Jumla,Private,2063,
G.M.D. MODERN PUBLIC HIGH SCHOOL CHANDANNATH,Jumla,Private,2063,
SHREE  BHAIRAB  VIDHYA MANDIR BOARDING SCHOOL NARAKT SINJA JUMLA,Jumla,Private,2063,
KATHAYAT CONSTRUCTION MATERIALS INDUSTRIES,Jumla,Private,2064,
CARAVAN RESORT,Jumla,Private,2064,
Nepal Group Seven Trading,Jumla,Private,2064,
Future Vision Education Academy,Jumla,Private,2064,
Kanjirowa Hotel,Jumla,Private,2064,
Mount Patarashi Tours and Travels,Jumla,Private,2064,
Karnali Vidhut Tatha Metal Workshop,Jumla,Private,2065,
Netrajyoti English Boarding School,Jumla,Private,2065,
G.D.P. English Boarding School,Jumla,Private,2065,
Kanjirawa Herbal Industry,Jumla,Private,2065,
Asia International Model-English School,Jumla,Private,2065,
Karnali Alpine English Medium Boarding School Kudary,Jumla,Private,2065,
Jumla Dynamic Boarding School,Jumla,Private,2065,
Karnali Order and General Suppliers,Jumla,Private,2065,
Nangchhen Associate,Jumla,Private,2065,
Hima Morden English Boarding School,Jumla,Private,2066,
Diyalo Communication and Research Center,Jumla,Private,2066,
Himalayan Eco-Conservation & Research Center,Jumla,Non-Profit Distributing,2066,
Aasha Consult,Jumla,Private,2066,
Patarasi Media Service,Jumla,Private,2066,
Teaching Herbs,Jumla,Private,2067,
Jumla Believers English School,Jumla,Private,2067,
Chirayu Swasthya Sadan,Jumla,Private,2067,
Motherland Academy Sinja,Jumla,Private,2068,
Chandannath Energy Development,Jumla,Private,2068,
Karnali College of Technical Science,Jumla,Private,2068,
Chandannath Nirman & Suppliers,Jumla,Private,2068,
Sinja Education Foundation,Jumla,Private,2068,
Om Karnali Boarding School,Jumla,Private,2068,
Chirayu Institute of Health Science,Jumla,Private,2068,
Karnali Institute Of Health Science,Jumla,Private,2068,
Chandannath Prabidhik Shikshalaya,Jumla,Private,2069,
Milan Imaging & Diagnostic Polyclinic,Jumla,Private,2069,
Jumla Technical Institute,Jumla,Private,2069,
Thagumala Bipana Itta Udhyog,Jumla,Private,2069,
Jaya Ratna Karnali Boarding School,Jumla,Private,2069,
Pandav G.R. English Boarding School,Jumla,Private,2069,
Deuli Boarding School,Jumla,Private,2069,
G.P. Boarding School Jumla,Jumla,Private,2069,
New Raj English Boarding School,Jumla,Private,2069,
karnali Institute of Skill Development Center,Jumla,Private,2070,
Star Education Academy Jumla,Jumla,Private,2070,
Highcoat Utpadan Prashodhan,Jumla,Private,2070,
simple inteligent system and technology,Jumla,Private,2070,
Kailash A to Z Bypar Company and Dhuwani Sewa,Jumla,Private,2070,
R.C.D.S.,Jumla,Private,2070,
Saambhavi Engineering Consultancy,Jumla,Private,2070,
karnali Swostha Organic Krishi Company,Jumla,Private,2070,
Karnali Bikas Tatha Anusandhan Pratisthan,Jumla,Non-Profit Distributing,2071,
Uchcha Himali Karnali Krishi Udhyog Tatha Anusandhan Kendra,Jumla,Private,2071,
Madhyepaschim Hydropower,Jumla,Private,2071,
"Kadarnath English Medium School, Jumla",Jumla,Private,2072,
Ananta  Bristy Agro Farming,Jumla,Private,2072,
Tila Agro Minerals,Jumla,Private,2072,
Chandannath Yatayat,Jumla,Private,2072,
Khagendra Kamala Nirman Sewa and Suppliers,Jumla,Private,2072,
karnali Network Services,Jumla,Private,2072,
Bijayee Nirman Sewa,Jumla,Private,2072,
