ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
NEPAL WOOD PRODUCTS,Kailali,Private,2018,
LAXMI KATTHA UDYOG,Kailali,Private,2032,
Shwority Chamal Carkhana,Kailali,Private,2033,
Karnali  Rice Mells,Kailali,Private,2033,
Shree Dushyant Rice Mill,Kailali,Private,2033,
SARASWATI RICE FACTORY,Kailali,Private,2034,
Jyoti Rice Mills,Kailali,Private,2034,
KRISHNA CHAMAL UDHYOG,Kailali,Private,2034,
KAMINI MILLS,Kailali,Private,2034,
RAM KHANDSARI CHINI UDYOG,Kailali,Private,2035,
GURANS TEXTILE,Kailali,Private,2035,
GODAWARI RODA DHUNGA UDYOG,Kailali,Private,2039,
MAHAKALI FOOD PRODUCTS,Kailali,Private,2040,
Babusha  Apparels,Kailali,Private,2041,
PANDEY TRANSPORT COMPANY,Kailali,Private,2042,
SETI CHUROT KARKHANA LIMITED,Kailali,Private,2042,
SETI CIGARETTE FACTORY,Kailali,Public,2042,
TIKPUR KHANDSARI UDHYOG,Kailali,Private,2043,
PREM KHANDSARI UDYOG,Kailali,Private,2043,
NEPAL ROSIN TURPENTINE LTD.,Kailali,Public,2043,
Western Liquors,Kailali,Private,2044,
Gote chini karkhana,Kailali,Public,2044,
Nepal Sudur Pashmanchal Babyapar Co.,Kailali,Public,2046,
Hotel Suibhagaya,Kailali,Private,2046,
Lalit Auto Mobile,Kailali,Private,2049,
Prava Polythin Pipe Industries,Kailali,Private,2049,
PRABHA POLYTHENE PIPE UDHYOG,Kailali,Private,2049,
Sudur Pashchimanchal Grameen Bikas Bank (Bittiya Sanstha),Kailali,Public,2049,
MANISHA ITTA UDHYOG,Kailali,Private,2049,
Dhangadi Auto Engineering,Kailali,Private,2049,
ABHIYAN PRINTERS AND STATIONTERS PV,Kailali,Private,2050,
BIPIN STATIONERS AND ADVERTISERS PV,Kailali,Private,2050,
HOTEL AFNO GHAR PVT.LTD,Kailali,Private,2050,
HOTEL THE LONELY PLANTE PVT.LTD,Kailali,Private,2050,
R.G.PRODUCTS,Kailali,Private,2050,
SETI GALAICHA UDHYOG PVT.LTD,Kailali,Private,2050,
HOTEL (NEW SHRCHAN) PVT.LTD,Kailali,Private,2050,
GWASHI CHIURA UDHYOG,Kailali,Private,2050,
RATNA COPY UDHYOG,Kailali,Private,2050,
SARADA ITTA UDYOG PVT LTD,Kailali,Private,2050,
NAYANA CHAMAL TEL AND MAIDA MILL PVT.LTD,Kailali,Private,2050,
SHAHI RICE MILL PVT.LTD,Kailali,Private,2050,
SHIVA AGARBATTI UDYOG PVT LTD,Kailali,Private,2050,
VISEL (THE) ULKA PVT LTD,Kailali,Private,2050,
BHAGESHWAR CHALCHITRA MANDIR PVT LTD,Kailali,Private,2050,
Vashulinga Sugar & General Industries,Kailali,Public,2051,
BIRAT TEXTILE UDYOG PVT. LTD.,Kailali,Private,2051,
MYAGDI HOTEL PVT. LTD.,Kailali,Private,2051,
SAMEJI RICE OIL AND FLOUR MILL PVT. LTD.,Kailali,Private,2051,
PANDEY AND RANA CARPET INDUSTRIES PVT. LTD.,Kailali,Private,2051,
SETI CHHAPAKHANA TATHA STATSNARY UDHYOG PVT.,Kailali,Private,2051,
BHAWANI (NEW) HOTEL PVT.LTD.,Kailali,Private,2051,
MAHIMA OIL RICH AND FLOWER MILL PVT. LTD.,Kailali,Private,2051,
KANCHAN AUTO ENGINEERING WORKS,Kailali,Private,2051,
BAJARANG (JAYA) BAKERY UDHYOG PVT. LTD.,Kailali,Private,2051,
TOP CONCRIT INDUSTRIES,Kailali,Private,2051,
NAWA DURGA KHADYA UDHYOG,Kailali,Private,2052,
HOTEL KAPIL,Kailali,Private,2052,
KANCHAN ITTA TILE UDYOG,Kailali,Private,2052,
HOTEL CITY DHANGADI,Kailali,Private,2052,
SANGAM LODGE,Kailali,Private,2052,
HOTEL BIDYA,Kailali,Private,2052,
BIJAYA BHARAT THREAD INDUSTRIES,Kailali,Private,2052,
PUJA RICE PLANT & OIL INDUSTRIES,Kailali,Private,2052,
HOTEL GREEN PLAAZA,Kailali,Private,2052,
HOTEL DIMOND,Kailali,Private,2052,
PUKAR SHELAR MILL PVT.LTD.,Kailali,Private,2052,
SHILA TEL UDYOG PVT.LTD.,Kailali,Private,2052,
HOTEL BIBEK & LODGE,Kailali,Private,2053,
RAMA ROSHAN KHADHYA UDHYOG,Kailali,Private,2053,
HARIHAR KASTHA UDYOG PVT.LTD.,Kailali,Private,2053,
RUPAK  NEPAL HOJIARY & TURPENTINE,Kailali,Private,2053,
SETI RUBBER INDUSTRIES PVT.LTD.,Kailali,Private,2053,
