ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SHREE BAL BIKASH ENGLISH BOARDING SCHOOL,Kalikot,Private,2061,
ISHWAR CABLE NETWORK,Kalikot,Private,2061,
Puga Namuna Boarding School,Kalikot,Private,2064,
Karnali Child Heaven English Medium Boarding School,Kalikot,Private,2065,
"Renewable Energy , Water & Sanitation Service Centre",Kalikot,Private,2065,
Karnali Herbal Processing & Research Centre,Kalikot,Private,2065,
Karnali Heart English Boarding School,Kalikot,Private,2066,
Karnali Development Network,Kalikot,Private,2066,
Lalratna Educational Academy,Kalikot,Private,2066,
Pudhakamasta Nirman Sewa,Kalikot,Private,2066,
"Children's Heaven English Boarding School, Kalikot",Kalikot,Private,2067,
Bright Vision Educational Center,Kalikot,Private,2067,
Modern Model Residential School,Kalikot,Non-Profit Distributing,2067,
Paradise English Boarding School Kalikot,Kalikot,Private,2067,
Dynamic English Medium Boarding School Kalikot,Kalikot,Private,2067,
Karnali Prabhat Bikas Academy,Kalikot,Private,2068,
Green Land Academy Kalikot,Kalikot,Private,2068,
Nanda Devi Construction & Suppliers,Kalikot,Private,2068,
Satyadevi Construction & Suppliers,Kalikot,Private,2068,
Bijayapur JalVidhyut And Urja,Kalikot,Private,2068,
Jana Priya English Boarding School,Kalikot,Private,2068,
J.B.P. & Depo Company,Kalikot,Private,2068,
New Light English Boarding School Kalikot,Kalikot,Private,2068,
Golden Future Academyu Kalikot,Kalikot,Private,2068,
Soch Business Group,Kalikot,Private,2069,
Karnali Multipurpose Development Service,Kalikot,Private,2069,
Holy Himalaya Energy Development,Kalikot,Private,2070,
Padmawati English Boarding School,Kalikot,Private,2070,
Badimalika English Medium Boarding School Kalikot,Kalikot,Private,2070,
Nescal Hospital,Kalikot,Private,2070,
Kalikot Prabidhik Shichhyalaya Pvt. Ltd.,Kalikot,Private,2070,
Tila Karnali Falful Winery,Kalikot,Private,2071,
kalikot Samudayik Prabidhik Pratisthan,Kalikot,Private,2071,
Panchadewal Samudayik Prabidhik College,Kalikot,Non-Profit Distributing,2071,
Karnali Krishi Pashu Jadibuti Udhyog Tatha Anusandhan Kendra,Kalikot,Private,2071,
Model Bright Academy Kalikot,Kalikot,Private,2071,
Shree Nawadurga Urja tatha Jalsroth Byabasthapan Company,Kalikot,Private,2072,
Nawa Prabhat Boarding School Kalikot,Kalikot,Private,2072,
Best Karnali Media,Kalikot,Private,2072,
Kotbada Impact School Kalikot,Kalikot,Non-Profit Distributing,2072,
Inzet Engineering And Construction,Kalikot,Private,2072,
Kalikot Polytechnic Institute,Kalikot,Private,2072,
Advance English Boarding School Kalikot,Kalikot,Private,2072,
Karnali Dynamic English Medium Boarding School Kalikot,Kalikot,Private,2072,
