ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HIRA LAXMI TRADERS,Kanchanpur,Private,2007,
MAHENDRA AGRO INDUSTRIES,Kanchanpur,Private,2033,
Pashupati Paper Bag Industries,Kanchanpur,Private,2035,
MAHAKALI KHADSARI CHINI MILL,Kanchanpur,Private,2039,
SIDDHA KAPADA UDHYOG,Kanchanpur,Private,2039,
Gunga Auto Engineering Works,Kanchanpur,Private,2040,
Manu Paurati Udyog,Kanchanpur,Private,2040,
Shuva Laxmi Dhaka Bindu Kapada Udhyog,Kanchanpur,Private,2041,
GANESH FERTILEZER INDUSTRIES,Kanchanpur,Private,2041,
HOTEL MAHAKALI,Kanchanpur,Private,2041,
MAHAKALI SABUN UDHYOG,Kanchanpur,Private,2042,
HOTEL SIDDHA NATH,Kanchanpur,Private,2042,
Panchadeva  Stationery Udyog,Kanchanpur,Private,2043,
Sillient Safari,Kanchanpur,Private,2043,
Kanchan Plastic Udhyog,Kanchanpur,Private,2044,
Deurali Chalchitra Mandir,Kanchanpur,Private,2044,
Kanchan Soup and Industries,Kanchanpur,Private,2045,
Farmeks Drugs Nepal,Kanchanpur,Private,2046,
Hotel Sweet Dream,Kanchanpur,Private,2048,
Mukatinath PawadsariSugar Udyog,Kanchanpur,Private,2048,
Alisha Tours And Travels,Kanchanpur,Private,2049,
KANCHAN COLOR LAB,Kanchanpur,Private,2050,
SHIVA SHAKTI OIL STORE,Kanchanpur,Private,2050,
HOTEL OPERA,Kanchanpur,Private,2050,
KANCHAN COLD STORAGE PVT.LTD,Kanchanpur,Private,2050,
PRAGATI PRAKASHAN PVT.LTD,Kanchanpur,Public,2050,
SIDDHANATH STONE BLOCK P.LTD,Kanchanpur,Private,2050,
API GUEST HOUSE PVT.LTD,Kanchanpur,Private,2050,
MODERN METAL INDUSTRIES PVT LTD,Kanchanpur,Private,2050,
GHATAL TIRE RETRADE UDYOG PVT.LTD,Kanchanpur,Private,2050,
HIMALAYA KHADYA UDYOG PVT. LTD,Kanchanpur,Private,2050,
TRIPURARI ROLLING MILL PVT.LTD.,Kanchanpur,Private,2051,
BIKAS METAL INDUSTRIES PVT. LTD.,Kanchanpur,Private,2051,
SHUKLA PHAT GUEST HOUSE PVT. LTD.,Kanchanpur,Private,2051,
GWASI AGRO INDUSTRIES,Kanchanpur,Private,2052,
MAHENDRANAGAR AUTO SERVICE PVT.LTD.,Kanchanpur,Private,2053,
MAHAKALI COSMETICS PVT.LTD.,Kanchanpur,Private,2053,
WESTERN NEPAL DAIRY,Kanchanpur,Private,2053,
YEDU METAL INDUSTRIES PVT.LTD.,Kanchanpur,Private,2053,
MAHAKALI CHALCHITRA GHAR PVT.LTD.,Kanchanpur,Private,2053,
EVEREST BOARDING SCHOOL,Kanchanpur,Private,2053,
NEPAL FARWEST PUBLICATION & INFORMATION,Kanchanpur,Private,2053,
HOTEL ALPINE PVT.LTD.,Kanchanpur,Private,2053,
JANAKI GALAICHA UDYOG,Kanchanpur,Private,2054,
MAHAKALI  NURSING HOME,Kanchanpur,Private,2054,
HOTEL SHUKLA PHAT PVT.LTD.,Kanchanpur,Private,2054,
MAHENDRA RICE & FLOUR MILL PVT.LTD.,Kanchanpur,Private,2054,
KUMAR SHRESTHA NIRMAN SEWA,Kanchanpur,Private,2054,
BARUN SA MILL UDYOG,Kanchanpur,Private,2054,
SPACE LINK CABLE NETWORK PVT.LTD.,Kanchanpur,Private,2055,
DASHARATH FURNITURE UDYOG,Kanchanpur,Private,2055,
ALAKA MUSIC,Kanchanpur,Private,2055,
GWALLEK AGRO,Kanchanpur,Private,2055,
JAGANNATH KHADYA UDYOG PVT.LTD.,Kanchanpur,Private,2055,
KAMAL KHADYA UDYOG PVT.LTD.,Kanchanpur,Private,2055,
ROYAL MULTI LOOK CONCERN,Kanchanpur,Private,2055,
SIDDHANATH TRADE CONCERN PVT.LTD.,Kanchanpur,Private,2055,
SINGHPAL AGRO FORESTRY PVT.LTD.,Kanchanpur,Private,2055,
MAHENDRANAGAR CITY CABLE NETWORK,Kanchanpur,Private,2056,
BHUBANESHWORI AGRO FORESTRY,Kanchanpur,Private,2056,
DURGE (JAYA) MAHAKALI NIRMAN SEWA,Kanchanpur,Private,2056,
CALCUTTA CHALCHITRA GHAR,Kanchanpur,Private,2056,
BAIJNATH INSTITUTE OF TECHNOLOGY,Kanchanpur,Private,2056,
BHAGESHWOR KHADDHE UDDHYOG,Kanchanpur,Private,2056,
SUSANDIP ICE & COLD STORAGE,Kanchanpur,Private,2056,
