ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
KAPILBASTU RICE MILL,Kapilvastu,Private,2027,
SHIBA KHANDSARI SUGAR UDYOG,Kapilvastu,Private,2033,
HOTEL PYURA MANANG CHAMAI,Kapilvastu,Private,2034,
HOTEL LODGE MARSYANGDI,Kapilvastu,Private,2034,
HIMALI MACHHAPUCHHRE TREKKING LODGE,Kapilvastu,Private,2035,
Hotel Maya,Kapilvastu,Private,2036,
Kapil Bastu Salai Udhyog,Kapilvastu,Private,2039,
Kapilbastu Farnichar Udyog,Kapilvastu,Private,2040,
GURASH DISTILLERY,Kapilvastu,Private,2040,
Mahendra Transport Services,Kapilvastu,Private,2043,
Amit International,Kapilvastu,Private,2044,
Natural Product Industries,Kapilvastu,Private,2045,
Shree Gaurab Plastic,Kapilvastu,Private,2049,
DINESH KASTHA UDHYOG,Kapilvastu,Private,2049,
RUCHI PLASTIC UDHYOG PVT.LTD,Kapilvastu,Private,2050,
MOUNT EVEREST COLOUR LAB PVT LTD,Kapilvastu,Private,2050,
KAPILBASTU SUGAR SINDICATE,Kapilvastu,Public,2051,
PHOTO LINK,Kapilvastu,Private,2051,
KAPILBASTU AGRO FORESTRY FARMS,Kapilvastu,Private,2052,
KAPILBASTU AKIKRIT DAIRY UDYOG,Kapilvastu,Private,2052,
NATIONAL COLD STORAGE & ICE FACTORY,Kapilvastu,Private,2052,
SHRISTI FRAGRESES,Kapilvastu,Private,2052,
Tirupati Paper Mills,Kapilvastu,Public,2052,
GREEN TEC INVESTMENTS,Kapilvastu,Private,2052,
GANAPATI NIVESH,Kapilvastu,Private,2052,
CRYSTAL PLASTIC INDUSTRIES PVT.LTD.,Kapilvastu,Private,2053,
NARAYANI TEXTILES PVT.LTD.,Kapilvastu,Private,2053,
KAMANA DISTILLARY COMPANY,Kapilvastu,Private,2053,
KAPILBASTU KHADYA UDYOG PVT.LTD.,Kapilvastu,Private,2053,
Briddhi Distillery,Kapilvastu,Private,2053,
KRISHNA PLYWOOD INDUSTRIES PVT.LTD.,Kapilvastu,Private,2053,
SANTOSH (SHREE) ENGLISH BOARDING SCHOOL P.LTD,Kapilvastu,Private,2053,
SIDDHARTHA ENGLISH BOARDING SCHOOL PVT.LTD.,Kapilvastu,Private,2053,
KAPILBASTU CHHALA TATHA JUTTA KARKHANA P.LTD.,Kapilvastu,Private,2053,
CHILDRENS PARADISE ENGLISH BOARDING SCHOOL P.,Kapilvastu,Private,2053,
SUN FLOWER ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2053,
NEW SHISHU ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2053,
GAUTAM VIDYA MANDIR ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2053,
FAFURI ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2053,
JALAMONA LITTLE ANGEL BOARDING SCHOOL PVT.LTD,Kapilvastu,Private,2054,
YUBARAJ CHALCHITRA MANDIR,Kapilvastu,Private,2054,
CALYPSO FOOD PRODUCTS PVT.LTD.,Kapilvastu,Private,2054,
RASHI PACKAGING INDUSTRIES PVT.LTD.,Kapilvastu,Private,2055,
ABINASH FARM FORESTRY CULTIVATION,Kapilvastu,Private,2055,
KAPILBASTU PETRO CHEMICALS PVT.LTD.,Kapilvastu,Private,2055,
KAPILBASTU CABLE NETWORK PVT.LTD.,Kapilvastu,Private,2055,
Mitra Bahuuddeshya Company,Kapilvastu,Private,2055,
BANAGANGA CRUSHER UDYOG,Kapilvastu,Private,2055,
ZORBA (THE) GARDEN CO.PVT.LTD.,Kapilvastu,Private,2055,
JANATA AGRO-FORESTY DEVELOPEMENT,Kapilvastu,Private,2056,
M.JAYPEE CEMENT,Kapilvastu,Private,2057,
ASIAN LIVESTOCK DEVELOPMENT COMPANY,Kapilvastu,Private,2057,
PRINCE RUBBER WORKS,Kapilvastu,Private,2057,
KAPILBASTU PRABIDHIK PRATISTHAN,Kapilvastu,Private,2057,
KAPILVASTU KRISHI TATHA PASHU BIKASH,Kapilvastu,Private,2057,
KAPILBASTU GALAINCHHA UDHYOG,Kapilvastu,Private,2057,
BIJAYA CEMENTS,Kapilvastu,Private,2057,
GAUTAM BUDDHA CHALCHITRA MANDIR,Kapilvastu,Private,2057,
BANGANGA CABLE NETWORK,Kapilvastu,Private,2057,
AMBER INDUSTRIES,Kapilvastu,Private,2059,
OUR WISDOM BOARDING SCHOOL,Kapilvastu,Private,2059,
BHUTPURBA SAINIK SCHOOL KAPILVASTU,Kapilvastu,Private,2059,
PARIJAT ENGLISH BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2059,
SHIVAGADHI ENGLISH SCHOOL KAPILBASTU,Kapilvastu,Private,2059,
BUDDHA JYOTI ENGLISH BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2059,
"SUNRISE ENGLISH BOARDING SCHOOL, KAPILBASTU",Kapilvastu,Private,2059,
AADARSHA ENGLISH BOARDING SCHOOL KAPILVASTU,Kapilvastu,Private,2059,
BANAGAI CABLE NETWORK,Kapilvastu,Private,2059,
CHANDRAUTA SPACE CABLE NETWORK TELEVISION,Kapilvastu,Private,2059,
LUMBINI TANNING INDUSTRIES,Kapilvastu,Private,2059,
SAINT JUDES ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2059,
GYAN PUNJA BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2059,
Social English Boarding School Kapilvastu,Kapilvastu,Private,2059,
RESIDENTIAL ENGLISH BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2059,
INTEGRATED NATURAL AGRICULTURE FARM,Kapilvastu,Private,2060,
ROYAL CABLE T.V. NETWORK,Kapilvastu,Private,2060,
HUDA MODEL ENGLISH BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2060,
JAY NAGAR CABLE NETWORK,Kapilvastu,Private,2060,
jaya nagar cable network,Kapilvastu,Private,2060,
R. SON TRADERS,Kapilvastu,Private,2060,
SHRADDHA HERBALS,Kapilvastu,Private,2060,
HATHAUSA LITTLE STAR ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2060,
Golden Horizon English Boarding School,Kapilvastu,Private,2060,
LUMBINI INTEGRATED NATURAL AGRICULTURE FARM,Kapilvastu,Private,2060,
ROYAL ALLIANCE MEMORIAL ACADEMY KAPILBASTU,Kapilvastu,Private,2060,
Skylark English Boarding School Kapilbastu,Kapilvastu,Private,2060,
NAMASTE LIONS ENGLISH SCHOOL,Kapilvastu,Private,2060,
NAMASTE LIONS ENGLISH SCHOOL PVT. LTD.,Kapilvastu,Private,2060,
BLUE HORIZON ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2060,
PRAKASH ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2060,
KAPILBASTU SHANTI NIKETAN,Kapilvastu,Private,2060,
PUPIL CARE ACADEMY KAPILBASTU,Kapilvastu,Private,2060,
SIDDHARTHA CHILDREN ACADEMY KAPILBASTU,Kapilvastu,Private,2060,
SHREE ANNAPURNA BIDHYA MANDIR KAPILBASTU,Kapilvastu,Private,2060,
BALJYOTI ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2060,
NEW SHREE SARASWATI VIDHYA MANDIR KAPILBASTU,Kapilvastu,Private,2060,
VIVEKA ALL ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2060,
AJAYA ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2060,
SIDDHIPUR HORIZON ENGLISH BOARDING ACADEMY,Kapilvastu,Private,2061,
SUN SHINE BOARDING HIGH SCHOOL KAPILVASTU,Kapilvastu,Private,2061,
SIDDHARTHA VIDYA MANDIR,Kapilvastu,Private,2061,
SHREE SAGARMATHA ENGLISH BOARDING SCHOOL KAPILVASTU,Kapilvastu,Private,2061,
SUN LIGHT ENGLISH BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2061,
Mount Evesest English Academy Kapilvastu,Kapilvastu,Private,2061,
SHREE SAGARMATHA VIDHYAMANDIR KAPILBASTU,Kapilvastu,Private,2061,
SARASWATI VIDHYA MANDIR ENGLISH BOARDING SCHOOL KAPILBASTU,Kapilvastu,Private,2061,
PARADISE CHILDRENS ACADEMY KAPILVASTU,Kapilvastu,Private,2061,
K.D. FOUNDATION KAPILVASTU,Kapilvastu,Private,2061,
WEST POINT ENGLISH BOARDING SCHOOL KAPILVASTU,Kapilvastu,Private,2061,
THE EX ARMY ENGLISH SCHOOL KAPILVASTU,Kapilvastu,Private,2061,
AL FALAH BOARDING SCHOOL KAPILVASTU,Kapilvastu,Private,2061,
GRAMIN SWABALAMBAN ENGLISH BOARDING SCHOOL,Kapilvastu,Private,2061,
EMAILIA CABLE NETWORK,Kapilvastu,Private,2061,
MANAS CABLE NETWORK,Kapilvastu,Private,2061,
YOUGMA T.V. NETWORK,Kapilvastu,Private,2061,
THREE STAR CABLE NET,Kapilvastu,Private,2061,
KAPILVASTU VIDHYUT POLE TATHA  HUME PIPE UDHYOG,Kapilvastu,Private,2061,
SHREE LIGHT OF ASIA ENGLISH BOARDING SCHOOL KAPILVASTU,Kapilvastu,Private,2061,
