ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Himalaya Petroleum Company,Kaski,Private,2029,
NEW HOTEL CRYSTAL POKHARA,Kaski,Private,2029,
INTERNATIONAL TREKKERS,Kaski,Private,2030,
DRAGON HOTEL,Kaski,Private,2031,
GANDAKI PETROLIUM COMPANY,Kaski,Private,2031,
Gndaki Chau Chau Udhyog,Kaski,Private,2032,
NAULO BAKERY,Kaski,Private,2032,
HIMALI MINI BUS SEWA,Kaski,Private,2032,
PASCHIMANCHAL BHUTPURBA SAINIK TRAN,Kaski,Private,2033,
POKHARA AUTO AND IRON INDUSTRIES,Kaski,Private,2033,
POKHARA DUNGA UDHYOG,Kaski,Private,2033,
TANKESWAR,Kaski,Private,2033,
PURNIMA CHALACHITRA MANDIR,Kaski,Private,2034,
GANDAKI KAPADA UDHYOG,Kaski,Private,2035,
Machhapuchhre Metal And Machinory Works,Kaski,Private,2035,
YETI TREKKING,Kaski,Private,2035,
BINDHA BASINI DHAKA KAPADA UDHYOG,Kaski,Private,2035,
BISHNU TEXTILE AND GENERAL INDUSTRS,Kaski,Private,2035,
TREKING SIAPS,Kaski,Private,2035,
National Switch Gears,Kaski,Private,2035,
Fishtail Paper Industries,Kaski,Private,2035,
Alfien   Adventure  Exploration,Kaski,Private,2036,
HISTORIC CONSTRUCTION  CONCERN,Kaski,Private,2036,
Laxmi Pavroti  Bhander,Kaski,Private,2036,
Gandki Soap Industries,Kaski,Private,2036,
HOTEL BEGNASH,Kaski,Private,2036,
Hutpurba Sainic Petroliem Traders,Kaski,Private,2037,
PURNIMA CHALACHITRA GHAR,Kaski,Private,2038,
SIGDEL MUDRANALYA,Kaski,Private,2038,
Gandaki Pharmaceuticals,Kaski,Private,2038,
RARA CONSTRUCTION,Kaski,Private,2039,
Pradhan Wood Industries,Kaski,Private,2039,
Dream Land,Kaski,Private,2039,
rastriyabyapy publication,Kaski,Private,2039,
MOUNTAIN VOYAGES NEPAL,Kaski,Private,2039,
GANDAKI FURNITURE UDYPG,Kaski,Private,2040,
Ramero Machhapuchhara Chhapakhana Company,Kaski,Private,2040,
PARADISE TOURS AND TRAVELS,Kaski,Private,2040,
HOTEL NEW ASIA,Kaski,Private,2040,
Hotel the kantipur,Kaski,Private,2040,
SHAKTI BUS SEWA,Kaski,Private,2041,
ORIENTAL TEXTILE,Kaski,Private,2041,
BISHNU PHOTO GRAPHER PRINTING PRESS,Kaski,Private,2041,
POKHARA PAUROTI UDHYOG,Kaski,Public,2041,
ARUN BAKERY,Kaski,Private,2041,
Binduwasini Chalachitr Mandir,Kaski,Private,2041,
NAWA DURGA PAPER RECYCLING MILLS,Kaski,Private,2042,
ASUKA GEMS CUTTING AND LAPIDARY MANUFACTURING,Kaski,Private,2042,
POKHARA MACARONI PRODUCTS,Kaski,Private,2042,
QUALITY TOOTH PRODUCT,Kaski,Private,2042,
Pokhara Plastic Industries,Kaski,Private,2042,
DANFE CONSTRUCTION COMPANY,Kaski,Private,2042,
SUMAN AND BROTHERS DISTILLERY,Kaski,Private,2042,
POKHARA COLOR LAB,Kaski,Private,2042,
Zenith Colour,Kaski,Private,2042,
Chapakot  Nirman Co.,Kaski,Private,2042,
Nepal Snacks,Kaski,Private,2042,
Global Treading &Engineering Concern,Kaski,Private,2042,
Kunwar Textile Industries,Kaski,Private,2043,
Sentury Curiyo Mettle Industries,Kaski,Private,2043,
Nilam Hyachari,Kaski,Private,2043,
JAY OM  NIRMAN SEWA,Kaski,Private,2043,
Deep Jyoti Chalchittra Bhawan,Kaski,Private,2043,
Gandaki Wool Trading,Kaski,Public,2043,
Shakti Auto Ingineering,Kaski,Private,2044,
Nirvan Company,Kaski,Private,2044,
Vijaya Shaabun Udhyog,Kaski,Private,2044,
Annapurna Auto Enginners,Kaski,Private,2044,
Fewa Reservation And Treking Concern,Kaski,Private,2044,
Bhafwati Biscute Company,Kaski,Private,2044,
Bhagwati Rabar Industries,Kaski,Private,2044,
Mountain Way Trekking,Kaski,Private,2044,
Deddhi Gayatre Cardboard Udyog,Kaski,Private,2044,
Seti Biscuite  Industries,Kaski,Private,2044,
Bindabasini Metals,Kaski,Private,2044,
Fewa Plastic Industries,Kaski,Private,2044,
Hotel Galor,Kaski,Private,2045,
S.Hirachan And Associates,Kaski,Private,2045,
Himchuli Films,Kaski,Private,2045,
Samjhana  Films,Kaski,Private,2045,
Muktinath Nirman Sewa,Kaski,Private,2045,
Saiba Trading,Kaski,Private,2045,
Snow Light Animation,Kaski,Private,2045,
Gandaki Distillery,Kaski,Private,2045,
Pokahra Shu Factory,Kaski,Private,2045,
Shanti Match Industries,Kaski,Private,2045,
Bindevasini Tel Udhyog,Kaski,Private,2045,
Aina Nirman Sewa Company,Kaski,Private,2046,
Bandhu Construction Company,Kaski,Private,2046,
S.K. Films,Kaski,Private,2046,
Trishakti  Soap   and Chemicals,Kaski,Private,2046,
Super Fine Politax,Kaski,Private,2046,
Jwala Films,Kaski,Private,2046,
Gandiki Pavers,Kaski,Private,2046,
Himalayan Food Company,Kaski,Private,2046,
Bashae Camp Resort,Kaski,Private,2046,
Manakamana Khanig Uduyog,Kaski,Private,2046,
Saurav Mubige,Kaski,Private,2046,
Gandaki Plastic Products,Kaski,Private,2046,
Karmacharya Plastic Industries,Kaski,Private,2046,
Tiger Mountain,Kaski,Private,2046,
Jessi Carpet Industries,Kaski,Private,2046,
