ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Mimosa Orientation Training  Center,Kathmandu,Private,2068,
NEPAL HOLIDAYS JUNCTION,Kathmandu,Private,2008,
ASHOK HALL,Kathmandu,Private,2009,
BASANTPUR CINEMA,Kathmandu,Public,2009,
Shree Trading,Kathmandu,Public,2009,
BHAJURATNA INVESTMENT,Kathmandu,Public,2010,
Jerky-Meat Parlour,Kathmandu,Private,2011,
Strawberry Restaurant & Bar,Kathmandu,Private,2011,
Talktime Trading,Kathmandu,Private,2011,
TANKESWAR GARMENT,Kathmandu,Private,2012,
Shree Narayan Prashad Rice & Oil Mills,Kathmandu,Private,2013,
Kanchan Marketing,Kathmandu,Private,2068
SHARE BONE MILL,Kathmandu,Private,2014,
E. M. C.,Kathmandu,Private,2015,
The Nepal Brick Tile And Pipe Works,Kathmandu,Private,2016,
ALLIED INDUSTRIAL ENTERPRISES,Kathmandu,Private,2016,
Sherchan Aaudogik Bikash Company,Kathmandu,Private,2016,
Himalayan  Enterprises,Kathmandu,Private,2017,
NEPAL AUTOMOBILES,Kathmandu,Private,2017,
Sunshinefinance limited,Kathmandu,Private,2017,
SANGRILLA BAHU UDESIYA KRISHI FARM,Kathmandu,Private,2017,
HIMAL AUTOMOBILES,Kathmandu,Private,2017,
Educational Enterprises,Kathmandu,Private,2018,
HIMAL IRON AND STEEL,Kathmandu,Private,2018,
Target,Kathmandu,Private,2019,
ASHOK TEXTILE INDUSTRIES,Kathmandu,Private,2019,
NEPAL FOOT WEAR PRODUCT,Kathmandu,Public,2020,
Nepal Handicraft Industries,Kathmandu,Private,2020,
Nepal Cane  &Bamboo Udyog,Kathmandu,Private,2020,
Sky Land Transport Company,Kathmandu,Private,2020,
Salt Trading Corporation,Kathmandu,Public,2020,
THE FAR WAST COMPANY,Kathmandu,Private,2020,
NEPAL WOOD AND ALLIED INDUSTRIES,Kathmandu,Private,2020,
THE COMMONER,Kathmandu,Private,2020,
NEPAL POULTRY LIVESTOCKS,Kathmandu,Private,2020,
ULTRA INDUSTRIES,Kathmandu,Private,2021,
GODAWARI MARBLE INDUSTRIES,Kathmandu,Private,2021,
Sumananjali Films,Kathmandu,Private,2021,
CAPITAL BUILDERS PVT.LTD.,Kathmandu,Private,2021,
HAMA INDUSTRIAL CORPORATION,Kathmandu,Private,2021,
LAXMI FLOUR AND OIL MILLS,Kathmandu,Private,2021,
Gobinda & Company,Kathmandu,Private,2021,
NEPAL FOREST PRODUCTION,Kathmandu,Private,2021,
Nepal Kastha Pratisthan,Kathmandu,Private,2021,
NEPAL PHARMECUTICAL WORKS,Kathmandu,Private,2021,
NEPAL OIL INDUSTRIES,Kathmandu,Private,2021,
BHAIRAHAWA BIDDHUT BITARAN,Kathmandu,Private,2021,
HOTEL MINAKSHI,Kathmandu,Private,2021,
BALAJU AUTO WORKS,Kathmandu,Private,2022,
RIJAL CANNING COMPANY,Kathmandu,Private,2022,
NEPAL COMERCIAL SINDICATE,Kathmandu,Private,2022,
HIMALAYAN MANUFACTURES,Kathmandu,Private,2022,
Gugle Himal Kagag Karayalaya,Kathmandu,Private,2022,
Ram Invesment,Kathmandu,Private,2022,
Vadri Raice Phor And Oil Mill,Kathmandu,Private,2022,
THIRD I TOUR AND TRAVEL,Kathmandu,Private,2022,
NEPAL LIGHT INDUSTRIES,Kathmandu,Private,2022,
UDAY MICA MINE JANATA COMPANY,Kathmandu,Private,2022,
Pashupati ChhapaKhana,Kathmandu,Private,2022,
Nepal Metal Works,Kathmandu,Private,2022,
NEPAL IRON INDUSTRIES,Kathmandu,Private,2022,
NEPAL HOTEL,Kathmandu,Private,2022,
Alight Construction Co,Kathmandu,Private,2022,
Nepal Glass Works,Kathmandu,Private,2022,
Eastern Enterprises,Kathmandu,Public,2022,
NEBICO,Kathmandu,Private,2022,
KOSHI METAL CRAFTS,Kathmandu,Private,2022,
MARTIN AND HARRIS NEPAL,Kathmandu,Private,2022,
NOOKH AND BROTHERS,Kathmandu,Private,2022,
TIBETIAN CARPET TRADING COMPANY,Kathmandu,Private,2022,
kamala Bivina Audhogik Vikesh  Kendra,Kathmandu,Private,2022,
KAMALA BIBHINNA AUDHGIK BIKASH KENDRA,Kathmandu,Private,2022,
Nepal Kala Puspa,Kathmandu,Private,2023,
Dip.Ro.Li.,Kathmandu,Private,2023,
EVEREST PAINTS,Kathmandu,Private,2023,
NEPAL KNITTING INDUSTRIES,Kathmandu,Private,2023,
Bijayswori Plastic Industries,Kathmandu,Private,2023,
GENERAL INDUSTRIES AND INVESTMENT,Kathmandu,Private,2023,
NEPAL MAHILA SHILPA DUYOG,Kathmandu,Private,2023,
NEPAL ELECTRICAL INDUSTRIES,Kathmandu,Private,2023,
