ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
BHAKTAPUR ITTA KARKHANA LIMITED,Kavrepalanchowk,Private,2032,
HOTEL AND MOTAL,Kavrepalanchowk,Private,2033,
NAWADURGA BHAGAWATI KAPADA KARKHANA,Kavrepalanchowk,Private,2035,
"Raj Chamal, Tel Aata Mils",Kavrepalanchowk,Private,2035,
LAMA HOSIERY UDHYOG,Kavrepalanchowk,Private,2037,
HOTEL SURYODAYA,Kavrepalanchowk,Private,2037,
HOTEL SUN SNOW,Kavrepalanchowk,Private,2038,
HIMALAYAN HEIGHT RESORTS,Kavrepalanchowk,Private,2039,
BHAKTAPUR DAIRY,Kavrepalanchowk,Private,2039,
Dhulikhel Moutain Resourt,Kavrepalanchowk,Private,2040,
MILTON READYMADE GARMENTS,Kavrepalanchowk,Private,2041,
YAKSHASWAR TRANSPORT,Kavrepalanchowk,Private,2041,
Fetkeshwor Transport Company,Kavrepalanchowk,Private,2043,
Maneshwori Roda Udhyog,Kavrepalanchowk,Private,2043,
Kavera Consultant,Kavrepalanchowk,Private,2043,
Everest Poultry,Kavrepalanchowk,Private,2043,
C.J. Birkes,Kavrepalanchowk,Private,2044,
Kavre Chalchitra Mandir,Kavrepalanchowk,Private,2044,
Mass Assocates,Kavrepalanchowk,Private,2045,
Bagamati Prakashan,Kavrepalanchowk,Private,2045,
Mayur ChalaChitra Mandir,Kavrepalanchowk,Private,2045,
Dendra Diary,Kavrepalanchowk,Private,2045,
FLORA CARPET PVT. LTD,Kavrepalanchowk,Private,2045,
Dalaba Plastics Industries,Kavrepalanchowk,Private,2046,
Namobuddha Resort Centre,Kavrepalanchowk,Private,2047,
Hotel Gauri Shankar Mountain View,Kavrepalanchowk,Private,2047,
Saundarya Steal Furniture,Kavrepalanchowk,Private,2048,
Kavre Panchkhal Cold Storage,Kavrepalanchowk,Private,2048,
Wood Land Mountain Tower Resort,Kavrepalanchowk,Private,2049,
MIRA WELL RESORT HOTELS,Kavrepalanchowk,Private,2049,
Mirawel Resourt Hotel's,Kavrepalanchowk,Private,2049,
BINAYAK FOOD BEVEFAGE,Kavrepalanchowk,Private,2049,
NEPAL MAT INDUSTRIES,Kavrepalanchowk,Private,2049,
KATHMANDU KNITTING INDUSTRIS,Kavrepalanchowk,Private,2049,
PRECISE WRITING INDUSTRIES,Kavrepalanchowk,Private,2049,
SANGHAI APPARELS,Kavrepalanchowk,Private,2049,
PASHUPATI TAPE PVT.LTD,Kavrepalanchowk,Private,2049,
HOTEL MOUNTAIN AND SUNRISE VIEW PVT,Kavrepalanchowk,Private,2049,
PEACEFUL COTTAGE AND CAFE DE MOUNT,Kavrepalanchowk,Private,2049,
Kavre Marketing Company,Kavrepalanchowk,Private,2049,
Dhulikhel Lodge,Kavrepalanchowk,Private,2049,
GANESH ROLLING MILLS,Kavrepalanchowk,Private,2049,
Araniko Iron Industries,Kavrepalanchowk,Private,2049,
NEPAL TISSUE PAPER PRODUCT PVT.LTD,Kavrepalanchowk,Private,2049,
HILL CORNER RESORT,Kavrepalanchowk,Private,2049,
INTERNATIONAL PHARMACEUTICAL GROUP NEPAL PVT.,Kavrepalanchowk,Private,2049,
NEPA CYCLE INDUSTRIAL CO.PVT.LTD,Kavrepalanchowk,Private,2049,
PALANCHOWK DAIRY PVT.LTD,Kavrepalanchowk,Private,2049,
PUNCHAMUKHI REAL ESTATE PVT.LTD,Kavrepalanchowk,Private,2049,
HISI POLYTHENE AND PLASTIC INDUSTRI,Kavrepalanchowk,Private,2050,
SHIVA CHEM NEPAL PVT.LTD,Kavrepalanchowk,Private,2050,
HOTEL ARNIKO PVT.LTD,Kavrepalanchowk,Private,2050,
PANAUTI STONE MINE AND ALID INDUSTRIES P.LTD,Kavrepalanchowk,Private,2050,
RAMA INTERNATIONAL PVT.LTD,Kavrepalanchowk,Private,2050,
NIMRAD PHERMACEUTICAL LTD,Kavrepalanchowk,Private,2050,
RASMI AND ROSHANI GARMENT PVT.LTD,Kavrepalanchowk,Private,2050,
VITEX GARMENT PVT.LTD,Kavrepalanchowk,Private,2050,
MANJU SHREE FABRICS PVT.LTD,Kavrepalanchowk,Private,2050,
SUNKOSHI ADVENTURE RETREAT,Kavrepalanchowk,Private,2050,
SAGARMATHA GAS UDYOG,Kavrepalanchowk,Private,2050,
HIMALAYAN SANGRILA RESORT PVT.LTD,Kavrepalanchowk,Private,2050,
BANEPA AYURBEDIK AUSHADHI PVT LTD,Kavrepalanchowk,Private,2050,
HIM GUNGA INDS PVT.LTD,Kavrepalanchowk,Private,2050,
RADHA GARMENT INDS PVT.LTD,Kavrepalanchowk,Private,2050,
BRIGHTER GARMENT PVT.LTD,Kavrepalanchowk,Private,2050,
SHREE ARNIKO DHUNGA RODA UDYOG,Kavrepalanchowk,Private,2050,
GAURI SHANKER KRISHI BATIKA,Kavrepalanchowk,Private,2050,
GANESH HIMAL RESORT,Kavrepalanchowk,Private,2050,
KOHINOOR INTERNATIONAL PVT.LTD,Kavrepalanchowk,Private,2051,
SHAKTI FEED PRODUCTS,Kavrepalanchowk,Private,2051,
Lovely Beverage Industries,Kavrepalanchowk,Private,2051,
RAM (SHREE) PLANTATION PVT.LTD.,Kavrepalanchowk,Private,2051,
INDRABATI RODA DHUNGA UDHYOG,Kavrepalanchowk,Private,2051,
Indrawati Roda Dhunga Udhyog,Kavrepalanchowk,Private,2051,
BHOMI AWAS COMPANY PVT. LTD.,Kavrepalanchowk,Private,2051,
SAMJHANA FINANCE COMPANY,Kavrepalanchowk,Public,2051,
SIDDHI GANESH COLD STORES PVT. LTD.,Kavrepalanchowk,Private,2051,
GOURI SHANKAR FEED MILLS PVT. LTD.,Kavrepalanchowk,Private,2051,
HOTEL HIMALAYAN PANAROMA,Kavrepalanchowk,Private,2051,
KASANG PVT.LTD.,Kavrepalanchowk,Private,2051,
NAGARKOT REST HOUSE,Kavrepalanchowk,Private,2051,
MOTHER DAIRY(NEPAL),Kavrepalanchowk,Private,2051,
N.D.B. HOUSING,Kavrepalanchowk,Private,2052,
ROHINI POLTRY TATHA KHARAYO FARM,Kavrepalanchowk,Private,2052,
CHARANGE AWAS,Kavrepalanchowk,Private,2052,
ASIA (THE) ART FURNITURE INDUSTRIES COMPANY,Kavrepalanchowk,Private,2052,
JHIGU BANEPA AWASH,Kavrepalanchowk,Private,2052,
PANCH KUMARI AWAS,Kavrepalanchowk,Private,2052,
NAGARKOT REGENCY,Kavrepalanchowk,Private,2052,
QUALITY BOX MATCH & INDUSTRIES,Kavrepalanchowk,Private,2052,
NAGARKOT NALDUM RESORT,Kavrepalanchowk,Private,2052,
ROYAL EAST INN,Kavrepalanchowk,Private,2052,
PALANCHOK BHAGAWATI RODA DHUNGA UDYOG P.LTD.,Kavrepalanchowk,Private,2052,
HIMALAYA RANGE VIEW RESORTS,Kavrepalanchowk,Private,2053,
Peenthali Hidro Electricity Company,Kavrepalanchowk,Public,2053,
Jomsom Cab,Kavrepalanchowk,Private,2053,
HIGH VIEW RESORT,Kavrepalanchowk,Private,2053,
RISING RESORT PVT.LTD.,Kavrepalanchowk,Private,2053,
WORLD VIEW ANGREJI BOARDING SCHOOL PVT.LTD.,Kavrepalanchowk,Private,2053,
DHULIKHEL ENGLISH BOARDING SCHOOL,Kavrepalanchowk,Private,2053,
NIST COLLEGE,Kavrepalanchowk,Private,2053,
MOUNT VIEW MADHYAMIK VIDYALAYA,Kavrepalanchowk,Private,2053,
BAL BATIKA VIDYA MANDIR SCHOOL,Kavrepalanchowk,Private,2053,
GLACIER EDUCATIONAL FOUNDATION,Kavrepalanchowk,Private,2053,
JYAMDI ENGLISH BOARDING SCHOOL,Kavrepalanchowk,Private,2054,
HOL BETON RESORT PVT.LTD.,Kavrepalanchowk,Private,2054,
LAXMI ANNAPURNA KHADYANNA TATHA TELAHAN UDYOG,Kavrepalanchowk,Private,2054,
SHRIRAM CHALCHITRA MANDIR,Kavrepalanchowk,Private,2054,
POKHARI CHAURI NIRMAN SEWA,Kavrepalanchowk,Private,2054,
PALANCHOWK KUKHURA TATHA PASHUPALAN KENDRA,Kavrepalanchowk,Private,2054,
BIKALPA FURNITURE UDYOG,Kavrepalanchowk,Private,2054,
HOTEL PANAUTI,Kavrepalanchowk,Private,2054,
UNIVERSAL BRUARY,Kavrepalanchowk,Private,2054,
BANEPA VILLAGE RESORT,Kavrepalanchowk,Private,2054,
AMBIKA SABUN UDYOG,Kavrepalanchowk,Private,2054,
GRAMIN SEWA PVT.LTD.,Kavrepalanchowk,Private,2054,
KRISHNA FURNITURE TATHA KASTHA UD. PVT. LTD.,Kavrepalanchowk,Private,2055,
RESORT MOUNTAIN ISLAND PVT.LTD.,Kavrepalanchowk,Private,2055,
CHANDI CABLE NETWORK,Kavrepalanchowk,Private,2055,
MADHYAMANCHAL MARKETING,Kavrepalanchowk,Private,2055,
HARI KRISHNA SHRESTHA & COMPANY,Kavrepalanchowk,Private,2055,
KABHRELI COLOR LAB PVT.LTD.,Kavrepalanchowk,Private,2055,
HOTEL RAVINE SUNRISE PVT.LTD.,Kavrepalanchowk,Private,2055,
CHALCHITRA (SHREE) MANDIR PVT.(LIQ.067/08/22),Kavrepalanchowk,Private,2055,
