ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
KHOTANG TECHNICAL INSTITUTE,Khotang,Private,2056,
HALESEE TRAVELS,Khotang,Private,2056,
B.B. SPACE TIME,Khotang,Private,2057,
HALESI CABLE NETWORK,Khotang,Private,2057,
HOTEL LAMIDADA,Khotang,Private,2057,
GIRI SUPPLIERS & TRADERS,Khotang,Private,2059,
SAGARMATHA GHIMIRE EXPORT IMPORT,Khotang,Private,2059,
GYANENDRA & MILAN CONSTRUCTION SUPPLIERS,Khotang,Private,2059,
CHOMOLUNGMA TEA GARDEN,Khotang,Private,2060,
DIKTEL VIDHYUT COMPANY,Khotang,Private,2060,
B. & B. CABLE NETWORK,Khotang,Private,2060,
MOUNT EVEREST ENGLINSH BOARDING SCHOOL,Khotang,Private,2061,
DIKTEL ENGLISH SECONDARY BOARDING SCHOOL KHOTANG,Khotang,Private,2061,
SUSELI SUPPLIERS,Khotang,Private,2061,
BAKSILA ENGLISH SCHOOL,Khotang,Private,2061,
TRISHAKTI MEDICAL HALL,Khotang,Private,2061,
KALIKA INTERNATIONAL,Khotang,Private,2062,
MID HILL HYDROPOWER,Khotang,Private,2063,
NEUPANE &   BROTHERS  COMPANY,Khotang,Private,2063,
DIKTEL ENTERPRISES,Khotang,Private,2063,
SAKELA PRIMARY BOARDING SCHOOL,Khotang,Private,2064,
JALAPA JANASEWA KENDRA,Khotang,Private,2064,
JALPA JANSEWA KENDRA,Khotang,Private,2064,
Mattim Bright Future English Boarding School,Khotang,Private,2065,
MoonBeam English Boarding School,Khotang,Private,2065,
Temke Hydropower Company,Khotang,Private,2065,
I.D. Construction,Khotang,Private,2065,
Bright Khotang Academy,Khotang,Private,2065,
Neelam English Boarding School,Khotang,Private,2065,
Aselukharka Bal Bidhya Niketan,Khotang,Private,2065,
Khotang Dental Clinic & Lab,Khotang,Private,2065,
Bashishta Real Estate,Khotang,Private,2066,
Buipa Laligurans English Boarding School,Khotang,Private,2066,
Quest English Boarding School,Khotang,Private,2066,
Baby Care Boarding School,Khotang,Private,2066,
Namuna Vidhya Dham,Khotang,Private,2066,
SUAKSHIT BAABARAN HASPITAL AND RESEARCH CENTRE,Khotang,Non-Profit Distributing,2066,
Haleshwar English Boarding School,Khotang,Private,2066,
Arkhaule Shree Gupteshwar Mahadev Suppliers,Khotang,Private,2066,
Chomolungma Sub Remittance & Company,Khotang,Private,2066,
Alisha & Abhishek Enterprises,Khotang,Private,2067,
Marigold English Boarding School Khotang,Khotang,Private,2067,
Haleshi Nirman Sewa,Khotang,Private,2067,
Khotang Sanjal,Khotang,Private,2067,
Sapsu Jayapati Academy,Khotang,Private,2067,
Bunga Trading,Khotang,Private,2067,
Sunrise English Boarding School Dumre Khotang,Khotang,Private,2067,
Jalapa Education Foundation,Khotang,Non-Profit Distributing,2067,
Bright Star Boarding School Khotang,Khotang,Private,2067,
Great Vision English Bourding School Arkhaule,Khotang,Private,2068,
Everest Dipsung Lekali Agarwood Company,Khotang,Private,2068,
Panorama International Academy Khotang,Khotang,Private,2068,
East Himalayan Enterprises & Suppliers,Khotang,Private,2068,
Salpa Bikas Bank,Khotang,Public,2068,
Falk Nepal Swasthya Kendra,Khotang,Non-Profit Distributing,2068,
Sanchar Sadan,Khotang,Private,2068,
Panoroma Academy English School Khotang,Khotang,Private,2068,
Diktel Sub Remit,Khotang,Private,2068,
Sample Academy Secondary Boarding School,Khotang,Private,2068,
Pragatishil English Boarding School Khotang,Khotang,Private,2068,
Modern Model English School Khotang,Khotang,Private,2068,
Halesi Polyclinic,Khotang,Private,2068,
Om Halesi MUltipurpose Marketing,Khotang,Private,2069,
Two Brothers Sub Money Express,Khotang,Private,2069,
Bijaya Organic Village Company,Khotang,Private,2069,
Rupakot B.G. Multipurpose,Khotang,Private,2069,
Panorama International Driving School,Khotang,Private,2069,
Light Future English Boarding School Nerpa,Khotang,Private,2069,
Halesi Panorama Travels and Tours,Khotang,Private,2069,
Gramin Sanchar,Khotang,Private,2069,
Phulbari English Boarding School Diktel,Khotang,Private,2069,
Sunshine English Boarding School Khotang,Khotang,Private,2069,
Haleshi Hospital,Khotang,Private,2069,
Rupakot Bahuudheshiya Krishi Kendra,Khotang,Private,2069,
Rastrahang Engineering Consultancy,Khotang,Private,2070,
Tarapunja English Medium School Khotang,Khotang,Private,2070,
Mahadevsthan Sangam Nirman Sewa,Khotang,Private,2070,
Khotang Multipurpose Technical Institute and Consultant,Khotang,Private,2070,
Hotel Halesi Himalayan,Khotang,Private,2070,
Muna-Mundhum Bahuuddeshyia Company,Khotang,Private,2070,
Adarsha Shiksha Sadan Khotang,Khotang,Private,2070,
Rupakot Halesee Yatayat Sewa,Khotang,Private,2070,
Ajambari Bahudeshyiya Pashupalan Tatha Krishi Farm,Khotang,Private,2070,
Kubhinde Krishi Udhami Kendra,Khotang,Private,2070,
Youme School Khotang,Khotang,Non-Profit Distributing,2070,
Haleshi Darshan Block Udhyog,Khotang,Private,2071,
Halesi Herbal Products And Agriculture Farm,Khotang,Private,2071,
Mount English Boarding School Khotang,Khotang,Private,2071,
Rupakot Construction And Suppliers,Khotang,Private,2071,
Hadikhola Agriculture Resource Centre,Khotang,Private,2071,
Ladiyan Organic Krishi Farm & Research Center,Khotang,Private,2071,
Rawasawa Krishi Farm,Khotang,Private,2071,
Halesi Mahadevsthan  Bahuudesya  Krishi  Farm,Khotang,Private,2071,
Rawa Crosser Udhyog Company,Khotang,Private,2071,
Halesi Resort,Khotang,Private,2071,
Lungthum Academy,Khotang,Private,2071,
Khotanghalesi Investment,Khotang,Private,2071,
Kotgadhi Hydro Investment Company,Khotang,Private,2071,
Khotang Bhanumati Bahuudesya Krishi ,Farm,Khotang,Private,2071
Sayapatri Mala Academy,Khotang,Private,2071,
Hamro Khotang Company,Khotang,Private,2071,
Rawasawa Nirman,Khotang,Private,2071,
Khotang Organic Krishi Farm,Khotang,Private,2071,
Indreni Bahuudeshiya krishi Firm,Khotang,Private,2071,
Dhodre Agriculture Farm And Research Centre,Khotang,Private,2071,
Halesi Mahadev Buddha Hotel,Khotang,Private,2071,
Tayajong Krishi Farm,Khotang,Private,2071,
Haleshi Pathasala Khotang,Khotang,Private,2071,
Halesi Health Care,Khotang,Private,2071,
Buipa Bung Krisi Farm,Khotang,Private,2072,
Rupakot Engineering Consultancy,Khotang,Private,2072,
Shuva and Dhurba Construction,Khotang,Private,2072,
Rawakhola Krishi Urja Sahakarya Company,Khotang,Private,2072,
Halesi Multitechnical Education center,Khotang,Private,2072,
Sirjanshil English Boarding School Khotang,Khotang,Private,2072,
Bhimeswor Nirman Sewa,Khotang,Private,2072,
Halesi Mahadev Investment,Khotang,Private,2072,
Siddhalaxmi Company,Khotang,Private,2072,
Dhikure Krishi Firm,Khotang,Private,2072,
Bakachol Agriculture Firm,Khotang,Private,2072,
Maa Chhinnamasta Polyclinic,Khotang,Private,2072,
Himalaya Organic Farm Nepal,Khotang,Private,2072,
Halesi View Hotel,Khotang,Private,2072,
Hotel Halesi Village,Khotang,Private,2072,
Rawa Nirman Sewa,Khotang,Private,2072,
Suseli Agriculture Farm,Khotang,Private,2072,
Kalika Phohar Maila Byawasthapan Tatha Prashodhan Sewa,Khotang,Private,2072,
Little Star English Boarding School Khotang,Khotang,Private,2072,
Chhalaku Crosser Udhyog,Khotang,Private,2072,
V.K.S.Construction,Khotang,Private,2072,
Emo Krishi Farm,Khotang,Private,2072,
Sakela Bahuuddesiya Krishi Farm,Khotang,Private,2072,
Khotang Haleshi Samudayik Hospital,Khotang,Private,2072,
Basistha Bahuuddesiya Krishi Farm,Khotang,Private,2072,
