ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
DIPMALA MA . VI. LALITPUR,Lalitpur,Private,2061,
NEW EVEREST CONSULTENCY,Lalitpur,Private,2004,
HIMALAYAN WOOLEN MILLS,Lalitpur,Private,2007,
NEPAL COMMERCIAL CORPORATION,Lalitpur,Private,2008,
JOR GANESH PRESS,Lalitpur,Private,2008,
NEPAL TRADERS LTD.,Lalitpur,Private,2009,
NEPAL TRADING CO.,Lalitpur,Private,2009,
HIMALAYA COMMERCIAL CO.,Lalitpur,Private,2009,
SHREE TREKKING,Lalitpur,Private,2009,
YATI BYABASTHAPAK MANDAL,Lalitpur,Private,2010,
NEPAL AGENCY LIMITED,Lalitpur,Private,2012,
NEPAL DAIRY LTD.,Lalitpur,Private,2012,
NEPAL CONSTRUCTION AND ENGNEERING CORPORESAN,Lalitpur,Private,2015,
SERCHAN INDUSTRIAL COMPANY,Lalitpur,Private,2016,
STEEL CRAFTS,Lalitpur,Private,2016,
NEPAL WOOLS WORKS,Lalitpur,Private,2017,
IMPORT EXPORT SERVICES,Lalitpur,Private,2017,
SURAJ TRADING COMPANY,Lalitpur,Private,2017,
EDUCATIONAL ENTERPRISE,Lalitpur,Private,2018,
HIMAL MARBLE CO.,Lalitpur,Private,2018,
GENERAL SUPPLY COMPANY COR. HOTEL,Lalitpur,Private,2018,
BALAJU WOOD UDYOG,Lalitpur,Private,2018,
NEPAL UDHYOG,Lalitpur,Private,2018,
SARAF AND SONS,Lalitpur,Private,2018,
HIMALAYA HOTEL,Lalitpur,Private,2018,
THE HIMALAYAN TRANSPORT,Lalitpur,Private,2018,
JOR GANESH PRESS,Lalitpur,Private,2019,
HOTEL NEPAL,Lalitpur,Private,2019,
TERAI DISTRIBUTERS,Lalitpur,Private,2019,
NARESH AND COMPANY,Lalitpur,Private,2019,
NEPAL SHEKHAR SANSTHA,Lalitpur,Private,2020,
HIMALAYAN BUS SERVICES AND TREDING,Lalitpur,Private,2020,
HIMALAYA SAFARI AND TOUR COMPANY,Lalitpur,Private,2020,
INDUSTRIAL CONSULTING AND ENGINER R,Lalitpur,Private,2021,
EKANE A.C.M.E. ENGINEERS,Lalitpur,Private,2022,
BADRI RICE FLOUR AND OIL MILL,Lalitpur,Private,2022,
