ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
RAJDIP HAT AND LODGE,Lamjung,Private,2035,
Aannapurna Chalachitr Mandir,Lamjung,Private,2049,
Lamjung Bidyut Bikash Company,Lamjung,Public,2051,
TRIBENI (JAYA) CHALCHITRA MANDIR PVT. LTD.,Lamjung,Private,2051,
HOTEL TUKUCHE PEAK,Lamjung,Private,2051,
PRITHVI CHALCHITRA MANDIR PVT.LTD.,Lamjung,Private,2053,
KAMANA GOBAR GAS COMPANY,Lamjung,Private,2053,
PASCHIM BHUMI ANGREJI AWASIYA VIDYALAYA,Lamjung,Private,2053,
HIMALCHULI ENGLISH BOARDING SCHOOL,Lamjung,Private,2053,
BUDDHA SMRITI ANGREJI AWASIYA VIDYALAYA,Lamjung,Private,2053,
MOUNT LAMJUNG ENGLISH BOARDING SCHOOL PVT.LTD,Lamjung,Private,2053,
TRISHAKTI ANGREJI AAWASIYA VIDYALAYA PVT.LTD.,Lamjung,Private,2053,
LAMJUNG TRADING COMPANY,Lamjung,Private,2055,
HOTEL HIMAL CHULI VIEW,Lamjung,Private,2056,
MACHHAPUCHHRE NIRMAN SEWA,Lamjung,Private,2057,
SYANGE ELECTRICITY COMPANY,Lamjung,Private,2057,
KALIKA GOBAR GAS NIRMAN COMPANY,Lamjung,Private,2057,
KHUDI HYDROPOWER,Lamjung,Public,2057,
T.D.C. CABLE NETWORK,Lamjung,Private,2057,
LAMJUNG CABLE T.V. NETWORK,Lamjung,Private,2057,
NAMUNA NETWORK,Lamjung,Private,2057,
MANAKAMANA SECURITY & GENERAL SERVICES,Lamjung,Private,2057,
LAMJUNG BHUTPURBA SAINIK SECURITY SERVICE,Lamjung,Private,2057,
BHOTEWODAR OIL STORE,Lamjung,Private,2057,
LAMJUNG SECURITY SERVICE,Lamjung,Private,2057,
MANANG MARSHYANGDI SECURITY SERVICES,Lamjung,Private,2057,
GANDAKI SECURITY SERVICE,Lamjung,Private,2057,
SMART EX SERVICEMAN SECURITY SERVICE,Lamjung,Private,2057,
MARSHYANDI RESORT,Lamjung,Private,2057,
LIG LIG SECURITY & GENERAL SERVICE,Lamjung,Private,2057,
ANNAPURNA BHU.PU. SAINIK SECURITY SERVICE,Lamjung,Private,2057,
