ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
LODGE A T DEL TREKARS,Mahottari,Private,2038,
Jannki Calachitra,Mahottari,Private,2046,
NIBHAN HIMALAYAS WATER COMPANY,Mahottari,Private,2048,
MAHAJAN GAS PVT.LTD.,Mahottari,Private,2054,
JANAKI AYURVEDIC MEDICINE LABORATORIES,Mahottari,Private,2056,
JALESHWORNATH TECHNICAL INSTITUTE,Mahottari,Private,2056,
BARDIBAS MEDICAL SIKCHHYALAYA,Mahottari,Private,2056,
NAMUNA MEDICAL TECHNICAL INSTITUTE,Mahottari,Private,2056,
J.N.C. NETWORK,Mahottari,Private,2057,
SONAMAI COMMERCIAL COMPLEX,Mahottari,Private,2057,
ALKA COLOUR LAB,Mahottari,Private,2058,
JALAPA CABLE NETWORK,Mahottari,Private,2058,
SHREE SHANTI NIKETAN ENGLISH BOARDING SCHOOL,Mahottari,Private,2059,
JOONTARA SEENEMA HALL,Mahottari,Private,2059,
MAHOTTARI (GLORY) ENGLISH BOARDING SCHOOL,Mahottari,Private,2059,
REKHAMAHARANI (KANKAI) ENGLISH BOARDING SCHOOL,Mahottari,Private,2059,
BALAJI CABLE,Mahottari,Private,2059,
SUN-SHINE ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2059,
BHANUBHAKTA MEMORIAL ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2059,
CHILDREN GLORY PUBLIC ACADEMY MAHOTTARI,Mahottari,Private,2059,
EVEREST PUBLIC SCHOOL,Mahottari,Private,2059,
CENTRAL POINT ACADEMY MAHOTTARI,Mahottari,Private,2059,
CHILDRENS PARADISE ENGLISH BOARDING SCHOOL,Mahottari,Private,2059,
SHREE SARASWATI GYANODAYA ENGLISH BOARDING SCHOOL MAHOTARI,Mahottari,Private,2059,
MOUNT ENGLISH BOARDING SCHOOL MAHOTARI,Mahottari,Private,2059,
SHREE BABA BANESHWOR NATH ENGLISH BOARDING,Mahottari,Private,2060,
SIDDHARTHA ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2060,
SHIV COLD INDUSTRIES,Mahottari,Private,2060,
SONU DISTILLERY,Mahottari,Private,2060,
MOUNT EVEREST ENGLISH MEDIUM SCHOOL MAHOTARI,Mahottari,Private,2060,
GLOBLE ACADEMY MAHOTTARI,Mahottari,Private,2060,
NAWA KSHITIJ UCHCHA MADHYAMIK VIDHYALAYA MAHOTTARI,Mahottari,Private,2060,
KAMALA MAI SELAR MEAL,Mahottari,Private,2060,
SIDDHARTHA SHISHU SADAN (MAHOTTARI ),Mahottari,Private,2060,
JANAKI ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2060,
MOTHER TERESA KIDDY CONVENT ENGLISH BOARDING SCHOOL,Mahottari,Private,2061,
KUPANI DEVI MEMORIAL ENGLISH BOARDING SCHOOL,Mahottari,Private,2061,
PATHAK ENTERPRISES,Mahottari,Private,2061,
MAHASHAKTI  AYURVEDIK COMPANY,Mahottari,Private,2061,
JAGADAMBA CABLE NETWORK,Mahottari,Private,2061,
MOTHERLAND BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2061,
AJAYA ENTERPRISES EXCHANGE,Mahottari,Private,2061,
NOBEL ACADEMY MAHOTTARI,Mahottari,Private,2061,
GALAXY ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2061,
THE SUN RISE ENGLISH BOARDING SCHOOL MAHOTTARY,Mahottari,Private,2061,
BRIGHT STAR ENGLISH SCHOOL,Mahottari,Private,2061,
CHILDREN LIFE CREATOR ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2061,
SHISHU GYAN NIKUNJA ENGLISH BOARDING HIGH SCHOOL MAHOTTARI,Mahottari,Private,2061,
SOUTH ASIAN CAMBRIDGE ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2061,
ADVANCED LEARNER'S HIMALAYAN ENGLISH BOARING MADHYAMIK BIDYALAYA MAHOTTARY,Mahottari,Private,2061,
NEW MODERN  ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2061,
VEENA VIDHYA MANDIR ENGLISH BOARDING SCHOOL MAHOTTRI,Mahottari,Private,2061,
AJAD AJIM TRAVELING PARAMARSHA SERVICE,Mahottari,Private,2061,
ROYAL INTERNATIONAL SCHOOL JALESHWAR (MAHOTTARY),Mahottari,Private,2061,
EMMANUEL ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2061,
BAL JYOTI ACADEMY MAHOTTARY,Mahottari,Private,2061,
NOBLE PUBLIC ACADEMY (MAHOTTARI ),Mahottari,Private,2061,
VILLAGE PUBLIC ENGLISH SCHOOL,Mahottari,Private,2061,
ORGANIC NATURAL FERTILIZER,Mahottari,Private,2061,
NARSINGH BIDHUT BIKAS,Mahottari,Private,2061,
DIAMOND ENGLISH BOARDING SCHOOL,Mahottari,Private,2062,
SHREE MITHILA  ENGLISH BOARDING SCHOOL,Mahottari,Private,2062,
SYMBIOSIS INTERNATIONAL ACADEMY  JAESHWAR  (MATHOTTARI),Mahottari,Private,2062,
SHREE RAM  EDUCATION FOUNDATION PVT. LTD.,Mahottari,Private,2062,
HOLY ENGLISH MEDIUM SCHOOL,Mahottari,Private,2062,
CRESCENT ENGLISH CONVENT,Mahottari,Private,2062,
ATIT CABLE NETWORK,Mahottari,Private,2062,
NEWTON'S VIEW ENGLISH BOARDING SCHOOL MAHOTTARI,Mahottari,Private,2062,
ganesh and krishna itta udhyog,Mahottari,Private,2062,
GANESH & KRISHNA ITA UDHYOG,Mahottari,Private,2062,
APEX ACADEMY MAHOTTARY,Mahottari,Private,2062,
ATLAS POINT ENGLISH BOARDING SCHOOL,Mahottari,Private,2062,
MODERN GURUKUL BOARDING SCHOOL,Mahottari,Private,2062,
RIKA ENGLISH BOARDING SCHOOL,Mahottari,Private,2062,
MONU MONEY EXPRESS REMITTANCE,Mahottari,Private,2063,
RAM JANAKI HEALTH CARE CENTRE,Mahottari,Private,2063,
CITIZEN SCHOOL,Mahottari,Private,2063,
SHIVA MONEY TRANSFER,Mahottari,Private,2063,
OM EDUCATIONAL POINT,Mahottari,Private,2063,
EDUCATION TOP ENGLISH BOARDING SCHOOL PVT.,Mahottari,Private,2063,
RIYA ENTERPRISES,Mahottari,Private,2063,
MISHIKA MONEY EXPRESS,Mahottari,Private,2063,
NEPAL PUBLIC ENGLISH BOARDING SCHOOL,Mahottari,Private,2063,
MODEL (NEW) SIDDHASTHALI BOARDING SCHOOL BAR*,Mahottari,Private,2063,
D.S. ENGINEERING WORKSHOP & D.R. SUPPLIERS,Mahottari,Private,2064,
SHINING PATH ENGLISH BOARDING SCHOOL,Mahottari,Private,2064,
HOPE POLYCLINIC,Mahottari,Private,2064,
DILASA INVESTMENT COMPANY,Mahottari,Private,2064,
BARDIBAS BORADING SCHOOL,Mahottari,Private,2064,
MITHILA TUBEWELL,Mahottari,Private,2064,
GULF RELIANCE TRAVELS & TOURS PVT. LTD.,Mahottari,Private,2064,
Balaba Child Glory English Boarding School,Mahottari,Private,2064,
Om Samaj Sub Money Transfer,Mahottari,Private,2064,
Modern Shanti Niketan English Boarding School,Mahottari,Private,2064,
Yog Aasini Engineering Workshop,Mahottari,Private,2064,
Baradibas Janasewa  Hospital & Diagnosis Center,Mahottari,Private,2064,
Om Krishna Investment,Mahottari,Private,2064,
Bhramarapura Mithila Public School,Mahottari,Private,2065,
Patandevi Engineering Workshop and Suppliers,Mahottari,Private,2065,
Swastik Auto & Trading,Mahottari,Private,2065,
Sonamai English Boarding School,Mahottari,Private,2065,
Rauja Shishu Sadan Academy,Mahottari,Private,2065,
Ekdara Mount Everest English Boarding School,Mahottari,Private,2065,
Jana Sahayogi Trade and Investment Company,Mahottari,Private,2065,
Baby Seating English Boarding School,Mahottari,Private,2065,
Jayadurga Investment,Mahottari,Private,2065,
Bagalamukhi Crusher Udhyog,Mahottari,Private,2065,
Shreebaba Stone Industries,Mahottari,Private,2065,
Aashirwad Investment,Mahottari,Private,2065,
Mahashakti Herbal Company,Mahottari,Private,2065,
Shishu Gyan English Boarding School,Mahottari,Private,2065,
Sonamai Bachat Investment,Mahottari,Private,2065,
Model Siddasthali Maisthan Public Academy,Mahottari,Private,2065,
Abhiyan Nepal,Mahottari,Private,2065,
Shubhashree Property Investment and Services,Mahottari,Private,2065,
Mahaboob Sub Money Transfer,Mahottari,Private,2065,
Rangit Construction Company,Mahottari,Private,2065,
Bardibas Cable Network,Mahottari,Private,2065,
Jaleshwar Araniko English Boarding School,Mahottari,Private,2065,
Damodar Academy,Mahottari,Private,2065,
Bardibas Sidhyartha Public School,Mahottari,Private,2065,
Tuteshwar Investment,Mahottari,Private,2066,
Shulav Sahayogi Investment,Mahottari,Private,2066,
Madhya Terai Renewable Energy Service,Mahottari,Private,2066,
Child Future English Boarding Shool,Mahottari,Private,2066,
Panchamukhi Real Estate,Mahottari,Private,2066,
Shanti Community Hospital,Mahottari,Private,2066,
Ram Pari Memorial Hospital,Mahottari,Private,2066,
Shubha Swastik Hospital,Mahottari,Private,2066,
BishalTraders Jaleshwor,Mahottari,Private,2066,
Black Diamond Industry,Mahottari,Private,2066,
Bardibas Property Investment Company,Mahottari,Private,2066,
Gyan Mandir English School Mahottari,Mahottari,Private,2066,
Prabin Tours and Travels,Mahottari,Private,2066,
Abiskar Energy,Mahottari,Private,2066,
Geetanjali English Boarding School Jaleshwar,Mahottari,Private,2066,
R.T.S. Construction and Suppliers,Mahottari,Private,2066,
Gaushala Community Hospital,Mahottari,Private,2066,
Panchadhura Real Estate Company,Mahottari,Private,2066,
