ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
NEPAL KHAND INDUSTRIES,Manang,Private,2024,
Himali Machhapuchhre  Trekking  Lodge,Manang,Private,2035,
KSHECHYANG DISTILARRY COMPANY,Manang,Private,2052,
SNOW MONEKY TREKKING & INFORMATION CENTRE,Manang,Private,2056,
CHAME CABLE NETWORK,Manang,Private,2061,
BEYOND HIMALAYA BROAD BAND INTERNET SERVICE,Manang,Private,2064,
N.G. and Angel Construction,Manang,Private,2067,
Manang Hospital,Manang,Private,2067,
N.G. & Angel Khadhyanna Suppliers,Manang,Private,2067,
Manang Polyclinic and Medical Center,Manang,Private,2069,
Tilicho Manag Lamjung Yatayat Company,Manang,Private,2069,
Manang Krishi Firm,Manang,Private,2071,
Manang Construction & Suppliers,Manang,Private,2072,
Karma Construction & Builders,Manang,Private,2072,
GangaPurna Construction,Manang,Private,2072,
Manang Petrol Pump,Manang,Private,2072,
Mahakala Construction And Builders,Manang,Private,2072,
