ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
MORANG SUGAR MILLS,Morang,Public,2003,
ACHYUT RICE OIL MILLS,Morang,Private,2014,
Shree Jaljala Cinema,Morang,Private,2014,
HIMALAYAN INDUSTRIES,Morang,Private,2016,
SANTOSHI SECURITY SERVICES,Morang,Private,2017,
Kumari Rice Oil Dal & floor Mills,Morang,Private,2017,
CHANDRA SHIVA RICE AND OIL MILLS,Morang,Private,2017,
SHREE INDUSTRIES,Morang,Private,2018,
Nepal Trading Concern,Morang,Private,2027,
Nepal Straboard Company,Morang,Private,2029,
Himalayan Talkies & Investment Company Pvt.Ltd.,Morang,Private,2030,
BIRAT YATAYAT SEWA,Morang,Private,2031,
HIMALAYAN GINGER PRODUCTS,Morang,Private,2031,
NEPAL JUTE INDUSTRIES,Morang,Private,2032,
HIMAL CHEYA UDHYOG,Morang,Private,2033,
B.Sil.Ka.,Morang,Private,2034,
D. R. RICE OIL AND FLOUR MILLS,Morang,Private,2035,
DHANAWAT MATCH FACTORY,Morang,Private,2035,
durga  Industries,Morang,Private,2035,
RAJENDRA SAW MILL TATHA FURNITURE,Morang,Private,2035,
ANNAPURNA BUS SEWA,Morang,Private,2036,
PARAMOUNT TREKS & EXPEDITION PVT.LTD.- (LIQ),Morang,Private,2036,
JAY SHREE COMPANY,Morang,Private,2036,
Koshitoffi Udhyog,Morang,Private,2038,
GUHESHWARI BOX MATCH FACTORY,Morang,Private,2039,
JAGADISH TRANSPORT COMPANY,Morang,Private,2039,
GOLYAN OFFSET PRINTERS,Morang,Private,2039,
PASHUPATI POLYPROPYLENE INDUSTRIES,Morang,Private,2039,
BINAYAK OFFSET PRINTERS,Morang,Private,2040,
PASHUPATI KNITING INDUS,Morang,Private,2040,
GORKHA CHHAPAKHANA,Morang,Private,2040,
PASHUPATI FOOTWEAR INDUSTRIES,Morang,Private,2041,
BABA BISCUIT PRODUCTSCU,Morang,Private,2041,
FRIENDS ASSOCIATES PRESS,Morang,Private,2041,
Raj Processing Lab  Spectrum,Morang,Private,2041,
GOURI SHANKAR CONSTRUCTION,Morang,Private,2041,
Aruna Paper Board Industries,Morang,Private,2042,
NARAYAN POLYPACK UDHYOG,Morang,Private,2042,
KOSHI AADHUNIK ITTA UDYOG,Morang,Public,2042,
Seasoing & Wooden Parguet,Morang,Private,2042,
Khatri breeding and hatchery farm,Morang,Public,2042,
QUALITY BISCUIT INDUSTRIES,Morang,Private,2042,
C.M.Cotton Industries,Morang,Private,2042,
Gorasans Industries,Morang,Private,2043,
Rangeli Rice and Aayal mills,Morang,Private,2043,
C. M. JUTE MILLS,Morang,Private,2043,
M.M. Plastic Udyog,Morang,Private,2043,
Pradip Commersiyal Enterprises,Morang,Private,2043,
Rus International,Morang,Private,2043,
Kamala Iron &Steel Industries,Morang,Private,2043,
BABA CONFECTIONERY,Morang,Private,2043,
Om Treafala International,Morang,Private,2043,
Dantakali Biscute Industries,Morang,Private,2043,
GOLDEN BATTERY INDUSTRIES,Morang,Private,2043,
Bangol Wool Traders,Morang,Private,2044,
Kanchanjunga Krishi Yantra Udhyog,Morang,Private,2044,
Mount Kailash Adventure Trekking,Morang,Private,2044,
DEVI PLASTIC UDHYOG,Morang,Private,2044,
Dream Trekking & Expedition,Morang,Private,2044,
National Chappal Udhyog,Morang,Private,2044,
Jugal Rice And Oil Mill,Morang,Private,2044,
Hotel Marshyangdi,Morang,Private,2044,
Himalaya Auto Industries,Morang,Private,2044,
HANSRAJ HULASHCHNAD & COMPANY,Morang,Private,2044,
Pioneer Electro Cables,Morang,Private,2044,
Shree Krishna Bahumukhi Krishi Kendra,Morang,Private,2044,
Purbanchal  Plastic,Morang,Public,2045,
Nabin Plastic Industries,Morang,Private,2045,
Rathi Paper Baink  Mech  Industries,Morang,Private,2045,
Arun Vanaspati Udyog,Morang,Public,2045,
Saubagya Interprisess,Morang,Private,2045,
Hotel Ice Land,Morang,Private,2045,
Bagmati Steel Industries,Morang,Private,2045,
