ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SARALA RICE OIL AND FLOUR MILLS,Mugu,Private,2024,
DOLPHINS MENOR HOTEL PVT.LTD,Mugu,Private,2049,
HOTEL NETRARAJ PVT. LTD,Mugu,Private,2051,
RARA NORTH POINT RESORT,Mugu,Private,2058,
THAPA MEMORIAL ENGLISH MEDIUM BOARDING SCHOOL,Mugu,Private,2060,
SHREE RARA CITY CABLE T.V. NETWORK,Mugu,Private,2060,
RARA DYNAMIC BOARDING SCHOOL,Mugu,Private,2061,
A.P. English Boarding School,Mugu,Private,2065,
Janata Karnali English Boarding School,Mugu,Private,2065,
T.K. Child Academy,Mugu,Private,2065,
Village Heritage & Resort,Mugu,Private,2066,
Thaayanath Media,Mugu,Private,2066,
Vision Dynamic English Medium School Mugu,Mugu,Private,2066,
Bright Future Public School Mugu,Mugu,Private,2067,
Placid Vibes Academy,Mugu,Private,2067,
Shree Chandra M.M. Dynamic Boarding School,Mugu,Private,2068,
Chankheli Media,Mugu,Private,2068,
Bright Future English Medium School Mugu,Mugu,Private,2069,
Chhayakshetra Jadibuti Prasodhan Kendra,Mugu,Private,2069,
Rara Aspatal,Mugu,Private,2069,
Himalayan Research Center For Agriculture And Herb's,Mugu,Private,2069,
Karnali Agriculture Trade & Business Promotion Research Center,Mugu,Private,2069,
Red Panda Resort,Mugu,Private,2069,
Malla Aarogya Polyclinic,Mugu,Private,2069,
Apex English Boarding  School Mugu,Mugu,Private,2069,
Yaplang Engineering Consultancy,Mugu,Private,2069,
Samudayik Krishi Bikash,Mugu,Private,2070,
Khesma Agro,Mugu,Private,2070,
Chhanyanath Dhaulagiri Solar and Investment,Mugu,Private,2070,
Mugu Media Centre,Mugu,Private,2070,
Chayanath English Medium Boarding School Mugu,Mugu,Private,2070,
Himali Jadibuti & Khadyanna Suppliers,Mugu,Private,2070,
Buddha Education Academy Mugu,Mugu,Private,2071,
Om Rara Health Foundation,Mugu,Non-Profit Distributing,2071,
Lokpriya Memorial English Medium Boarding School Mugu,Mugu,Private,2071,
Karnali Health Foundation And Hospital,Mugu,Private,2071,
Rara Village Resort,Mugu,Private,2071,
Chhayanath Media Production,Mugu,Private,2071,
Kawamasta Investment,Mugu,Private,2071,
Hemkunja Dynamic Boarding School Mugu,Mugu,Private,2071,
Rara Chhayanath,Mugu,Private,2072,
"Maharudra Dyanamic Boarding School, Mugu",Mugu,Private,2072,
