ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Ame Pal Construction,Mustang,Private,2064,
Hotel Jomsom,Mustang,Private,2031,
HOTEL JOMSOM,Mustang,Private,2031,
HOTEL GHASA,Mustang,Private,2034,
Thak Khola  Phal Prashodhan Kendra,Mustang,Private,2034,
Dhulagiri  Wollen  Mill  and  Journal  Industries,Mustang,Private,2035,
DHAWALAGIRI WOOLEN MILL AND GENERAL,Mustang,Private,2038,
MUSTANG DISTILLERY,Mustang,Private,2038,
MARFA DISTILLERY,Mustang,Private,2039,
Muktinath Hotel,Mustang,Private,2048,
LOMANTHANG TREK,Mustang,Private,2048,
Hotel  Tanki Mang,Mustang,Private,2049,
HOTEL DAMODAR KUNDA PVT.LTD.,Mustang,Private,2053,
NORTH POLE TOURS & TRAVELS PVT.LTD.,Mustang,Private,2054,
SAGUN DISTILARY,Mustang,Private,2057,
LAXMI KRISHI BIKASH,Mustang,Private,2058,
NILGIRI SANJIVANI UDHYOG,Mustang,Private,2059,
DHAULAGIRI BOARDING SCHOOL,Mustang,Private,2059,
Lo-Kunphen Medical School,Mustang,Private,2059,
Great Compassion Boarding School Mustang,Mustang,Private,2059,
JOMSOM COLOUR LAB,Mustang,Private,2061,
LODGE THASANG VILLAGE,Mustang,Private,2061,
Muktinath Krishi Farm,Mustang,Private,2065,
Mukti Kshetra Construction Company,Mustang,Private,2065,
Hotel pride,Mustang,Private,2065,
Top View Cyber,Mustang,Private,2066,
Mustang Tiger Construction,Mustang,Private,2066,
Tashi Lhakhang Construction,Mustang,Private,2066,
Green Tangbe,Mustang,Public,2067,
Royal Mustang Resort,Mustang,Private,2068,
Nima Cosntruction,Mustang,Private,2068,
Nupsang Resort,Mustang,Private,2068,
Upper Mustang Charaang Construction,Mustang,Private,2069,
Damodar Kunda Construction,Mustang,Private,2069,
Hotel Wind Horse,Mustang,Private,2069,
Ghami Dream Hotel,Mustang,Private,2070,
Tulachan Builders & Crusher Industries,Mustang,Private,2070,
Menthang Organic Apple Farm,Mustang,Private,2070,
Mustang Mountain Home,Mustang,Private,2070,
Mustang Resort,Mustang,Private,2071,
Mustang Panorama Inn,Mustang,Private,2071,
Mustang Express,Mustang,Private,2071,
Muktinath Khimkhar Organic Krishi Farm,Mustang,Private,2071,
Kobang Investment,Mustang,Private,2072,
Ghansa Investment,Mustang,Private,2072,
Tukuche Thapakhola Hydropower Investment,Mustang,Private,2072,
Jomsom Investment,Mustang,Private,2072,
Mustang Organic farm,Mustang,Private,2072,
Mustang Truck Yatayat Byabasayee Simiti,Mustang,Non-Profit Distributing,2072,
