ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HOTEL TATOPANI GUEST HOUSE,Myagdi,Private,2034,
Ruru Textile & General Industries,Myagdi,Private,2036,
HOTEL THE GREEN HILOK,Myagdi,Private,2051,
RAGHU GANGA PARADISE HOTEL,Myagdi,Private,2052,
YOJANA BOARDING SCHOOL PVT.LTD.,Myagdi,Private,2053,
RUCHI CHALCHITRA MANDIR PVT.LTD.,Myagdi,Private,2054,
KALI GANDAKI NIRMAN SEWA,Myagdi,Private,2054,
BALMAN INDUSTRIES,Myagdi,Private,2054,
BENI CABLE NETWORK,Myagdi,Private,2055,
Beni Cable Network,Myagdi,Private,2055,
MOUNT DHAWALAGIRI MONEY CHANGER SERVICE P.LTD,Myagdi,Private,2055,
MYAGDI CABLE T.V. NETWORK PVT.LTD.,Myagdi,Private,2055,
MYAGDI CHALCHITRA MANDIR,Myagdi,Private,2056,
THE OLD KAMALA,Myagdi,Private,2059,
MAHAT & BROTHERS CONSTRUCTION,Myagdi,Private,2059,
M.I.T. Sanchar Sewa,Myagdi,Private,2059,
BENI BOARDING SECONDARY SCHOOL,Myagdi,Private,2059,
MOUNT EVEREST AWASIYA MADHYAMIK VIDHYALAYA,Myagdi,Private,2059,
FOUNDATION OF ACADEMIC EMPIRE,Myagdi,Private,2059,
WEST POINT EDUCATION FOUNDATION MYAGDI,Myagdi,Private,2059,
GALESHWAR AADARSHA BOARDING SCHOOL PVT. LTD.,Myagdi,Private,2059,
DHAULAGIRI TRAVELS AND MONEY TRANSFER,Myagdi,Private,2060,
MYAGDI VIDHYUT SEWA,Myagdi,Private,2060,
KALI GANDAKI OIL SUPPLIERS,Myagdi,Private,2060,
BENI TECHNICAL EDUCATION & COMPUTER HOUSE,Myagdi,Private,2060,
ADVANCE ACADEMIC FOUNDATION MYAGDI,Myagdi,Private,2061,
SHREE BUDDHA MONEY TRANSFER,Myagdi,Private,2061,
MYAGDI COMPUTER & COMMUNICATION,Myagdi,Private,2061,
BENI MONEY TRANSFER,Myagdi,Private,2061,
SANKALPA CABLE NETWORK,Myagdi,Private,2062,
EX SERVICEMEN CO-OPERATION,Myagdi,Private,2062,
LITTLE GARDEN ACADEMY,Myagdi,Private,2062,
MUKTINATH ENTERPRISES,Myagdi,Private,2062,
RAGHU GANGA SUB MONEY TRANSFER,Myagdi,Private,2063,
GAYATRI SUB MONEY TRANSFER,Myagdi,Private,2063,
MUKTINATH CABLE T.V. NETWORK,Myagdi,Private,2063,
K.B. ACADEMY AND BOARDING SCHOOL,Myagdi,Private,2063,
DHAULAGIRI ACADEMY & BOARDING SCHOOL TAKAM,Myagdi,Private,2063,
BUDDHA ACADEMY AND AAWASHIYA VIDHYALAYA,Myagdi,Private,2063,
SHREE DAWNING ENGLISH BOARDING SCHOOL BABI*,Myagdi,Private,2063,
RAKHU NORTH STAR ENGLISH BOARDING SCHOOL,Myagdi,Private,2063,
MOUNT DHAULAGIRI CONSTRUCTION AND CRUSHAR UDHYOG,Myagdi,Private,2063,
DHAULAGIRI NURSING COLLEGE,Myagdi,Private,2063,
MALIKA MONEY TRANSFER,Myagdi,Private,2064,
NILGIRI VIKAS BANK,Myagdi,Public,2064,
Okhaebot Sole Construction,Myagdi,Private,2064,
MUKTINATH POULTRY SUPPLIERS,Myagdi,Private,2064,
NORTH ANNAPURNA ENGLISH BOARDING SCHOOL,Myagdi,Private,2064,
MYAGDI ACADEMY,Myagdi,Private,2064,
"Piple Future Star English School, Myagdi",Myagdi,Private,2064,
Dhawalagiri Patlekhet English Aawashiya Vidhyalaya,Myagdi,Private,2064,
Ganga Himalayan English Aawashiya Vidhyalaya Pulachaur,Myagdi,Private,2064,
Bliss Niketan School,Myagdi,Private,2064,
National Progressive Educational Academy,Myagdi,Private,2064,
Malika Janahit Boarding School,Myagdi,Private,2064,
Himalayan Khari Tatha Dhunga Udhyog,Myagdi,Private,2064,
Rigadaha Sub-Money Transfer,Myagdi,Private,2064,
Tatopani English Boarding School,Myagdi,Private,2064,
Rajbir Hydropower Company,Myagdi,Private,2065,
Myagdi Kali Builders,Myagdi,Private,2065,
Myagdi Pashchim Cable,Myagdi,Private,2065,
Raghuganga Oil Store,Myagdi,Private,2065,
Darawang Sub Money Exchange,Myagdi,Private,2065,
Surya Sanchar,Myagdi,Private,2065,
Sole Herbs,Myagdi,Private,2065,
Dhorpatan Gateway Herbs,Myagdi,Private,2065,
Raghu Ganga Engineering & Construction,Myagdi,Private,2065,
Sagar Sub-Remittance,Myagdi,Private,2065,
Beni Hospital & Research Center,Myagdi,Private,2065,
Purgatory English Boarding School,Myagdi,Private,2065,
Pulachour Academy,Myagdi,Private,2065,
Ghatan Academy,Myagdi,Private,2065,
Bima Academy,Myagdi,Private,2065,
Native Land Academy,Myagdi,Private,2065,
Kuhun Lali Gurans Boarding School,Myagdi,Private,2065,
Munal Future Life Boarding School,Myagdi,Private,2065,
Myagdi Kali Traders,Myagdi,Private,2065,
Galeshwar Construction & Equipment,Myagdi,Private,2066,
Myagdi Academic Center,Myagdi,Private,2066,
Nepal Wireless,Myagdi,Non-Profit Distributing,2066,
Ratna Beverage Industries,Myagdi,Private,2066,
Kasturi Trading House,Myagdi,Private,2066,
Kasturi Sub Money Transfer,Myagdi,Private,2066,
Anna Pushpam Sub Remittance Company,Myagdi,Private,2066,
Upabhokta Traders,Myagdi,Private,2066,
T. & P. Gauchan Sub-Remitance,Myagdi,Private,2066,
Magic Step Boarding School,Myagdi,Private,2066,
Dhawalagiri Siksha Sadan,Myagdi,Private,2066,
