ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
ANNAPURNA  FARMING,Nuwakot,Private,2027,
HOTEL RANJIT,Nuwakot,Private,2033,
DURGA TRANSPORT,Nuwakot,Private,2037,
HOTEL TRISHULI,Nuwakot,Private,2039,
INDRAYANI CARRIER,Nuwakot,Private,2044,
Shiva Gauri Carier,Nuwakot,Private,2044,
Trishuli Farm,Nuwakot,Private,2045,
Boatbiruwa Utapadan Awam Ban Vikash,Nuwakot,Private,2046,
Three Star carpet Udyog,Nuwakot,Private,2046,
Kakani Indra Binayu Tea & Agro Herbal,Nuwakot,Private,2048,
TRISHULI TEXTILE,Nuwakot,Private,2049,
BIRD STONE CRUSSOR UDHYOG,Nuwakot,Private,2050,
JANA BHAWANA GOBAR GAS UDYOG,Nuwakot,Private,2050,
BHAIRAVI CHALCHITRA MANDIR P.LTD,Nuwakot,Private,2050,
MANASHANTI GOBAR GAS UDYOG PVT.LTD,Nuwakot,Private,2050,
HERBS NEPAL PVT. LTD,Nuwakot,Private,2050,
PAKHAREN CARPET INDUSTRIES,Nuwakot,Private,2051,
BHIRABI GOVER GASS UDHYOG,Nuwakot,Private,2051,
RASUWA DISTILARY & FOODS INDUSTRIES,Nuwakot,Private,2052,
MAHESWAR CHALCHITRA MANDIR,Nuwakot,Private,2052,
Sulav kinmale kendra,Nuwakot,Public,2052,
DIYO CHALCHITRA MANDIR PVT.LTD.,Nuwakot,Private,2052,
RATNA SHRESTHA NIRMAN SEWA,Nuwakot,Private,2053,
KUMBHESWAR SHAICHHIK BIKAS CO.PVT.LTD.,Nuwakot,Private,2053,
MARS ENGLISH BOARDING SCHOOL PVT.LTD.,Nuwakot,Private,2053,
HOTEL MENAKA PVT.LTD.,Nuwakot,Private,2054,
TRISHULI GANGAMAI CHALCHITRA MANDIR PVT.LTD.,Nuwakot,Private,2054,
PANDEY DRIVING TRAINING CENTRE PVT.LTD.,Nuwakot,Private,2054,
TRISHULI BUS SEWA PVT.LTD.,Nuwakot,Private,2055,
JIMNANG NIRMAN SEWA,Nuwakot,Private,2055,
