ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
ROJIP CHHAPAKHANA PVT.LTD.,Okhaldhunga,Private,2054,
GOBAR GAS NIRMAN TATHA PRABIDHIK SEWA,Okhaldhunga,Private,2056,
SAGARMATHA HERBLE & COFFEE PRODUCTS,Okhaldhunga,Private,2056,
OKHALDHUNGA CABLE NETWORK,Okhaldhunga,Private,2056,
TIMURBOTE RESORT,Okhaldhunga,Private,2057,
PURBANCHAL KHANI UDDHYOG,Okhaldhunga,Private,2057,
GOPHLE TEA ESTATE,Okhaldhunga,Private,2058,
MOLUNG KHOLA LAGHU JAL BIDHYUT AYOJANA,Okhaldhunga,Private,2058,
SOBRU ENGLISH SCHOOL,Okhaldhunga,Private,2059,
UPPER SAGARMATHA BUSINESS LINK,Okhaldhunga,Private,2060,
LALIGURANS ENGLISH SCHOOL (OKHALDHUNGA),Okhaldhunga,Private,2061,
SUNRISE ENGLISH SCHOOL OKHALDHUNGA,Okhaldhunga,Private,2061,
MOUNT SNOW ENGLISH SCHOOL,Okhaldhunga,Private,2062,
RUMJATAR   REMITS,Okhaldhunga,Private,2063,
NAYAGHAR BANBATIKA,Okhaldhunga,Private,2063,
RADIO OKHALDHUNGA,Okhaldhunga,Private,2063,
JYAMIRE GREEN VILLAGE ENGLISH SCHOOL,Okhaldhunga,Private,2063,
BARUN EDUCATIONAL ACADEMIC,Okhaldhunga,Private,2063,
RUMJATAR POLYCLINIC & DIAGNOSIS CENTER,Okhaldhunga,Private,2064,
BETINI SARASWATI ENGLISH BOARDING SCHOOL,Okhaldhunga,Private,2064,
SALLERI GREEN VALLEY ENGLISH SCHOOL,Okhaldhunga,Private,2064,
Everest English School Okhaldhunga,Okhaldhunga,Private,2064,
Utopia English School,Okhaldhunga,Private,2064,
Demba Hill English School,Okhaldhunga,Private,2064,
Sunkoshi Golden Future English Boarding School,Okhaldhunga,Private,2064,
Shubalaxmi Investment,Okhaldhunga,Private,2065,
Siddicharan Forest Product Processing,Okhaldhunga,Private,2065,
S.M. Construction and Multi Suppliers,Okhaldhunga,Private,2065,
Shubhalaxmi English Boarding School,Okhaldhunga,Private,2065,
