ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
GADISIDDA DEVI ITTA TILE NIRMAN CO,Panchthar,Private,2042,
Prajuli Printing Press,Panchthar,Private,2042,
Pathibhara Tea State,Panchthar,Private,2045,
Pachthar Printing Press,Panchthar,Private,2046,
Kanchanjangha Tea-Estate,Panchthar,Private,2047,
PATHIBHARA YATAYAT,Panchthar,Private,2048,
Ravi  Sengchelenma Chiya  Bagan,Panchthar,Public,2050,
TRIBENI TEA ESTATE PVT. LTD.,Panchthar,Private,2051,
FUNG SENG CHEYA BAGAN,Panchthar,Public,2051,
LALI GURASH NIRMAN SEWA,Panchthar,Private,2051,
YAKTHUMHANG NIRMAN SEWA,Panchthar,Private,2051,
JANATA TEA GARDEN,Panchthar,Private,2051,
Deurali Chiya Bagan,Panchthar,Private,2052,
TINCHULE CHIYA BAGAN,Panchthar,Private,2052,
FUKTALUNG CHIYA BAGAN,Panchthar,Private,2052,
BHAGABATI TEA STATE,Panchthar,Private,2052,
KESHARI CHIYA BAGAN PVT.LTD.,Panchthar,Private,2053,
PEACE CHILDREN ENGLISH BOARDING SCHOOL,Panchthar,Private,2053,
JORSAL NIRMAN SEWA,Panchthar,Private,2053,
PANCHATHAR ENGLISH BOARDING SCHOOL,Panchthar,Private,2053,
VIDYA BARDAN BOARDING SCHOOL,Panchthar,Private,2054,
KHIN RAJ ENGLISH BOARDING SCHOOL PVT.LTD.,Panchthar,Private,2054,
SUMNIMA ENGLISH BOARDING SCHOOL PVT.LTD.,Panchthar,Private,2054,
AMARPUR ENGLISH BOARDING SCHOOL,Panchthar,Private,2054,
TUMBEWA CHIYA BAGAN,Panchthar,Private,2055,
GAJUR MUKHI SPACE NETWORK,Panchthar,Private,2056,
PACHTHAR GOBAR GAS COMPANY,Panchthar,Private,2056,
RAJEN NIRMAN SEWA,Panchthar,Private,2056,
SHREE SAI CABLE NETWORK,Panchthar,Private,2056,
NEW ANIL  TRADERS,Panchthar,Private,2057,
CHAMJOLUNGMA TEA STATE,Panchthar,Private,2057,
SUSMITA & ASMITA CONSTRUCTION COMPANY,Panchthar,Private,2057,
SENGCHELENGMA CHIYA BAGAN,Panchthar,Private,2057,
USHA TEA ESTATE,Panchthar,Private,2058,
SUSHIL TRADE SUPPLIERS,Panchthar,Private,2058,
SILAUTI JADIBUTI KENDRA,Panchthar,Private,2058,
SHREE SHANTI BAL BIKAS ENGLISH SCHOOL,Panchthar,Private,2059,
SIRIJANGA BAHUUDESHYIYA KRISHI UDHYOG,Panchthar,Private,2059,
SHREE MECHI ENGLISH SCHOOL PANCHTHAR,Panchthar,Private,2059,
MOUNT KANCHAN VALLEY ENGLISH SECONDARY *,Panchthar,Private,2059,
JANAJYOTI AAWASIYA MA. VI. PANCHATHAR,Panchthar,Private,2059,
SHREE KANCHANJUNGHA  ACADEMY UCHCHHA MA.VI.(PACHTHAR),Panchthar,Private,2060,
PATHIBHARA ENGLISH BOARDING SCHOOL PANCHTHAR,Panchthar,Private,2060,
SHREE BAL KIRAN BOARDING ENGLISH SCHOOL,Panchthar,Private,2060,
BALADHUM JADIBUTI SANRAKSCHAN TATHA UTPADAN COMPANY,Panchthar,Private,2060,
SHREE NILKANTHA  VOCATIONAL ENGLISH BOARDING SCHOOL,Panchthar,Private,2061,
MANGSEWA ENGLISH BOARDING SCHOOL,Panchthar,Private,2061,
EVEREST ENGLISH BOARDING SCHOOL,Panchthar,Private,2061,
Naya Namuna  Madhyamik Vidhayala,Panchthar,Private,2061,
SURYADAYA AABASIYA PRATHAMIK BIDHYALAYA PANCHTHAR,Panchthar,Private,2061,
SHINING STAR ENGLISH SCHOOL PANCHTHAR,Panchthar,Private,2061,
PATHIVARA BOARDING ENGLISH SCHOOL,Panchthar,Private,2061,
MOTHERLAND ENGLISH BOARDING SCHOOL,Panchthar,Private,2061,
GREEN RENEWABLE ENERGY,Panchthar,Private,2061,
HIMSIKHAR COLOUR LAB,Panchthar,Private,2061,
MULTIPURPOSE LIDIYA VOCATIONAL TRAINING CENTRE,Panchthar,Private,2061,
MOUNT EVEREST BOARDING ENGLISH SCHOOL PACHTHER,Panchthar,Private,2062,
PANCHTHAR ENTERPRISES SERVICE,Panchthar,Private,2062,
DULAL PRATHAMIK SWASTHA UPACHAR KENDRA,Panchthar,Private,2062,
RABI URJA BIKASH COMPANY,Panchthar,Private,2062,
ANIL MONEY TRANSFER,Panchthar,Private,2062,
PANCHTHAR EXPRESS,Panchthar,Private,2063,
AANGDAMBE INVESTMENT & MONEY TRANSFER,Panchthar,Private,2063,
SHUKRA TARA ENGLISH BOARDING SCHOOL,Panchthar,Private,2063,
Devi Pathibhara Money Express,Panchthar,Private,2063,
YOUTH INITIATIVE ENGLISH SCHOOL EKTIN,Panchthar,Private,2063,
HOLY CHILD ENGLISH SCHOOL,Panchthar,Private,2064,
AMARPUR SAMUDAYIK BIDHUTIKARAN .,Panchthar,Private,2064,
PHIDIM SANA JALABIDHYUT  KENDRA,Panchthar,Private,2064,
FALGUNANDA PARAMARSHA SEWA,Panchthar,Private,2064,
Marain English Boarding School,Panchthar,Private,2064,
Third Region Coffee Garden,Panchthar,Private,2064,
Rock Belt  Academy,Panchthar,Private,2064,
Samething Itta Udhyog Company,Panchthar,Private,2064,
Phidim Hydro & Energy,Panchthar,Private,2064,
Purbaanchal Renewable Energy Technology Promtion Center Company,Panchthar,Private,2065,
Pidhim Panchakanya Nirman Sewa & Suppliers,Panchthar,Private,2065,
Sirijanga English Boarding School,Panchthar,Private,2065,
Timbupokhari Biogas Tatha Urja Bikas Company,Panchthar,Private,2065,
Chandrama Consultancy,Panchthar,Private,2065,
Tharpu Sunshine English Boarding School,Panchthar,Private,2065,
Sartap Marigold English Boarding School,Panchthar,Private,2065,
Nibukhola Hydropower,Panchthar,Private,2065,
Phalelung English Boarding School,Panchthar,Private,2065,
Kanchan Shiksha Niketan,Panchthar,Private,2065,
Chature Little Star English Boarding School,Panchthar,Private,2065,
Panchthar Vidhya Mandir English Boarding School,Panchthar,Private,2065,
United Academy English Boarding School Walane,Panchthar,Private,2065,
Mangjabung English Boarding School,Panchthar,Private,2065,
Bharapa Samudayek Vidhyutikaran Company,Panchthar,Private,2065,
Shringalila Nirmana Sewa,Panchthar,Private,2065,
Jhalak Lord Sai English Boarding School,Panchthar,Private,2065,
Panchthar Model Academy,Panchthar,Private,2065,
Kanchanjungha Plywood Udhyog,Panchthar,Private,2065,
Aarubote Educational English Boarding School Company,Panchthar,Private,2065,
Panchthar Prakashan Company,Panchthar,Private,2066,
Mauwa Model Foundation School,Panchthar,Private,2066,
Phidim Manish Itta Udhyog Company,Panchthar,Private,2066,
Phaktanglung English Boarding School,Panchthar,Private,2066,
Glitz English Boarding School,Panchthar,Private,2066,
Deurali English Boarding School Panchthar,Panchthar,Private,2066,
Phidim Atithi Griha,Panchthar,Private,2066,
Knowledge Boarding English School Panchthar,Panchthar,Private,2066,
Singhalila Media Nepal,Panchthar,Private,2066,
Lalikharka English Boarding School,Panchthar,Private,2066,
Thakthaku Chemjong Construction,Panchthar,Private,2066,
