ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SHIVA SHAKTI SLATE DHUNGA UDHYOG PVT.LTD,Parbat,Private,2049,
TULSI CHALCHITRA MANDIR,Parbat,Private,2051,
TRISHAKTI OIL MILLS,Parbat,Private,2054,
LABAKUSH BUILDERS & CONTRACTOR PVT.LTD.,Parbat,Private,2054,
Parbat Raj Chiya Co.,Parbat,Public,2054,
KALIGANDAKI CABLE NETWORK,Parbat,Private,2054,
PHALEBAS CABLE NETWORK,Parbat,Private,2056,
SHIVALAYA CABLE NETWORK,Parbat,Private,2057,
DHAULAGIRI KASTHA UDHYOG,Parbat,Private,2058,
HOTEL BANDANA,Parbat,Private,2058,
JANA KALYAN SAW MILL TATHA FURNITURE UDHYOG,Parbat,Private,2058,
AAKRITI RESORT,Parbat,Private,2058,
SAMUHIK CABLE NETWORK,Parbat,Private,2059,
SHREE DURGA SA-MILL TATHA FURNITURE UDHYOG,Parbat,Private,2059,
SHREE AMRIT ADARSHA  PARBAT,Parbat,Private,2059,
KALI GANDAKI ACADEMY PARBAT,Parbat,Private,2059,
ADARSHA ANGREJI AWASIYA MADHYAMIK VIDHYALAYA PARBAT,Parbat,Private,2059,
RASTRIYA BAL SHIKSHA SADAN,Parbat,Private,2059,
NEW LIFE ENGLISH BOARDING SCHOOL PARBAT,Parbat,Private,2059,
SHAHID SMARAK BOARDING SCHOOL PARVAT,Parbat,Private,2059,
SHREE T.R.BOARDING SCHOOL,Parbat,Private,2061,
NAMUNA AWASIYA MADHYAMIK VIDHYALAYA PARBAT,Parbat,Private,2061,
GLOBAL CHILDREN'S ACADEMY PARBAT,Parbat,Private,2061,
FULMAYA CABLE NETWORK,Parbat,Private,2061,
PARBAT CABLE NETWORK,Parbat,Private,2062,
KAMADHENU CABLE NETWORK,Parbat,Private,2062,
SAMUDAYIK CABLE NETWORK,Parbat,Private,2062,
DEURALI CABLE NETWORK,Parbat,Private,2062,
BENI HORIZON ACADEMY,Parbat,Private,2062,
MOUNTAINOUS ORGANIC PRODUCT PROCESSING AND TRAINING CENTER,Parbat,Private,2062,
PARBAT MOONLIGHT ACADEMY,Parbat,Private,2063,
NEW ERA ACADEMY HUWAS,Parbat,Private,2063,
KIRANT DISTILLERY,Parbat,Private,2063,
PARBAT HYDROPOWER COMPANY,Parbat,Private,2064,
PANCHASE HYDROPOWER COMPANY,Parbat,Private,2064,
PARBAT MAAJHPHANT DHAULAGIRI CABLE,Parbat,Private,2064,
PASHCHIMANCHAL SECURITY SERVICE,Parbat,Private,2064,
RUPSE MEAT SUPPLIERS,Parbat,Private,2064,
Malla Cable Network,Parbat,Private,2064,
B. P. Cable Network,Parbat,Private,2064,
Parbat Bal Kalyan English Boarding School,Parbat,Private,2064,
Prabat Gurukul Academy,Parbat,Private,2064,
Eyeball Academy,Parbat,Private,2064,
Deupur Namuna English Boarding School,Parbat,Private,2064,
De La Gurukul Academia & Research Center,Parbat,Private,2064,
Paiyun English Boarding School,Parbat,Private,2064,
Mallaj Model Academy,Parbat,Private,2064,
Shiva Shakti Dhaulagiri General Suppliers,Parbat,Private,2064,
Saraswati Academy Lekhphant Prabat,Parbat,Private,2064,
National Idol Boarding School Parbat,Parbat,Private,2064,
Phalewas Model Angreji Aawashiya Vidhyalaya,Parbat,Private,2064,
Lunkhu Deurali English Boarding School,Parbat,Private,2064,
Paiyun Moonlight Academy,Parbat,Private,2064,
S.B.L. Developers,Parbat,Private,2065,
Painyu Khola Sub Money Transfer & Bibidh Sewa,Parbat,Private,2065,
Shankar Pokhari English Boarding School,Parbat,Private,2065,
Shabda Chintan English Boarding School Huwas Parbat,Parbat,Private,2065,
Hampal Samudayik Ban Paidawar Prasodhan,Parbat,Private,2065,
Manakamana Academy,Parbat,Private,2065,
Karwakeli English Boarding School,Parbat,Private,2065,
Prabat Mines,Parbat,Private,2065,
Pathfinder Boarding School,Parbat,Private,2065,
Lasti Sunlight Academy,Parbat,Private,2065,
Tribeni Dhaulagiri English Boarding School,Parbat,Private,2065,
Kunwar Heaven Public School,Parbat,Private,2065,
Baglung Kalika Crusher Udhyog,Parbat,Private,2066,
Immortal Sacred Memorial English Boarding School,Parbat,Private,2066,
Jana Adshra Angreji Aabasiya Bidhyalya Parbat,Parbat,Private,2066,
Parbat English Boarding School Parbat,Parbat,Private,2066,
Bihadi English Boarding School,Parbat,Private,2066,
Gauradevi Cable Network,Parbat,Private,2066,
Sayapatri Baludhyan English Boarding School,Parbat,Private,2066,
Manakamana Darshan Crusher Udhyog,Parbat,Private,2066,
Bright Future English Boarding School Parbat,Parbat,Private,2066,
Little Flowers English School Parbat,Parbat,Private,2066,
Unique Academy Phalewas,Parbat,Private,2066,
Parbat Greenpeace English Boarding School,Parbat,Private,2066,
Shree Chandra Academy,Parbat,Private,2066,
Satagun Aawasiya Vidyalaya Khanigaun Parbat,Parbat,Private,2066,
Dhaulagiri Hatchery Udhyog,Parbat,Private,2067,
Muktinath Food & Beverage,Parbat,Private,2067,
Bihadi Ranipani Cable,Parbat,Private,2067,
Karki Neta Cable Network,Parbat,Private,2067,
Om Shree Dakshinamkali Crusher Udhyog,Parbat,Private,2067,
Inclusive English Boarding School,Parbat,Private,2067,
Paradise Academy Parbat,Parbat,Private,2067,
Future Star Englsih Boarding School Bhorle,Parbat,Private,2067,
Gupteshwar Construction,Parbat,Private,2067,
Panchase Siddhababa English Boarding School Tilahar,Parbat,Private,2067,
Bunjy Kusma,Parbat,Private,2067,
Bhu.Pu.N.I.B. English School,Parbat,Private,2067,
Everest Academy Parbat,Parbat,Private,2068,
Parbat Sony Tours and Travels,Parbat,Private,2068,
Prabhu Oil Store Company,Parbat,Private,2068,
Gyanodaya English Boarding School Parbat,Parbat,Private,2068,
Dhaulagiri Seller Mill,Parbat,Private,2068,
Sungabha Boarding School Parbat,Parbat,Private,2068,
Uma Durga Construction,Parbat,Private,2068,
Nava Shaheed Smarak English Boarding School,Parbat,Private,2068,
Shree Bhu.Pu. Sainik English Boarding School Parbat,Parbat,Private,2068,
Suryodaya Construction Company,Parbat,Private,2068,
Srijana English Boarding School Parbat,Parbat,Private,2068,
Dhaulagiri Organic Farm,Parbat,Private,2068,
Kusma Balewa Yantrik Pul,Parbat,Public,2068,
Mukti Kaligandaki Investment,Parbat,Private,2069,
Modi Beni Cable Network,Parbat,Private,2069,
Painyukali Cable Network,Parbat,Private,2069,
Shreekalikadevi Krishi Tatha Pashupalan,Parbat,Private,2069,
Paiyun Gorlyang Bahu-Uddeshiya Krishi Farm,Parbat,Private,2070,
Renewable Energy and Technology Service Center,Parbat,Private,2070,
Jaya Mata Di Construction,Parbat,Private,2070,
Sreejanatmak Shikchan Sahayog Kendra,Parbat,Private,2070,
Kaligandaki Media Pvt. Ltd,Parbat,Private,2070,
Sahara Safal Marketing Group Nepal,Parbat,Private,2070,
Gunastariya Shikshan Sikai Kendra,Parbat,Private,2070,
Dhaulagari Natural Foods And Herbs,Parbat,Private,2070,
Sisne Sunrise Boarding School Rukum,Parbat,Private,2070,
Bheri Rapti Urja,Parbat,Private,2070,
Bright Future Boarding School Rukum,Parbat,Private,2070,
Shree Sisne Saikumari English Medium Boarding School Rukum,Parbat,Private,2070,
Sahara City Hospital,Parbat,Private,2070,
Everest Salle English Academy Rukum,Parbat,Private,2070,
Khalanga Model Hospital,Parbat,Private,2070,
Incredible Paragliding Pvt.Ltd.,Parbat,Private,2070,
Village Link Educational Institute,Parbat,Private,2071,
Panchase Parbat Tourism,Parbat,Private,2071,
S.K. Engineering Consultancy,Parbat,Private,2071,
Morning Agro Farm,Parbat,Private,2071,
Nayak Nirman And Suppliers Sewa Parbat,Parbat,Private,2071,
Kalika Itta Udhyog,Parbat,Private,2071,
Hotel Benju,Parbat,Private,2071,
Farse Sunlight English Boarding School Parbat,Parbat,Private,2071,
Jana Sewi Laghubitta Bittiya Sanstha,Parbat,Public,2071,
M.K.M.T. Devi Karki Construction,Parbat,Private,2072,
Parbatmala Construction,Parbat,Private,2072,
Village Link Enterprises,Parbat,Private,2072,
Dhaulagiri Taxi Tatha Jeep Yatayat Byabasai,Parbat,Private,2072,
Three G. Stones And Minerals,Parbat,Private,2072,
Parbat Media House,Parbat,Private,2072,
Sonsa Agro Farm,Parbat,Private,2072,
Mahalaxmi Ita Udyog,Parbat,Private,2072,
Bishwadip English Boarding School Parbat,Parbat,Private,2072,
Panchase College of Health and Technical Sciences,Parbat,Private,2072,
Dhaulagiri Creator Breeding & Fish House Research Center,Parbat,Private,2072,
Moonlight Net,Parbat,Private,2072,
