ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Hardia Krishi Firm,Parsa,Private,2021,
NARAYANI CHEMICAL INDUSTRIES,Parsa,Private,2023,
Krishi  Aujar  Karkhana,Parsa,Private,2024,
BANDHAV SEWA,Parsa,Private,2026,
STEEL UDYOG NEPAL,Parsa,Private,2026,
KATHMANDU BUILDERS LIMITED,Parsa,Private,2028,
HOTEL DIYALO,Parsa,Private,2029,
CHANDRA KIRAN TRANSPORT COMPANY,Parsa,Private,2030,
Samjhana Hotel,Parsa,Private,2031,
THE EVEREST DISTILLERY,Parsa,Private,2032,
NARAYAN RICE MILL,Parsa,Private,2033,
Ashok Trading Company,Parsa,Private,2033,
kalnyani Udhyog,Parsa,Private,2033,
BIDHAYA WOOD TRITE,Parsa,Private,2033,
Madhyamanchal Concrete,Parsa,Private,2034,
HOTEL KAILASH,Parsa,Private,2035,
Shankar Works,Parsa,Private,2035,
CHITWAN FEED INDUSTRIES,Parsa,Private,2035,
Star Polish Industries,Parsa,Private,2035,
HIMALAYAN AND PARBAT CONSTRUCTION,Parsa,Private,2035,
Sankar Distilery,Parsa,Private,2035,
Napal Mettle Industries,Parsa,Private,2036,
Sundar Furniture Industries,Parsa,Private,2036,
Jeneral Ingineering,Parsa,Private,2037,
HOTEL SURAJ,Parsa,Private,2037,
NEPAL YETI CONSTRUCTION,Parsa,Private,2037,
Sabina Industries,Parsa,Private,2037,
Samjhana Hotel,Parsa,Private,2038,
HIMAJAL,Parsa,Private,2038,
Narayani Chemical And Perumery Works,Parsa,Private,2038,
LAXMI SELLER MILL,Parsa,Private,2038,
Nepal Road Cariars,Parsa,Private,2038,
Himal Transport,Parsa,Private,2038,
ASHOK STEEL INDUSTRIES,Parsa,Private,2039,
LUMBINI TRAVEL AND TOURS,Parsa,Private,2039,
FULJOR NIRMAN COMPANY,Parsa,Private,2039,
DOLPHIN FOOT WEAR INDUSTRIES,Parsa,Private,2039,
AMARAWATI MADHASHALA,Parsa,Private,2040,
Pravin Foot wear I.,Parsa,Private,2040,
Churiya Transport ( Nepal ),Parsa,Private,2040,
Samina Carriers,Parsa,Private,2040,
CONTINENTAL CONSULTANT,Parsa,Private,2040,
Universal Carriyars,Parsa,Private,2040,
Himal Trading Enterprises,Parsa,Private,2040,
PARAM BHAKTA CONSTRUCTION,Parsa,Private,2040,
Janaki Yatayat Sewa,Parsa,Private,2040,
INDU SHANKAR CHINI UDHYOG,Parsa,Public,2041,
Swastik Oil Industries,Parsa,Private,2041,
COSMOS PHERMA,Parsa,Private,2041,
RAINBOW PHARMA CHEM,Parsa,Private,2041,
HOME APPLIENSES PRODUCTS,Parsa,Private,2041,
CHITAWAN COLD STORES,Parsa,Private,2041,
Shankar Kila  Udhyog,Parsa,Private,2041,
NEPAL PHARMACEUTICALS LAB,Parsa,Private,2042,
Shera Transport Company,Parsa,Private,2042,
NEPAL CHEMICAL PRODUCTS,Parsa,Private,2042,
NEPA GARMENT INDUSTRIES,Parsa,Private,2042,
Bhaju Ratna Services,Parsa,Private,2042,
Pamila Apparels,Parsa,Private,2042,
