ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
JHIMRUK AUDHYOGIK BIKAS KENDRA,Pyuthan,Private,2054,
GOMUKHI COLOUR LAB PVT. LTD.,Pyuthan,Private,2057,
BLEJAN SPACE CABLE NETWORK,Pyuthan,Private,2058,
KALIKA AWASIYA MADHYAMIK VIDHYALAYA,Pyuthan,Private,2059,
NEW ERA CABLE NETWORK,Pyuthan,Private,2061,
New Era Cable Network .,Pyuthan,Private,2061,
SWARGADWARI PRAKASHAN,Pyuthan,Private,2061,
BIKIRAN MONEY TRANSFER,Pyuthan,Private,2062,
FORTYNINE MULTI TECHNICAL INSTITUTE,Pyuthan,Private,2063,
GAUMUKHI CONSTRUCTION,Pyuthan,Private,2063,
P.K. INTERNATIONAL,Pyuthan,Private,2063,
GAUMUKHI ENGLISH BOARDING SCHOOL PYUTHAN,Pyuthan,Private,2063,
Sworgadwari  Public Boarding School,Pyuthan,Private,2063,
MALLA RANI ENGLISH BOARDING SCHOOL PYUTHAN,Pyuthan,Private,2063,
DEEPJYOTI VIDHYA SADAN,Pyuthan,Private,2064,
JHUMRUK BIKASIT GHAR- GHADERI COMPANY,Pyuthan,Private,2064,
LOK CHETANA ACADEMY,Pyuthan,Private,2064,
DARPAN VIDHYA SADAN,Pyuthan,Private,2064,
Tushara Grade Future Star English Boarding School,Pyuthan,Private,2064,
Modern Aruna English Boarding School,Pyuthan,Private,2064,
Jhimruk English Boarding School,Pyuthan,Private,2064,
Pauthan Sunrise Acedemy,Pyuthan,Private,2064,
Dakha Kwadi Public English Boarding School,Pyuthan,Private,2064,
Remote English School,Pyuthan,Private,2064,
Shining Way Bahane Vidhyasadan,Pyuthan,Private,2064,
Airawati English School,Pyuthan,Private,2064,
Okharkot National English Boarding School,Pyuthan,Private,2064,
Narikot Aawashiya English Boarding School,Pyuthan,Private,2064,
Mandavi English Boarding School,Pyuthan,Private,2064,
Pyuthan Bright Future English Boarding School,Pyuthan,Private,2064,
Pyuthan Valley Academy,Pyuthan,Private,2064,
Rising Future Academy,Pyuthan,Private,2064,
Jhimruk Sunrise English School,Pyuthan,Private,2065,
Pyuthan Publication,Pyuthan,Private,2065,
SwargaDwari Academy,Pyuthan,Private,2065,
Red Rose Aadarsha English School,Pyuthan,Private,2065,
Bangesal Gaumukhi Memorial English School,Pyuthan,Private,2065,
Chaurpani English Boarding School,Pyuthan,Private,2065,
Abacus Academy,Pyuthan,Private,2065,
Shanti Jyoti Vision Media and Cable Network,Pyuthan,Private,2065,
Jhimruk Bikash Bank,Pyuthan,Public,2066,
Gaumukhee Bikas Bank,Pyuthan,Public,2066,
Kothibhir Nepali Haate Kagaj Udhyog,Pyuthan,Private,2066,
Pancha Ratna Power Company,Pyuthan,Private,2066,
Puthan Namuna Academy,Pyuthan,Private,2066,
Ten Star Boarding School,Pyuthan,Private,2066,
Jumri Star English Boarding School,Pyuthan,Private,2066,
Sunrise English Boarding School Pyuthan,Pyuthan,Private,2066,
Vision Englsih Boarding School Pyuthan,Pyuthan,Private,2066,
Ikhna English Medium Boarding School,Pyuthan,Private,2066,
Rainbow Academy Pyuthan,Pyuthan,Private,2066,
Barjibang Nice Academy Pyuthan,Pyuthan,Private,2066,
K.M.C.S.I.L.D. Multipurpose,Pyuthan,Private,2066,
K.M.C.S.I.L.D. Copy Udhyog,Pyuthan,Private,2066,
Bhavish International,Pyuthan,Private,2066,
Danfe English Aawasiya Vidhyalaya Pyuthan,Pyuthan,Private,2066,
Pyuthan Ban Paidawar Tatha Kastha Shamrakshan Nepal,Pyuthan,Non-Profit Distributing,2066,
Civic Technology Service,Pyuthan,Private,2066,
Udhyam Bikas Srot Kendra,Pyuthan,Private,2067,
Red Rose English Boarding School Pyuthan,Pyuthan,Private,2067,
Shirjanshil Tara English Boarding School,Pyuthan,Private,2067,
Shree Rose Dynamic English Boarding School,Pyuthan,Private,2067,
Dynamic Academy Pyuthan,Pyuthan,Private,2067,
Rapti Feed & Hatchery Industry,Pyuthan,Private,2067,
Pyuthan Lali Gurans English Boarding School,Pyuthan,Private,2067,
Swargadwari Life Care Hospital,Pyuthan,Private,2068,
Kohinoor Real Estate & Housing,Pyuthan,Private,2068,
Apex International Academy Pyuthan,Pyuthan,Private,2068,
Tushara Public English Boarding School,Pyuthan,Private,2068,
Modern English Boarding School Pyuthan,Pyuthan,Private,2068,
Jhimruk Educational Academy,Pyuthan,Private,2068,
Golden Future English Boarding School Pyuthan,Pyuthan,Private,2068,
Film-Shala,Pyuthan,Private,2068,
Page Academy,Pyuthan,Private,2069,
mandavi cable net,Pyuthan,Private,2069,
Swargadwari Engineering College,Pyuthan,Private,2069,
Rapti Aawasiya Vidhyalaya Pyuthan,Pyuthan,Private,2069,
Pyuthan Hospital,Pyuthan,Private,2069,
Sap Hospital,Pyuthan,Private,2069,
Pyuthan Adventure,Pyuthan,Private,2069,
Baraha  English Boarding School,Pyuthan,Private,2069,
Evergreen English Boarding School Bijuwar Pyuthan,Pyuthan,Private,2069,
