ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
RAM TEA TEND AGRICULTURE,Ramechhap,Private,2007,
KRISHI UDYOG BIKAS COMPANI,Ramechhap,Private,2009,
JANAKI RICE AND OIL MILLS,Ramechhap,Private,2017,
SURTI BIKASH COMPANY,Ramechhap,Private,2028,
SHURTI BIKASH COMPANY,Ramechhap,Private,2030,
JANAKPUR ITTA UDHYOG LTD.,Ramechhap,Private,2043,
RELIANCE FOOTWEAR,Ramechhap,Private,2044,
GITA COLD STORAGE,Ramechhap,Private,2049,
SHAILUNGESWAR KAGAJ UDYOG P.LTD,Ramechhap,Private,2050,
BUDHATHOKI GOBAR GAS COMPANY PVT.LTD.,Ramechhap,Private,2053,
EVEREST YAK CHEESE PVT.LTD.,Ramechhap,Private,2053,
MANTHALI CABLE SERVICE,Ramechhap,Private,2058,
ESTEEM MULTIPURPOSE GROUP,Ramechhap,Private,2058,
TAMAKOSHI ENGLISH BOARDING SCHOOL,Ramechhap,Private,2059,
KHIMATI JALPA DISC ANTENNA PRAKASH CABLE,Ramechhap,Private,2059,
LITTLE STAR ENGLISH SCHOOL RAMECHHAP,Ramechhap,Private,2060,
HIMALAYAN NURBULING BHANDAR CHIYA BAGAN,Ramechhap,Private,2060,
KARKALA DEVI ENGLISH BOARDING SCHOOL RAME *,Ramechhap,Private,2060,
INDRAWATI CABLE NETWORK,Ramechhap,Private,2061,
Thosey Model Academy,Ramechhap,Private,2061,
SRIJANSHIL BAIKALPIK URJA,Ramechhap,Private,2061,
TAMAKOSHI FOREST PRODUCTS PROCESSING,Ramechhap,Private,2061,
LIKHU KHIMTI FOREST PRODUCTS PROCESSING,Ramechhap,Private,2062,
KHIMTI SUPPLIERS TATHA DHUWANI SEWA,Ramechhap,Private,2062,
KALINCHOWK NIRMAN SEWA,Ramechhap,Private,2062,
RAMECHHAP AGRO FORESTRY PRODUCTS,Ramechhap,Private,2062,
RAMECHHAP FOOD PRODUCTS,Ramechhap,Private,2062,
BOON ACADEMY,Ramechhap,Private,2062,
PLEASANT ACADEMY,Ramechhap,Private,2062,
SAPTA RANGI CABLE NETWORK,Ramechhap,Private,2063,
RAMECHHAP I.T. COLLEGE,Ramechhap,Private,2063,
ALPINE BIO PRODUCTION,Ramechhap,Private,2063,
A.C. KAMDAR SUPPLY,Ramechhap,Private,2063,
GAURI SHANKAR COMMUNICATION & MONEY TRANSFER,Ramechhap,Private,2063,
MANJUSHRI ACADEMY PVT. LTD.,Ramechhap,Private,2063,
THOSE PHALAM KHANI UDHYOG,Ramechhap,Private,2063,
Evrest Jadibutee Tel  Udyog,Ramechhap,Private,2063,
SHRIJANSHIL BIDHYAMANDIR ANGREGY BOARDING SCHOOL,Ramechhap,Private,2064,
PAKARWAS SAGARMATHA ENGLISH BOARDING SCHOOL,Ramechhap,Private,2064,
TAMAKOSHI MANPOWER CONSULTANCY,Ramechhap,Private,2064,
PABITRA CABLE NETWORK,Ramechhap,Private,2064,
JANAPUSHPA PRAKASHAN,Ramechhap,Private,2064,
KHANDADEVI ENGLISH BOARDING SCHOOL,Ramechhap,Private,2064,
BETALI BRIGHT FUTURE ENGLISH SCHOOL,Ramechhap,Private,2064,
GREEN HILL ENTERPRISES,Ramechhap,Private,2064,
KHIMTI SUNRISE PUBLIC SCHOOL,Ramechhap,Private,2064,
GANESH SHRIJANSHIL BOARDING SCHOOL,Ramechhap,Private,2064,
Narbadeshwar English Boarding School Mugitar,Ramechhap,Private,2064,
Tanbe Tea,Ramechhap,Private,2064,
Gyan Bhumi English School,Ramechhap,Private,2064,
Namadi Sunshine Aawashiya Viddhalaya,Ramechhap,Private,2064,
Bhumisthan English Boarding School,Ramechhap,Private,2064,
Sanghutar Rising Star English Boarding,Ramechhap,Private,2064,
Ramechhap Byabasayik Sewa,Ramechhap,Private,2065,
New Satakri Khimti Construction,Ramechhap,Private,2065,
Gangalal Academy,Ramechhap,Private,2065,
Peace Angel's Research Garden School,Ramechhap,Private,2065,
Siddhi Ganesh Kastha Udhyog,Ramechhap,Private,2065,
Kumlung Sapsu Hydropower,Ramechhap,Private,2065,
Sapsu Seti Hydropower,Ramechhap,Private,2065,
Evergreen Sunapati Media,Ramechhap,Private,2065,
Xavier National Public School,Ramechhap,Private,2065,
Tamakoshi Community Resin and Turpentine,Ramechhap,Private,2065,
Shreekrishna Roda Dhunga Udhyog,Ramechhap,Private,2065,
Likhu Polyclinic & Diagnosis Center,Ramechhap,Private,2066,
Deep Jyoti English School Ramechhap,Ramechhap,Private,2066,
Kathajor Nilkantheshwor Construction,Ramechhap,Private,2066,
Manthali Dental Hospital and Research Center,Ramechhap,Private,2066,
Shaan Wine Industries,Ramechhap,Private,2066,
Kriti-Chandra Agro and Energy,Ramechhap,Private,2066,
Tamakoshi Films,Ramechhap,Private,2066,
Jayashri Setidevi Construction & Suppliers,Ramechhap,Private,2066,
Pure Land Hospital and Research Center,Ramechhap,Private,2066,
Ramechhap Samudayik Hospital,Ramechhap,Private,2066,
Manthali Polyclinic and Diagnosis Center,Ramechhap,Private,2066,
Sahara Samudayik Hospital,Ramechhap,Private,2066,
Sankata Multipurpose Company,Ramechhap,Private,2066,
Jattapokhari Bahuuddeshyiya Kashtha Prashodhan Tatha Suppliers,Ramechhap,Private,2066,
Modern Universal Technical Training Institute,Ramechhap,Private,2066,
Jiri Kikrit Namuna Krishi Tatha Paramarsha Kendra,Ramechhap,Private,2066,
Dimipokhari English Boarding School,Ramechhap,Private,2066,
Kanchan Model Academy Ramechhap,Ramechhap,Private,2066,
Khadadevi Boarding School,Ramechhap,Private,2066,
Alpine Tea Industries,Ramechhap,Private,2066,
Shital Ganga English Boarding School,Ramechhap,Private,2066,
Bhandar Cable,Ramechhap,Private,2066,
Om Gyan Jyoti English School Ramechhap,Ramechhap,Private,2067,
Himganga Samudayik Aspatal & Research Center,Ramechhap,Private,2067,
Dahun Bethan Khadhya Suppliers,Ramechhap,Private,2067,
Jatta Pokhari Cable Network,Ramechhap,Private,2067,
Pike Hydropower,Ramechhap,Private,2067,
Bright Future English Boarding School Ramechhap,Ramechhap,Private,2067,
