ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
TAMANG CONSTRUCTION,Rasuwa,Private,2038,
Hotel Thakali,Rasuwa,Private,2046,
Hotel Sanrula,Rasuwa,Private,2046,
HOTEL SPA,Rasuwa,Private,2052,
HOTEL LAHSA VIEW,Rasuwa,Private,2053,
BHUMEDEVI NIRMAN SEWA PVT.LTD.,Rasuwa,Private,2054,
MAKALU BUILDERS,Rasuwa,Private,2056,
D.B. TECHNICAL CONSTRUCTION,Rasuwa,Private,2056,
LANGTANG JADIBUTI BIKAS COMPANY,Rasuwa,Private,2058,
Hotel Ranbow,Rasuwa,Private,2059,
NAMUNA EVERGREEN BOARDING SCHOOL PVT. LTD.,Rasuwa,Private,2059,
GANESH HIMAL DHUP FACTORY,Rasuwa,Private,2060,
Himalayan English School Thambuchet Rasuwa,Rasuwa,Private,2060,
HIGHLAND BOARDING SCHOOL RASUWA,Rasuwa,Private,2060,
HOTEL SKY,Rasuwa,Private,2061,
GOSAIKUNDA ENGLISH BOARDING SCHOOL,Rasuwa,Private,2061,
DHUNCHE CABLE NETWORK,Rasuwa,Private,2061,
GOSAIKUNDA CABLECAR,Rasuwa,Private,2062,
NORTH POLE BOARDING SCHOOL,Rasuwa,Private,2062,
RAWUSA SAMUDAYIK CABLE T.V.,Rasuwa,Private,2062,
PHALANKHU KHOLA HYDROPOWER,Rasuwa,Private,2063,
GREEN GARDEN BOARDING SCHOOL,Rasuwa,Private,2063,
RASUWA TRADING COMPANY,Rasuwa,Private,2064,
RASUWA GRAMIN ASPATAL,Rasuwa,Private,2064,
HIMALAYAS SPRING WATER,Rasuwa,Private,2064,
Modern Trinity English Boarding School,Rasuwa,Private,2064,
Shubharambha English School,Rasuwa,Private,2065,
Himalayan Outreach Clinic & Research Center,Rasuwa,Private,2065,
R.T.C. Technology Nepal,Rasuwa,Private,2065,
Rasuwa Energy Development,Rasuwa,Private,2065,
Rasuwa Dhunche Network,Rasuwa,Private,2065,
Tenjen Himalayan Sewa Clinic,Rasuwa,Private,2066,
Surya Chandra Construction Company,Rasuwa,Private,2066,
Syaubari Jadibuti Prasodhan Udhyog,Rasuwa,Private,2066,
Rasuwa Sub Money Transfer,Rasuwa,Private,2066,
Rudra Ganga Natural Water,Rasuwa,Private,2066,
Langtang Cable T.V. Network,Rasuwa,Private,2066,
Elders Supports Himalayan Nepal,Rasuwa,Private,2067,
Develops Himalayan Local Foundation,Rasuwa,Private,2067,
Gosainkunda Educational Consultancy,Rasuwa,Private,2067,
Gosainkunda Transport,Rasuwa,Private,2067,
Rasuwa Char Tare Hotel,Rasuwa,Private,2067,
Buddhist Meditation Gumba Center,Rasuwa,Private,2068,
Sherpa Students Schooling Foundation,Rasuwa,Private,2068,
Shree Bhimsen & Dawa Furniture Udhyog,Rasuwa,Private,2068,
Gosai Kunda Jalvidhyut Company,Rasuwa,Private,2068,
Ba. Bi. Solutions,Rasuwa,Private,2068,
Unique Distributor,Rasuwa,Private,2068,
Jonggan Jalvidhyut Company,Rasuwa,Private,2068,
Neupane Poultry Breeding and Suppliers,Rasuwa,Private,2069,
Gantabya Multi Purpose,Rasuwa,Private,2069,
Sattalle Sundaradevi Trading Company,Rasuwa,Private,2069,
Jenish & Jenisha Import Export,Rasuwa,Private,2069,
Yau Yi Import Export,Rasuwa,Private,2069,
Local School Project Nepal,Rasuwa,Private,2069,
Rasuwa Multipurpose,Rasuwa,Private,2069,
Remote Rasuwa  Educational Consultancy,Rasuwa,Private,2069,
Moktan Export Import,Rasuwa,Private,2069,
Satyaraj Export Import Company,Rasuwa,Private,2069,
Langtang Agro Farm,Rasuwa,Private,2069,
Dudhkunda Himalayas Hotel,Rasuwa,Private,2069,
Mallagadhi Crasar Uddog,Rasuwa,Private,2069,
Zambuling Herbal and Agro Organics,Rasuwa,Private,2069,
Asim Multipurpose,Rasuwa,Private,2069,
Mahayan and Traders,Rasuwa,Private,2069,
Betrawati Farm Village,Rasuwa,Private,2069,
Rasuwa Krishi Tatha ban Anushandhan,Rasuwa,Private,2069,
Snowland Organics,Rasuwa,Private,2069,
Himalayan Rainbow Trout Production,Rasuwa,Private,2069,
Local Village Project Nepal,Rasuwa,Private,2069,
Rasuwagadhi Agro Firm,Rasuwa,Private,2070,
