ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
PADMA SAW MILL,Rautahat,Private,2019,
PASHUPATI KASTHA KARYALAYA,Rautahat,Private,2026,
ANTELERS MOTORS,Rautahat,Private,2040,
Laxmi Lakhan Khandsari Mills,Rautahat,Private,2040,
Mital Automobiles,Rautahat,Private,2044,
Om Durga  Chalchitra  Mandir,Rautahat,Private,2046,
Pashupati Khadsari Chini Udhyog,Rautahat,Private,2046,
GARDEN SYNTHETIC MILL,Rautahat,Private,2048,
NATIONAL PACKAGING INDUSTRIES LTD.,Rautahat,Private,2048,
BARUN BANASPATI,Rautahat,Private,2049,
AGRRO- VET INDUSTRIES,Rautahat,Private,2049,
MATSTA DESH VEGETABLE OIL,Rautahat,Private,2049,
SHANKAR IRON AND STEEL,Rautahat,Private,2049,
OM SHIV SHANKAR RICE MILL,Rautahat,Private,2049,
ARNIKO BANASPATI TEL,Rautahat,Private,2049,
ASHA ROLLING MILLS PVT.LTD,Rautahat,Private,2049,
SHANKAR OIL REFINERY PVT.LTD,Rautahat,Private,2049,
NEPAL TEXTILE INDS PVT.LTD,Rautahat,Private,2049,
CHAWOSATI KHADYA UDHYOG,Rautahat,Private,2049,
JAYA NARAYANI RUBBER UDHYOG,Rautahat,Private,2049,
AGRO NEPAL LTD,Rautahat,Private,2050,
NAWA DURGA CONSTRUCTION PVT.LTD,Rautahat,Private,2050,
SHOBHA NEPAL CONSTRUCTION COMPANY PVT LTD,Rautahat,Private,2050,
JAGADAMBA STEELS PVT.LTD,Rautahat,Private,2050,
MARUTI TRACK STYLE MILLS PVT.LTD,Rautahat,Private,2050,
NEPAL FOOD AND VEGETABLE PRODUCT,Rautahat,Private,2050,
NEPAL PETROLIUM PVT.LTD,Rautahat,Private,2050,
QSS COLOUR LAB,Rautahat,Private,2050,
Shanta Chalchitra Bhawan,Rautahat,Private,2052,
SHANTA CHALCHITRA BHAWAN,Rautahat,Private,2052,
CYANNON CONSTRUCTION,Rautahat,Private,2052,
MARUTI TRADING,Rautahat,Private,2052,
RINKAL TRADE WAY,Rautahat,Private,2052,
NARAYANI REAL ESTATE DEVELOPING MULTIPLE CO.P,Rautahat,Private,2055,
PASHUPATI HYUME PIPE & CONCRETE PRODUCT,Rautahat,Private,2055,
SHREE JAGADAMBA  AAURVED SHICHHEN ASPATAL,Rautahat,Private,2056,
SAMUDAYIK PRABIDHIK PRASHIKCHHEN KENDRA,Rautahat,Private,2056,
BAHU-UDDHESIYA P.N. ELECTRICAL TECHNICAL INSTITUTE,Rautahat,Private,2056,
S.R.I. TECHNICAL TRAINING CENTRE,Rautahat,Private,2056,
RAJESH MEDICINES,Rautahat,Private,2056,
SHEKHAR PARAMEDICAL INSTITUTE,Rautahat,Private,2057,
PRIYA CABLE NETWORK,Rautahat,Private,2057,
KANKALI MAI KRISHI FARM,Rautahat,Private,2057,
SURYAA KHADSARI CHINI UDHYOG,Rautahat,Private,2057,
SARASWATI CABLE NETWORK,Rautahat,Private,2057,
MAHILA SAMUHIK GOBAR GAS COMPANY,Rautahat,Private,2059,
PRAKASH CABLE NETWORK,Rautahat,Private,2059,
BABA DISTILLERY PVT. LTD.,Rautahat,Private,2059,
