ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
AMRIT SUN KRISHNA NIRMAN SEWA,Rolpa,Private,2054,
JALJALA CABLE NETWORK,Rolpa,Private,2056,
SUNCHHAHARI CABLE NETWORK,Rolpa,Private,2057,
GAGAN CABLE NETWORK,Rolpa,Private,2057,
RAPTI CONSTRUCTION COMPANY PVT. LTD.,Rolpa,Private,2057,
ROLPA BRIGHT FUTURE ENGLISH BOARDING SCHOOL,Rolpa,Private,2059,
TULSI ENGLISH BOARDING SCHOOL ROLPA PVT. LTD.,Rolpa,Private,2059,
THAPA & Y.B. CONTROCTION,Rolpa,Private,2059,
SIMRIK ENGLISH BOARDING SCHOOL ROLPA,Rolpa,Private,2059,
HOLY VISION ENGLISH BOARDING SCHOOL,Rolpa,Private,2062,
DIYALO MONEY EXCHANGE,Rolpa,Private,2063,
JALJALA ENGLISH BOARDING SCHOOL,Rolpa,Private,2063,
SUN CHHAHARI PRAKASHAN,Rolpa,Private,2063,
DIP JYOTI SHIKSHA SADAN,Rolpa,Private,2064,
JALJALA DIGITAL COLOUR LAB,Rolpa,Private,2064,
Shikhar Jaljala Academy,Rolpa,Private,2064,
JANAKALYAN SUB MONEY TRANSFER,Rolpa,Private,2064,
BUDHA GAUN JEEVAN JYOTI ACADEMY,Rolpa,Private,2064,
Mid-Western English Boarding School,Rolpa,Private,2064,
Madikhola English Boarding School,Rolpa,Private,2064,
Jaljalaa Model Academy,Rolpa,Private,2064,
Indreni Samata Education Academy,Rolpa,Private,2064,
Sunchhahari Medical Center,Rolpa,Private,2064,
Public Horizon English Boarding School,Rolpa,Private,2065,
Sulav English Boarding School,Rolpa,Private,2065,
Golden Sunrise English Boarding School,Rolpa,Private,2065,
Fast Access Money Transfer,Rolpa,Private,2065,
Ajambari Cable Network,Rolpa,Private,2065,
Gyan Heaven English Boarding School,Rolpa,Private,2065,
Budhagaun Motherland Academy,Rolpa,Private,2065,
Hemantapur Laxmi English Boarding School,Rolpa,Private,2065,
Republic English Boarding School,Rolpa,Private,2065,
Advance Child Care English School,Rolpa,Private,2065,
Maramthani English Boarding School,Rolpa,Private,2065,
Gyan Mandir English Boarding School Khungri,Rolpa,Private,2065,
Rolpa Sunrise Boarding School,Rolpa,Private,2065,
Three Modern English Boarding School,Rolpa,Private,2065,
Rangsee Janapriya English Boarding School,Rolpa,Private,2065,
Narayangadh Nirman Sewa & Suppliers,Rolpa,Private,2065,
Rolpa Radiation English Boarding School,Rolpa,Private,2065,
Ghodagaun Prabhat Academy,Rolpa,Private,2066,
Rolpa Unity Life Shopping Center,Rolpa,Private,2066,
Jaljala Educational Academy,Rolpa,Private,2066,
Rolpa Sun Light English Boarding School,Rolpa,Private,2066,
Motherland Educare Academy Rolpa,Rolpa,Private,2066,
Star English Boarding School Rolpa,Rolpa,Private,2066,
Jaljala Academy Rolpa,Rolpa,Private,2066,
Rolpa Novel Academy,Rolpa,Private,2066,
Phulbari Nava Kiran English Boarding School,Rolpa,Private,2066,
Bal Miteri English Boarding School,Rolpa,Private,2066,
Gyanodaya Public English School Rolpa,Rolpa,Private,2066,
Shristi Polyclinic & Diagnosis Center,Rolpa,Private,2066,
Moonlight English Boarding School Rolpa,Rolpa,Private,2066,
Jaljala Electronics Service,Rolpa,Private,2067,
Golden Academy,Rolpa,Private,2067,
Lisne Jana Chetana Academy,Rolpa,Private,2067,
New Dawn English Boarding School,Rolpa,Private,2067,
Shree New Republic English Boarding School Rolpa,Rolpa,Private,2067,
Ishmali Ply Wood Industries,Rolpa,Private,2067,
Jaljala Construction Energy Development & Suppliers,Rolpa,Private,2068,
Jeewan Anmol Hospital,Rolpa,Private,2069,
Rolpa Janakalyan Hospital,Rolpa,Private,2069,
Himalaya Academy Rolpa,Rolpa,Private,2069,
Classic Estate Developers,Rolpa,Private,2070,
Jalaki Nirman Sewa,Rolpa,Private,2070,
Modern Basic English Boarding School,Rolpa,Private,2070,
Jaljala Saw Mill Veneer Tatha Furniture Udhyog,Rolpa,Private,2070,
Milan Upachar Kendra,Rolpa,Private,2070,
Jaljala Dental Clinic,Rolpa,Private,2070,
Tirsana Nirman Construction,Rolpa,Private,2070,
Rolpa Hospital,Rolpa,Private,2071,
Liwang Polyclinic,Rolpa,Private,2071,
Smriti Hospital,Rolpa,Private,2071,
Rolpa Engineering Consultancy,Rolpa,Private,2071,
Rolpa  Pravidhik Shikshalaya,Rolpa,Private,2071,
Chhin Krishi Tatha Pashupanchhi,Rolpa,Private,2071,
Rehdon Public Academy Rolpa,Rolpa,Private,2071,
Star Boarding Rolpa,Rolpa,Private,2071,
Shiva Shakti English Boarding School Rolpa,Rolpa,Private,2071,
Swargadwari Oil Store,Rolpa,Private,2072,
Upahar Nirman Sewa,Rolpa,Private,2072,
Nepal Agricultural Product and Research Center,Rolpa,Private,2072,
Nabadurga Allo Dhago Tatha Kapada Udhog,Rolpa,Private,2072,
Rapti Mining And Construction,Rolpa,Private,2072,
Dev Construction,Rolpa,Private,2072,
