ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
BIJAYASWARI HYDRO POWER COMPANY,Rukum,Private,2055,
SYARPUDAHA GENERAL JAL VIDYUT CO.PVT.LTD.,Rukum,Private,2055,
SANDESH CABLE NETWORK,Rukum,Private,2058,
BIJAYASHWARI ENGLISH MEDIUM BOARDING SCHOOLRUKUM,Rukum,Private,2060,
SHREE SHANTI VIDHYA NIKETAN BOARDING SCHOOL,Rukum,Private,2061,
NEW MOON LIGHT BOARDING SCHOOL,Rukum,Private,2062,
SHREE SARASWATI  ADVANCE ENGLISH MEDIUM BOARDING SCHOOL,Rukum,Private,2062,
RUKUMELI F.M.,Rukum,Private,2063,
CHAURJAHARI VALLEY PUBLIC SCHOOL,Rukum,Private,2063,
BIJAYASHWORI CABLE NETWORK,Rukum,Private,2063,
MANORAMA ACADEMY,Rukum,Private,2063,
BAL VIDHYA SADAN CHAURJAHARI RUKUM,Rukum,Private,2063,
CHAURJAHARI BELIEVERS ENGLISH SCHOOL,Rukum,Private,2063,
SISNE PRATIK ENTERPRISES AND SUPPLIERS,Rukum,Private,2064,
Sisne Himalaya English Boarding School,Rukum,Private,2064,
Chaurjahari Academy,Rukum,Private,2064,
Sushil English Boarding School,Rukum,Private,2064,
Rukum Sisne Himal Pupal & Suppliers,Rukum,Private,2065,
Rukum Everest English Academy,Rukum,Private,2065,
Sisne Syarpu English Boarding School,Rukum,Private,2065,
Sisne Academy,Rukum,Private,2065,
Manakamana Advance Boarding School,Rukum,Private,2065,
Rukumeli Aastha English Medium Boarding School,Rukum,Private,2065,
Himshikha Boarding School Rukumkot,Rukum,Private,2065,
Karma Hari Ram Polyclinic,Rukum,Private,2065,
Malika Niketan Boarding School Rukum,Rukum,Private,2065,
Rukmini English Boarding School,Rukum,Private,2065,
Arthbiscot Peace Zone Educational Academy,Rukum,Private,2065,
Mid-West Sub Remittance,Rukum,Private,2065,
Rukum Deepjyoti English Medium Boarding School,Rukum,Private,2065,
Jaya Durga English Boarding School,Rukum,Private,2065,
Sisne English Boarding School,Rukum,Private,2065,
Rukumeli Bright Future English Medium Boarding School,Rukum,Private,2065,
Puspakamal G.S. English Boarding School,Rukum,Private,2065,
Bijaya Gyankunja English Boarding School,Rukum,Private,2065,
Yugantakari English Boarding School,Rukum,Private,2065,
Paugha Child Nature English Medium Boarding School,Rukum,Private,2065,
Sani Bheri Academy,Rukum,Private,2066,
