ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Byapar Corporation,Rupandehi,Private,2020,
NEPAL TRANSPORT,Rupandehi,Private,2021,
Prithvi Metal Industries,Rupandehi,Private,2022,
PRITHIVI METAL INDUSTRIES,Rupandehi,Private,2022,
LUMBINI BUS SEWA,Rupandehi,Private,2023,
HAMRO BUS,Rupandehi,Private,2025,
RESUNGA BUS SERVICE,Rupandehi,Private,2028,
SNOW-LAND EXPERIENCE,Rupandehi,Private,2028,
HOTEL LIMBINI,Rupandehi,Private,2028,
LUMBINI FLOUR MILLS,Rupandehi,Private,2031,
Himali Ita Tile Karkhana,Rupandehi,Private,2031,
SHAH PASCHIMANCHAL YATAYAT,Rupandehi,Private,2033,
GURASH CHALACHITRA MANDIR,Rupandehi,Private,2034,
LAXMI AGRO PRODUCTS PVT.LTD.,Rupandehi,Private,2034,
BUTWAL ENGINEERING WORKS,Rupandehi,Private,2034,
LUMBINI MILK REFINERY COMPANY,Rupandehi,Private,2034,
KALIKA CHALACHITRA BHAWAN,Rupandehi,Private,2034,
Pashupati Lodge & Resturent,Rupandehi,Private,2034,
PASHUPATI LODGE HOTEL & RESTAURENT,Rupandehi,Private,2034,
LAXMI TEXTILE,Rupandehi,Private,2034,
MODERN CONSTRUCTION MATERIALS,Rupandehi,Private,2034,
EVEREST ROLLING INDUSTRIES,Rupandehi,Private,2035,
HOTEL HIMALAYAN INN,Rupandehi,Private,2035,
LUMBINI VIDYUT UDYOG,Rupandehi,Private,2035,
KHASYAULI AUTOMATIC,Rupandehi,Private,2035,
Butwal Wood Industries,Rupandehi,Private,2035,
SIDDHARTH RICE MILL,Rupandehi,Private,2035,
Shiddhartha Rice Mill,Rupandehi,Private,2035,
LUMBINI MATCH UDYOG,Rupandehi,Private,2036,
BUTAWAL CONSULTANTS,Rupandehi,Private,2037,
AGRO ENGINEERING WORKS,Rupandehi,Private,2037,
Ratna Iron Industries,Rupandehi,Private,2037,
NARAYAN INDUSTRIES,Rupandehi,Private,2038,
PANCHA KANYA  PLASTICE INDUSTRIES,Rupandehi,Private,2038,
KALIKA CHALACHITRA MANDIR,Rupandehi,Private,2039,
MAHALAXMI RICE OIL FLOUR MILL,Rupandehi,Private,2039,
PIONEER TANNING INDUSTRIES,Rupandehi,Private,2039,
TRISHUL TRANSPORT COMPANY,Rupandehi,Private,2039,
Butwal Dhago Karkhana,Rupandehi,Public,2039,
NEW KIRTAN CARRIERS,Rupandehi,Private,2040,
ARTHIK SEWA KENDRA LTD.,Rupandehi,Private,2040,
NEPAL AUTO INDUSTRIES,Rupandehi,Private,2040,
