ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
SALYAN CABLE NETWORK,Salyan,Private,2056,
MOUNTAIN CABLE NETWORK (SALYAN),Salyan,Private,2058,
M.M. ACADEMY,Salyan,Private,2059,
NEW XAVIER'S ACADEMY,Salyan,Private,2061,
BRIGHT PEARL ACADEMY SALYAN,Salyan,Private,2061,
I.K. TRADE CONCERN,Salyan,Private,2062,
OM AGRICULTURE,Salyan,Private,2063,
UJJWAL STAR ENGLISH MEDIUM SCHOOL,Salyan,Private,2063,
SHARMA CABLE NETWORK,Salyan,Private,2063,
RIVER SIDE ACADEMY,Salyan,Private,2063,
ROSE LAND ENGLISH MEDIUM BOARDING SCHOOL BAGCHAUR,Salyan,Private,2063,
SHREE KRISHNA BOARDING SCHOOL SALYAN,Salyan,Private,2063,
WHITE BIRD ENGLISH SCHOOL,Salyan,Private,2064,
LONG GREEN RIVER ENGLISH BOARDING SCHOOL,Salyan,Private,2064,
SUPER GOLDEN EAGLE ENGLISH MEDIUM BOARDING SCHOOL,Salyan,Private,2064,
HIRA ENGLISH SCHOOL,Salyan,Private,2064,
JAUNTY ENGLISH BOARDING SCHOOL KAVRA,Salyan,Private,2064,
Salyan  Public School,Salyan,Private,2064,
CHHATRESHWARI ENGLISH BOARDING SCHOOL,Salyan,Private,2064,
MILKY WAY ACADEMY TRIBENI SALYAN,Salyan,Private,2064,
ALL EQUAL ENGLISH BOARDING SCHOOL,Salyan,Private,2064,
PACIFIC ENGLISH BOARDING SCHOOL,Salyan,Private,2064,
BLUE DIAMOND ENGLISH BOARDING SCHOOL,Salyan,Private,2064,
MODERN TULSI ACADEMY,Salyan,Private,2064,
M.R. ACADEMY,Salyan,Private,2064,
SANKALPA ACADEMY,Salyan,Private,2064,
Namuna Bal Bikas School,Salyan,Private,2064,
Kalimati Rampur English Boarding School,Salyan,Private,2064,
Kriti English Medium Boarding School,Salyan,Private,2064,
Salyani Educational Academy,Salyan,Private,2064,
Majhakanda Father Memorial English School,Salyan,Private,2064,
Krishna Kumari Memorial English Boarding School,Salyan,Private,2064,
Chhatreshwari Employment Consultancy,Salyan,Private,2064,
Dobhan Academy,Salyan,Private,2064,
Bright Rose Land English Medium School,Salyan,Private,2064,
P.K. Kantipur Polyclinic,Salyan,Private,2064,
Salyani Polyclinic,Salyan,Private,2065,
Oxford Diamond Memory Academy,Salyan,Private,2065,
Sharada Vidhyut Company,Salyan,Private,2065,
Kumakha Construction Company,Salyan,Private,2065,
Him Parbat Academy English Boarding School,Salyan,Private,2065,
Sharada Cable Network,Salyan,Private,2065,
Jolly Sunrise Academy,Salyan,Private,2065,
Mitra Paradise Boarding School,Salyan,Private,2065,
Creative Academy,Salyan,Private,2065,
Tribeni Gyan Jyoti English School,Salyan,Private,2065,
Little Plant English Boarding School Marke,Salyan,Private,2065,
Makhalam Bright Boarding School,Salyan,Private,2065,
Sarada Top English School,Salyan,Private,2065,
Phalwang Gorakha English Boarding School,Salyan,Private,2065,
Resource Sharada English Boarding School,Salyan,Private,2065,
Ever Luminous Academy,Salyan,Private,2065,
Shivarath Academy,Salyan,Private,2065,
World Vision Construction,Salyan,Private,2065,
Salyani Marygold English Learning School,Salyan,Private,2065,
Nawa Jiwan English Boarding School Salyan,Salyan,Private,2065,
Shiva Sworup Khanij Udhyog,Salyan,Private,2065,
R.S. Academy,Salyan,Private,2065,
Shukreshwari Consultancy Service,Salyan,Private,2066,
Janapriya Construction Company,Salyan,Private,2066,
Kumakh Academy,Salyan,Private,2066,
Jaya Om Trishakti Urja,Salyan,Private,2066,
Bhuwaneshwari English Medium School,Salyan,Private,2066,
Ram Laxmi English Boarding School,Salyan,Private,2066,
M.R.B. Academy Salyan,Salyan,Private,2066,
Shining Path Academy Boarding School Salyan,Salyan,Private,2066,
Shining Path Academy Boarding School Salyan,Salyan,Private,2066,
Namuna Child Care Boarding School,Salyan,Private,2066,
Sarada Valley Boarding School,Salyan,Private,2066,
Republica English Boading School Salyan,Salyan,Private,2066,
Moravian Academy,Salyan,Private,2066,
Vidhyakunj English Boarding School Salyan,Salyan,Private,2066,
Jana Aastha Vidhya Mandir,Salyan,Private,2066,
Laxmipur Bal Academy,Salyan,Private,2066,
Little Angel Academy Salyan,Salyan,Private,2066,
Namuna Bal Academy Salyan,Salyan,Private,2066,
Kamal Prakash Kantipur Sasmudayak Hospital,Salyan,Private,2066,
S.K. Employment Consultancy,Salyan,Private,2066,
Janapriya Polyclinic,Salyan,Private,2067,
Bohara Pustak Publication,Salyan,Private,2067,
ShreeNagar Business,Salyan,Private,2067,
Salyan Sharada Construction,Salyan,Private,2067,
Marke Mid Point Academy,Salyan,Private,2067,
Adhikari Bandhu Polyclinic,Salyan,Private,2067,
Nawa Pratibha English Boarding School Salyan,Salyan,Private,2067,
Gyanjyoti Academy Salyan,Salyan,Private,2067,
Nagarik Vidhyut,Salyan,Private,2068,
Shreenagar Model Hospital,Salyan,Private,2068,
Peace Heart Resort,Salyan,Private,2068,
Tiny Tots English Boarding School Salyan,Salyan,Private,2068,
New Bangad Model Academy,Salyan,Private,2068,
Merriment Academy,Salyan,Private,2068,
Sharada Engineering College,Salyan,Private,2068,
Motherland Boarding School Salyan,Salyan,Private,2068,
Rapti Sagun Byabasayik Talim Kendra,Salyan,Private,2069,
Mid Western Academy Salyan,Salyan,Private,2069,
New Generation Academy,Salyan,Private,2069,
Madhya Pashchim Polytechnic,Salyan,Private,2069,
Jhimruk Construction,Salyan,Private,2069,
Shreenagar Investment Company,Salyan,Private,2069,
Chhatreswari Cable Network,Salyan,Private,2069,
Salyan Poultry & Feed Industries,Salyan,Private,2069,
Sukha Sagar Construction Company,Salyan,Private,2069,
Kupindedaha English Boarding School,Salyan,Private,2069,
Mukesh Construction Company,Salyan,Private,2070,
Sarada Vyali English Boarding School,Salyan,Private,2070,
Damachowr Construction,Salyan,Private,2070,
Himalaya English Boarding School Salyan,Salyan,Private,2070,
Amar Marketing & Sub Money Transfer,Salyan,Private,2071,
New Beshi Academy Salyan,Salyan,Private,2071,
Janabandhu Polyclinic Salyan,Salyan,Private,2071,
Shree Siddha Baba English Boarding School Salyan,Salyan,Private,2071,
Madhya Pahadi Krishi Tatha Pashu Byabasayik Farm,Salyan,Private,2071,
Kings Ridge Boarding School Salyan,Salyan,Private,2071,
Dharmabhumi Model Public School Salyan,Salyan,Private,2071,
Harsing Memorial Academy,Salyan,Private,2071,
Golden Future English School Salyan,Salyan,Private,2071,
Salyan Technical College Of Engineering And Management,Salyan,Private,2071,
Madhya Pashchim Krishi Tatha Pashu Byabasayik Farm,Salyan,Private,2072,
Shiva Nirmal Nirman Sewa And Suppliers,Salyan,Private,2072,
World Light Group,Salyan,Private,2072,
Salyan Malbahak Tatha Yatayat,Salyan,Private,2072,
Jaya Ma Khairabangi Khanij Uddhyog,Salyan,Private,2072,
Satpokhari Agriculture and Livestock Farm,Salyan,Private,2072,
Mid West English Boarding School Salyan,Salyan,Private,2072,
Sharada English Boarding School Salyan,Salyan,Private,2072,
Success Life English Boarding School Salyan,Salyan,Private,2072,
Sabhyata Academy Salyan,Salyan,Private,2072,
Sushan Bikas Tatha Dharmik Trust,Salyan,Non-Profit Distributing,2072,
Sahayatri Kala Kendra And Films,Salyan,Private,2072,
Swargadwari and Gaumukhi Construction,Salyan,Private,2072,
Salyan Prabidhik Sikchaalaya,Salyan,Private,2072,
Mahabharat Krishi Tatha Pashupalan Farm Salyan,Salyan,Private,2072,
New Bright Future Academy Salyan,Salyan,Private,2072,
Kapurkot Polyclinic,Salyan,Private,2072,
