ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
RAGHUPATI JUTE MILLS,Sankhuwasabha,Private,2003,
LAXMI TREKKING COMPANY,Sankhuwasabha,Private,2007,
HULAS RICE MILLS,Sankhuwasabha,Private,2007,
GOLCHHA RICE OIL AND FLOUR MILLS,Sankhuwasabha,Private,2009,
LALITA RICE OIL DAAL&FLOUR MILL,Sankhuwasabha,Private,2009,
JALJALA SISHU SADAN,Sankhuwasabha,Private,2014,
NEPAL HIMALAYA AUDHYOGIC CORPORETIN,Sankhuwasabha,Private,2017,
HIMALAYA MAHALAXMI TEA GARDEN PVT.,Sankhuwasabha,Private,2018,
LAXMI TRADING COMPANY,Sankhuwasabha,Private,2018,
BIRATNAGAR WORKSHOP,Sankhuwasabha,Private,2019,
NEPAL TRANSPORT,Sankhuwasabha,Private,2021,
NEPAL CONSTRUCTION,Sankhuwasabha,Private,2021,
RATNA MOTOR WORKS (LIQ.063/7/15),Sankhuwasabha,Private,2023,
MAHABIR BUCKET  MANUFACTURES,Sankhuwasabha,Private,2023,
HIMALAYA SOAP FACTORY,Sankhuwasabha,Private,2024,
KOIRALA INDUSTRIES,Sankhuwasabha,Private,2024,
NEPAL INDUSTRIES,Sankhuwasabha,Private,2024,
ARUNODAYA UDHYOG,Sankhuwasabha,Private,2024,
KOSHI PUMP AND SERVICE STATION,Sankhuwasabha,Private,2024,
PASHUPATI CAMFOR INDUSTRIES,Sankhuwasabha,Private,2025,
NEPAL MOTOR COMPANY,Sankhuwasabha,Private,2025,
UNITED INDUSTRIES,Sankhuwasabha,Private,2025,
NEPAL ROLLER FLOUR MILLS,Sankhuwasabha,Private,2026,
MORANG BUS SERVICE,Sankhuwasabha,Private,2027,
BIRAT HOTEL,Sankhuwasabha,Private,2029,
BIRAT HOTEL,Sankhuwasabha,Private,2029,
KOSHI FURNITURE AND ALLIED IND.,Sankhuwasabha,Private,2029,
GANESH COLD STORE,Sankhuwasabha,Private,2029,
ADHUNIK CHAMAL KARKHANA,Sankhuwasabha,Private,2029,
KOSHI ICE AND COLD STORAGE,Sankhuwasabha,Private,2029,
MAHALAXMI INDUSTRIES,Sankhuwasabha,Private,2030,
BASHANTA RICE MILL INDUSTRY,Sankhuwasabha,Private,2030,
ANIL INDUSTRY,Sankhuwasabha,Private,2030,
KOSHI ITTA TILE,Sankhuwasabha,Private,2030,
PRKASH UDHYOG,Sankhuwasabha,Private,2031,
JALPA DEVI INDUSTRY,Sankhuwasabha,Private,2031,
HOTEL TRIBENI,Sankhuwasabha,Private,2032,
COTTEN BAGING UDHYOG,Sankhuwasabha,Private,2032,
BIRATNAGAR DISTILLERY,Sankhuwasabha,Private,2032,
RAJ GADIYA UDHYOG,Sankhuwasabha,Private,2032,
SHIVA MAIDA UDHYOG,Sankhuwasabha,Private,2033,
GAYATRI OIL INDUSTRIES,Sankhuwasabha,Private,2034,
NEPAL DRUGS COMPANY,Sankhuwasabha,Private,2034,
HERBS AND SPICES PROSSING,Sankhuwasabha,Private,2035,
SANGURI CONSTRUCTION,Sankhuwasabha,Private,2038,
NEPAL POLPACK,Sankhuwasabha,Private,2038,
NARAYAN KHANDASARI SUGAR UDYOG,Sankhuwasabha,Private,2039,
HULAS WIRE INDUSTRIES,Sankhuwasabha,Private,2039,
KOSHI AADHUNIK ITTA UDHYOG,Sankhuwasabha,Private,2040,
PASHUPATI IRON AND STEEL,Sankhuwasabha,Private,2040,
NEPAL TANNING INDUSTRIES,Sankhuwasabha,Private,2040,
UNIVERSAL LEATHAR INDUSTRIES,Sankhuwasabha,Private,2041,
ANNAPURNA SENTHETICKS,Sankhuwasabha,Private,2041,
HITESH ZIPPER INDUSTRIES,Sankhuwasabha,Private,2042,
ARUNODAYA DISTILLERY,Sankhuwasabha,Private,2044,
S.S.K.U,Sankhuwasabha,Private,2045,
Shree Ganesh Devi Pokhari Chiya Kaman,Sankhuwasabha,Private,2046,
CHICHILA ALANCHI FIRM,Sankhuwasabha,Private,2047,
JANAHIT REALESTATE,Sankhuwasabha,Private,2048,
