ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Nepal Contruction,Saptari,Private,2029,
EVEREST IRON AND STEEL,Saptari,Private,2031,
DAS AADHUNIK ITTA TILE KARKHANA,Saptari,Private,2032,
HANUMANNAGAR RICE MILL,Saptari,Private,2034,
Saptri Jute Carpet,Saptari,Public,2041,
MOUNT CHEM INDUSTRIES,Saptari,Private,2042,
Swastick Wair Industries,Saptari,Private,2045,
Adhitya  Film,Saptari,Private,2049,
E.E.S.R Consultant,Saptari,Private,2049,
SONA CAST IRON PVT.LTD,Saptari,Private,2050,
SAGARMATHA FEED INDUSTRIES PVT.LTD,Saptari,Private,2050,
NEP-IND FLEXI PACK,Saptari,Private,2051,
PAM INTERNATIONAL,Saptari,Private,2052,
SUGAN  TRADING,Saptari,Private,2052,
EXERCISE BOOKS & ALLIED INDUSTRIES,Saptari,Private,2052,
CHHINAMAST ELECTRO ROD,Saptari,Private,2052,
S.& CO. ELECTRODS,Saptari,Private,2052,
Manakamana Cab,Saptari,Private,2052,
UNI TILE NEPAL PVT.LTD.,Saptari,Private,2053,
OM HARISWAR DIARY PVT.LTD.,Saptari,Private,2053,
N.B.T. OVERSEAS PVT.LTD.,Saptari,Private,2053,
SARASWATI METAL INDUSTRIES,Saptari,Private,2053,
GOLDEN STAR SECONDARY SCHOOL PVT.LTD.,Saptari,Private,2053,
Multipurpose Finance Company(Bittiya Sanstha),Saptari,Public,2053,
SUN PEARL ENGLISH BOARDING SCHOOL PVT.LTD.,Saptari,Private,2053,
DURGA SECONDARY SCHOOL,Saptari,Private,2053,
DIMOND MADHYAMIK VIDYALAYA PVT.LTD.,Saptari,Private,2053,
YESHODA LITTLE FLOWER BOARDING SCHOOL PVT.LTD.,Saptari,Private,2054,
ANEX SERVICE NEPAL PVT.LTD.,Saptari,Private,2054,
OXFORD INTERNATIONAL EDUCATIONAL INSTITUTE,Saptari,Private,2054,
HIGHWAY PASHUPATI BAHUUDHESHIYA,Saptari,Private,2054,
LINKAN INTERNATIONAL EDUCATIONAL INSTITUTE,Saptari,Private,2054,
Simpu Movies,Saptari,Private,2054,
SUNRISE LIQOURS,Saptari,Private,2055,
NEPAL RASTRIYA PLANTATION,Saptari,Private,2055,
CHANDRA BHOGA CONSTRUCTION COMPANY,Saptari,Private,2055,
B.K. CABLE NETWORK PVT.LTD.,Saptari,Private,2055,
KRAFTEC GROUP OF INDUSTRIES,Saptari,Private,2055,
MARKETS NEPAL,Saptari,Private,2056,
J.K. INTERNATIONAL,Saptari,Private,2056,
PINE OVERSEAS,Saptari,Private,2056,
ANNAPURNA MAIDA MILLS,Saptari,Private,2056,
JAGADAMBA MEDICAL INSTITUTE,Saptari,Private,2056,
RAJDEVI TECHNICAL INSTITUTE PVT. LTD.,Saptari,Private,2056,
JAGADAMBA TECHNICAL INSTITUTE,Saptari,Private,2056,
