ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Piko Polybest,Sarlahi,Private,2046,
Estern Carpet Industries,Sarlahi,Private,2047,
Naya Gurash Chalchitra,Sarlahi,Private,2047,
Rak Enginniaring Consult,Sarlahi,Private,2048,
Pholjor Khandsari Udhyog,Sarlahi,Private,2048,
HIMALAYAN SILK ROAD TRAVELS PVT.LTD,Sarlahi,Private,2050,
ROMI INTERPRISES,Sarlahi,Private,2051,
TRIYOG PETROLEUM PRODUCTS DISTRIBUTORS,Sarlahi,Private,2052,
Jemeny Comfort,Sarlahi,Private,2052,
Greay Cab Company,Sarlahi,Private,2052,
BINA CHALCHITRA MANDIR,Sarlahi,Private,2052,
DIBYA GOVINDA GROUP PVT.LTD.,Sarlahi,Private,2053,
Himani Cab,Sarlahi,Private,2053,
KAUSALYA (MATA) TAKIJ,Sarlahi,Private,2053,
EVEREST SECONDARY ACADEMY,Sarlahi,Private,2053,
MALANGWA GREEN LAND ANGREJI AWASIYA MA.VI.PVT,Sarlahi,Private,2053,
DURGA MAA CHALCHITRA MANDIR,Sarlahi,Private,2054,
RAJ CABLE NETWORK,Sarlahi,Private,2056,
NEPAL DEVELOPMENT CHAMELI PLANTATION,Sarlahi,Private,2056,
FULJOR STAR NETWORK,Sarlahi,Private,2056,
INSTITUTE OF PUBLIC HEALTH & RESEARCH CENTRE,Sarlahi,Private,2056,
LALBANDI TECHNICAL INSTITUTE,Sarlahi,Private,2056,
GAUTAM CABLE NETWORK,Sarlahi,Private,2056,
COSMIC TRADING,Sarlahi,Private,2057,
CHANDAN PARAMEDICAL INSTITUTE,Sarlahi,Private,2057,
SUN MOON INTERNATIONAL MEDICAL & POLYCLINIC,Sarlahi,Private,2057,
THE EAST  CONSTRUCTION,Sarlahi,Private,2057,
BHAWANI DAIRY PRODUCTS,Sarlahi,Private,2057,
INFOAIM,Sarlahi,Private,2057,
NAWALPUR COMPUTER INSTITUTE,Sarlahi,Private,2058,
Datta Gurudev Construction And Suppliers,Sarlahi,Private,2058,
NIKHILESHWAR FILMS,Sarlahi,Private,2058,
SARLAHI SAW MILL,Sarlahi,Private,2058,
RAM JANAKI COLOUR LAB,Sarlahi,Private,2058,
SATYAM CABLE NETWORK,Sarlahi,Private,2058,
LALI GURANS ACADEMY,Sarlahi,Private,2059,
BINAM CABLE NETWORK,Sarlahi,Private,2059,
EDUCATION CARE HOME SCHOOL,Sarlahi,Private,2059,
SUNRISE ENGLISH BOARDING SCHOOL,Sarlahi,Private,2059,
MALANGAWA SAGARMATHA AWASIYA VIDHYALAYA,Sarlahi,Private,2059,
GANGAPUR SITAPUR CABLE NETWORK,Sarlahi,Private,2059,
MAITRI PRAKASHAN,Sarlahi,Private,2059,
Sagun  Siksha Aawashiya Vidhyalaya,Sarlahi,Private,2059,
SAHARA NETWORK,Sarlahi,Private,2059,
MALANGAWA APEX ACADEMY,Sarlahi,Private,2059,
SHREE JAYADURGA  CABLE NETWORK,Sarlahi,Private,2059,
GYANODAYA AND COMPANY ISHWARPUR,Sarlahi,Private,2059,
HARIWON MEDIA NETWORK COMPANY,Sarlahi,Private,2059,
ANSARI KRISHI FARM,Sarlahi,Private,2059,
BHAKTIPUR HIMALAYA ENGLISH BOARDING SCHOOL,Sarlahi,Private,2059,
BABARGUNJ SURYODAYA ENGLISH BOARDING SCHOOL,Sarlahi,Private,2059,
MALANGWA TODDLERS' ENGLISH BOARDING SCHOOL,Sarlahi,Private,2059,
aman cable t.v. network,Sarlahi,Private,2059,
AMAN CABLE T.V. NETWORK,Sarlahi,Private,2059,
MAHASUNAR SUNRISE ACADEMY SECONDARY SCHOOL,Sarlahi,Private,2059,
NEW EVEREST ACADEMY HARIHARPUR,Sarlahi,Private,2059,
BAL CHETANA ENGLISH BOARDING SCHOOL SARLAHI,Sarlahi,Private,2060,
GYAN JYOTI ENGLISH BOARDING SCHOOL SARLAHI,Sarlahi,Private,2060,
KALPAVRIKSHA ENGLISH BOARDING SCHOOL,Sarlahi,Private,2060,
UNITED EDUCATIONAL ACADEMY,Sarlahi,Private,2060,
SUKHA SAGAR HOSPITAL AND RESEARCH CENTRE,Sarlahi,Private,2060,
EKATA NURSING HOME,Sarlahi,Private,2060,
LALBANDI CABLE NETWORK,Sarlahi,Private,2060,
FOOLPATI AGRO PRODUCT PROCESSING INDUSTRIES,Sarlahi,Private,2060,
OXFORD EDUCATIONAL ACADEMY,Sarlahi,Private,2060,
STAR LIGHT PRIMARY SCHOOL,Sarlahi,Private,2060,
