ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
RADHESHYAM RICE OIL &FLOUR MILLS,Sindhuli,Private,2010,
SITA RAM GOKUL MILLS PVT.LTD,Sindhuli,Private,2050,
PRAGATISHIL GHARJAGGA KHARID BIKRI KENDRA,Sindhuli,Private,2055,
SIDDHESHWOR COLD STORAGE,Sindhuli,Private,2056,
PRABIDHIK PRASHICHHEN KENDRA,Sindhuli,Private,2057,
PRAKRITI NETWORK,Sindhuli,Private,2057,
SIDDHAKALI CHALCHITRA MANDIR,Sindhuli,Private,2058,
SINDHULI (NEW ENGLISH) BOARDING SCHOOL,Sindhuli,Private,2059,
KAMALA ACADEMIC SCHOOL SINDHULI PVT. LTD.,Sindhuli,Private,2059,
SHUBHECHHYA CHALCHITRA MANDIR,Sindhuli,Private,2059,
SIDDHABABA CONSTRUCTION,Sindhuli,Private,2059,
SINDHULI (SURYODAYA) ENGLISH SCHOOL,Sindhuli,Private,2059,
SIDDHASTHALI ENGLISH BOARDING SCHOOL,Sindhuli,Private,2059,
Sindhuli Pathashala,Sindhuli,Private,2060,
SCHOLAR'S ACADEMY SCHOOL SINDHULI,Sindhuli,Private,2060,
KANTIPUR GOBAR GAS SINDHULI,Sindhuli,Private,2060,
USHA AND MAIYA NIRMAN SEWA,Sindhuli,Private,2060,
KAMALAKHOJ SHIKSHA SADAN,Sindhuli,Private,2060,
E MARIN THAKUR NIRMAN SEWA COMPANY,Sindhuli,Private,2061,
KAMALAMAI ENGLISH BOARDING SCHOOL,Sindhuli,Private,2061,
BHAGAWATI ENGLISH BOARDING SCHOOL SINDHULI,Sindhuli,Private,2061,
SIDDHABABA ENGLISH BOARDING SCHOOL SINDHULI,Sindhuli,Private,2061,
SURYAMUKHI BAIKALPIK URJA BIKAS COMPANY,Sindhuli,Private,2061,
Sindhuli Ekta Model School,Sindhuli,Private,2061,
PRAVA POULTRY FIRM,Sindhuli,Private,2062,
SHIVA SHAMBHU NIRMAN SEWA,Sindhuli,Private,2062,
SHREE OM CABLE NETWORK,Sindhuli,Private,2062,
SIDDHA BABA COMMUNICATION & MONEY TRANSFER COMPANY,Sindhuli,Private,2062,
LALI GURANSH OVERSEAS CONSULTANCY,Sindhuli,Private,2062,
SANJEEV AND BROTHERS CONSTRUCTION COMPANY,Sindhuli,Private,2062,
AATREYA NIRMAN SEWA,Sindhuli,Private,2062,
MAHATO BUSINESS CONCERN,Sindhuli,Private,2062,
PAKHRIN NIRMAN SEWA,Sindhuli,Private,2062,
SINDHULI JUNAR PRASHODHAN COMPANY,Sindhuli,Private,2062,
SINDHULI LITTLE FLOWERS ENGLISH BOARDING SCHOOL,Sindhuli,Private,2062,
SANJU ENGLISH BOARDING SCHOOL,Sindhuli,Private,2062,
HOTEL ANUPAM,Sindhuli,Private,2063,
OM SAI URJA COMPANY,Sindhuli,Private,2063,
JWALA BAIKALPIK URJA BIKAS COMPANY,Sindhuli,Private,2063,
SINDHULI HEALTH CLINIC,Sindhuli,Private,2063,
NEPAL PUBLIC URJA TATHA GRAMIN BIKAS,Sindhuli,Private,2063,
UNITED TECHNICAL INSTITUTE,Sindhuli,Private,2063,
DUDHAULI NISHAN CABLE T.V. NETWORK,Sindhuli,Private,2064,
SIDDHA BABA CHUN DHUNGA UDHYOG,Sindhuli,Private,2064,
S.G. Construction,Sindhuli,Private,2064,
Foreign Language Center,Sindhuli,Private,2064,
Sudesna Auto Traders,Sindhuli,Private,2064,
Fikkal Falful Prashodhan Kendra,Sindhuli,Private,2064,
Aadhunik Boarding School,Sindhuli,Private,2064,
Light Pole Star Academy,Sindhuli,Private,2065,
Maini Paradise English Boarding School,Sindhuli,Private,2065,
Sindhuli Sunrise English Boarding School,Sindhuli,Private,2065,
Kamala Moon Light English Boarding School,Sindhuli,Private,2065,
Jinakhu Krishi Company,Sindhuli,Private,2065,
Siddha Baba Darshan Cable Car,Sindhuli,Private,2065,
Maisthan English Boarding School,Sindhuli,Private,2065,
Sindhuli Siddashthali English Boarding School,Sindhuli,Private,2065,
Sindhu Shubha Prabhat English Boarding School,Sindhuli,Private,2065,
Sindhuli Namuna Academy English School,Sindhuli,Private,2065,
Shining Moon Academy,Sindhuli,Private,2065,
Sindhuli Gadi Hotel,Sindhuli,Private,2065,
Lampantar English Boarding School Chakamake,Sindhuli,Private,2065,
Matribhumi Bikash Bank,Sindhuli,Private,2066,
Jalapadevi English Boarding School,Sindhuli,Private,2066,
Aadhunik Namuna Academy,Sindhuli,Private,2066,
Mata Raj Shree Investment Company,Sindhuli,Private,2066,
Milan Crusher Udhyog and Construction Developers,Sindhuli,Private,2066,
Bathan Chauri Cable Network,Sindhuli,Private,2066,
Siddha Kamala Nirman Sewa,Sindhuli,Private,2066,
Siddhagadi Real Estate,Sindhuli,Private,2066,
K.R.T. Crusher Udhyog,Sindhuli,Private,2066,
Muktinath Media,Sindhuli,Private,2066,
Dambar-Padma Agriculture Farm,Sindhuli,Private,2066,
Samaya Pathsala Pvt . Ltd.,Sindhuli,Private,2066,
Jaya Santoshi Maa Construction Company,Sindhuli,Private,2066,
Dudhauli Beliervers English School,Sindhuli,Private,2066,
Marin Academy Boarding School,Sindhuli,Private,2066,
Paradise English Boarding School Sindhuli,Sindhuli,Private,2066,
Srijanshil Construction & Suppliers,Sindhuli,Private,2066,
Gauri Shankar International Nirman Sewa,Sindhuli,Private,2066,
Public Academy Sindhuli,Sindhuli,Private,2066,
