ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
JAGADAMBA PRESS,Sindhupalchowk,Private,2018,
GRAPHITE INDUSTRIES,Sindhupalchowk,Private,2019,
NEPAL TYPE FOUNDRY,Sindhupalchowk,Private,2026,
BRICK AND TILE FACTORY,Sindhupalchowk,Private,2026,
ANIMAL & POULTRY FEED INDUSTRIES,Sindhupalchowk,Private,2027,
INDRENI PAINT INDUSTRIES,Sindhupalchowk,Private,2027,
PRAJAPATI BRICK WORKS,Sindhupalchowk,Private,2028,
VIJESHWOR PLASTIC INDUSTRIES,Sindhupalchowk,Private,2029,
BAHU UDESIYA LAGHU UDHYOG,Sindhupalchowk,Private,2029,
JAWALAKHEL DISTILLERY,Sindhupalchowk,Private,2029,
SWADESH BASTRA KALA KENDRA,Sindhupalchowk,Private,2030,
NANDINI KHADYA UDHYOG,Sindhupalchowk,Private,2031,
SANJAY CONSTRUCTION,Sindhupalchowk,Private,2033,
Lamo Sangu Top Village Lodge,Sindhupalchowk,Private,2033,
MITKU,Sindhupalchowk,Private,2033,
KATHMANDU WILD LIFE PARK,Sindhupalchowk,Private,2035,
Yangrima Hotel Halambu,Sindhupalchowk,Private,2035,
NATRAJ GARDEN GKUEST HOUSE,Sindhupalchowk,Private,2035,
JAYASHREE KAPADA UDYOG,Sindhupalchowk,Private,2035,
WOOD SEASONING,Sindhupalchowk,Private,2035,
SNOW FALL HOTEL AND LODGE,Sindhupalchowk,Private,2037,
SURESH NIRMAN COMPANY,Sindhupalchowk,Private,2037,
SHIBAPURI LOUDGE,Sindhupalchowk,Private,2037,
AMADABLAM TREKKING,Sindhupalchowk,Private,2038,
HOTEL TIBET VIEW,Sindhupalchowk,Private,2038,
GANESH KUNDA CONSTRUCTION,Sindhupalchowk,Private,2039,
DURGA CLOTH MILL,Sindhupalchowk,Private,2040,
FATURE BUILDERS,Sindhupalchowk,Private,2040,
NEPAL THAI FOODS,Sindhupalchowk,Private,2041,
SAILO CONSULTANTS,Sindhupalchowk,Private,2041,
FASHION APPARELS,Sindhupalchowk,Private,2041,
ELINA GARMENT INDUSTRIES,Sindhupalchowk,Private,2042,
HERGAN'S NURSING HOME,Sindhupalchowk,Private,2042,
INDRENI SOYABEAN UDYOG,Sindhupalchowk,Private,2042,
_e,Sindhupalchowk,Private,2043,
Kidari Hotel,Sindhupalchowk,Private,2045,
NEPAL WIRES ELECTRIC,Sindhupalchowk,Private,2049,
SUNKOSHI RIVER REPORT,Sindhupalchowk,Private,2049,
SOUND TECHNICS PVT.LTD,Sindhupalchowk,Private,2049,
EJUMI ELECTRONIC NEPAL PVT.LTD,Sindhupalchowk,Private,2049,
HOTEL ZENITH PVT.LTD,Sindhupalchowk,Private,2049,
HIMALAYAN FOLRA TECH PVT.LTD,Sindhupalchowk,Private,2049,
SOLAR AND ELECTRONIC PVT.LTD,Sindhupalchowk,Private,2049,
EVEREST POWER GENERATORS PVT.LTD,Sindhupalchowk,Private,2049,
WERSTERB BAKERY UDHYOG,Sindhupalchowk,Private,2049,
BEST POLYPIPE PVT.LTD,Sindhupalchowk,Private,2049,
PIKO PIPE PVT.LTD,Sindhupalchowk,Private,2049,
ATLAS AQUA INDUSTRIES PVT.LTD,Sindhupalchowk,Private,2049,
HIMALAYA NOODLES PVT.LTD,Sindhupalchowk,Private,2049,
GURANSH IRON AND STEEL INDS,Sindhupalchowk,Private,2049,
BLUE CROSS ASPATAL PVT. LTD.,Sindhupalchowk,Private,2049,
Nepal Steel Dhunga Udhyog,Sindhupalchowk,Private,2049,
PANCHAKANYA HOUSING AND DEVT.PVT.LT,Sindhupalchowk,Private,2049,
GULKHU AAJU PACKAGING AND PAPER IND,Sindhupalchowk,Private,2049,
ACTIVE MODERN CONSTRUCITON,Sindhupalchowk,Private,2050,
SUNKOSHI RODA DHUNGA UDYOG,Sindhupalchowk,Private,2050,
BINIT APPREALS PVT.LTD,Sindhupalchowk,Private,2050,
THE KATHMANDU HOUSING CO PVT.LTD,Sindhupalchowk,Private,2050,
MANGALA DEVI HAATE KAGAJ UDYOG PVT.LTD,Sindhupalchowk,Private,2050,
GWOANGJHAU GARMENT INDS PVT.LTD,Sindhupalchowk,Private,2050,
HOTEL HILL TOWN PVT. LTD.,Sindhupalchowk,Private,2051,
HIMALAYA BANASPATI TEL PRASODHAN UDYOG,Sindhupalchowk,Private,2052,
GREEN HILL TIMBER INDUSTRIES,Sindhupalchowk,Private,2052,
JUGAL HIGH VISION HALL,Sindhupalchowk,Private,2052,
HARSHA SHU MOUNTAIN RESORT,Sindhupalchowk,Private,2052,
THE BOARDERLAND RESORT HOTEL,Sindhupalchowk,Private,2053,
SINDHU INTERNATIONAL ENGLISH BOARDING SCHOOL,Sindhupalchowk,Private,2053,
SUNKOSHI SCHOOL PVT.LTD.,Sindhupalchowk,Private,2053,
CHANDESWARI ENGLISH BOARDING SCHOOL PVT.LTD.,Sindhupalchowk,Private,2053,
D.P.L MODERN SCHOOL PVT.LTD.,Sindhupalchowk,Private,2053,
PERFECT ENGLISH SCHOOL PVT.LTD.,Sindhupalchowk,Private,2053,
GOLDEN BRIGHT FUTURE BOARDING SCHOOL PVT.LTD.,Sindhupalchowk,Private,2053,
RAFT NEPAL PVT.LTD.,Sindhupalchowk,Private,2054,
SINDHU BIKAS ENGLISH SCHOOL PVT.LTD.,Sindhupalchowk,Private,2054,
LIGHT OF STAR ENGLISH SCHOOL PVT.LTD.,Sindhupalchowk,Private,2054,
SUPER YONJAN NIRMAN SEWA,Sindhupalchowk,Private,2054,
MELAMCHI BAHUUDDESSIYA KRISHI JANYA UDYOG,Sindhupalchowk,Private,2054,
KABHRE RODA UDYOG PVT.LTD.,Sindhupalchowk,Private,2055,
NEW FUTURE CONSTRUCTION,Sindhupalchowk,Private,2055,
CHHEMADEVI RODA DHUNGA UDYOG PVT.LTD.,Sindhupalchowk,Private,2055,
SUNKOSHI JUNGLE RESORT,Sindhupalchowk,Private,2056,
SUKUTE BEACH ADVENTURE CAMP RESORT,Sindhupalchowk,Private,2056,
BHOTEKOSHI DHUWANI SEWA,Sindhupalchowk,Private,2056,
SINDHU RODA UDDHYOG PVT. LTD.,Sindhupalchowk,Private,2056,
MOUNT EVEREST EXPORT & IMPORT TRADING COMPANY,Sindhupalchowk,Private,2056,
SINDHU CARRIER,Sindhupalchowk,Private,2057,
MITERI HILLTOP RESORT,Sindhupalchowk,Private,2057,
KAKANI CHHYOLING GUEST HOUSE,Sindhupalchowk,Private,2057,
SHREE MAHAKALI NIRMAN SEWA,Sindhupalchowk,Private,2057,
KAPEEL MANPOWER,Sindhupalchowk,Private,2057,
BHOTEKOSHI WAVES,Sindhupalchowk,Private,2057,
SHANKER CONCERN,Sindhupalchowk,Private,2057,
MELAMCHI RODA DHUNGA UDHYOG,Sindhupalchowk,Private,2057,
SINDHU CABLE NETWORK,Sindhupalchowk,Private,2058,
SHERPA & COMPANY,Sindhupalchowk,Private,2058,
PACHA POKHARI RODA DHUNGA UDHYOG,Sindhupalchowk,Private,2058,
NAWA DURGA RODA DHUNGA UDHYOG,Sindhupalchowk,Private,2058,
BHUMI NIRMAN SEWA,Sindhupalchowk,Private,2058,
L M A C (LISTIMAI AMA CHHOMEN) HIMALAYAN RESORT,Sindhupalchowk,Private,2058,
GHANGCHAL RESTAURANT & BAR,Sindhupalchowk,Private,2058,
MECHI MAHAKALI DHUWANI SEWA,Sindhupalchowk,Private,2058,
MELAMCHI BAHUUDDESHIYA SEWA COMPANY,Sindhupalchowk,Private,2058,
caravan hydropower and suppliers,Sindhupalchowk,Private,2058,
CARAVAN HYDROPOWER & SUPPLIERS,Sindhupalchowk,Private,2058,
BRIGHT STAR,Sindhupalchowk,Private,2058,
SIDDHARTHA GAUTAM BUDDHA TEA & COFFEE,Sindhupalchowk,Private,2058,
WINDOW CABLE NETWORK PVT. LTD.,Sindhupalchowk,Private,2059,
"KETU ENGLISH BOARDING SCHOOL, SINDHUPALCHOWK",Sindhupalchowk,Private,2059,
DISTAR HOME APPLIANCES,Sindhupalchowk,Private,2059,
SINDHU URJA PRABARDHAN KENDRA,Sindhupalchowk,Private,2059,
NAYA SUNAULO UJJWAL BHABISHYA SINDHUPALCHOWK,Sindhupalchowk,Private,2059,
EMMANUEL ENGLISH BOARDING SCHOOL TATOPANI,Sindhupalchowk,Private,2059,
SANYUKTA EKATA BOARDING SCHOOL CHAUTARA,Sindhupalchowk,Private,2059,
MELAMCHI CHALCHITRA MANDIR,Sindhupalchowk,Private,2060,
SELANG R.S.TEA INDUSTRIES,Sindhupalchowk,Private,2060,
MELAMCHI DOVAN STONE CRUSER INDUSTRIES,Sindhupalchowk,Private,2060,
MELAMCHI SANGAM SECURITY SERVICE,Sindhupalchowk,Private,2060,
PRIVATE PARADISE SCHOOL,Sindhupalchowk,Private,2060,
GREEN LAND ENGLISH SCHOOL SINDHUPALCHOWK,Sindhupalchowk,Private,2060,
CHAUTARA BHIMESHOR CABLE NETWORK,Sindhupalchowk,Private,2061,
SETI DEVI INTERNATIONAL,Sindhupalchowk,Private,2061,
ARANIKO ECO RESORT,Sindhupalchowk,Private,2061,
N.D.S. HIMALI CHIYA UDHYOG,Sindhupalchowk,Private,2061,
ARANIKO MINERAL WATER,Sindhupalchowk,Private,2061,
PANCHPOKHARI CABLE NETWORK,Sindhupalchowk,Private,2061,
SHIKSHA VIKASH COMPANY,Sindhupalchowk,Private,2061,
BHANDARI BUILDERS,Sindhupalchowk,Private,2061,
KODARI CABLE,Sindhupalchowk,Private,2062,
AAMA HYOLMO YATAYAT,Sindhupalchowk,Private,2062,
TALAMARANG CABLE TELEVISION NETWORK,Sindhupalchowk,Private,2062,
MELAMCHI POLYCLINIC AND RESEARCH CENTRE,Sindhupalchowk,Private,2062,
harati concern,Sindhupalchowk,Private,2063,
HARATI CONCERN,Sindhupalchowk,Private,2063,
KHARENDRA SUPPLIERS,Sindhupalchowk,Private,2063,
PRAGATI ENGLISH SCHOOL MELAMCHI,Sindhupalchowk,Private,2063,
TRANSPORTATION & PORTER SERVICE,Sindhupalchowk,Private,2063,
KETU ACADEMY ENGLISH BOARDING SCHOOL BARBISE,Sindhupalchowk,Private,2063,
CHANDIKA ENGLISH BOARDING SCHOOL PVT.LTD. BARBISE,Sindhupalchowk,Private,2063,
BLESS ENGLISH BOARDING SCHOOL,Sindhupalchowk,Private,2063,
SADABAHAR ACADEMY FOUNDATION COMPANY,Sindhupalchowk,Private,2063,
ALLIANCE EDUCATION HOME,Sindhupalchowk,Private,2063,
CHAUTARFI HOUSING COMPANY,Sindhupalchowk,Private,2063,
TATOPANI NIRVANA  ACADEMY,Sindhupalchowk,Private,2064,
HIMALAYAN TROUT AND  COLD WATER FISH PRODUCTION CENTER,Sindhupalchowk,Private,2064,
MELAMCHI EX-SECURITY SERVICE,Sindhupalchowk,Private,2064,
KHAREL DEPARTMENTAL STORE,Sindhupalchowk,Private,2064,
NEPAL TROUT PRODUCT CENTRE,Sindhupalchowk,Private,2064,
BOSH HOME APPLIANCES,Sindhupalchowk,Private,2064,
RADHA KRISHNA AND BROTHER'S CONSTRUCTION,Sindhupalchowk,Private,2064,
SINDHU STONE AND  CONSTRUCTION COMPANY,Sindhupalchowk,Private,2064,
Pragati English School Barhabise,Sindhupalchowk,Private,2064,
Modern Nepal Childrens Academy Sindhu,Sindhupalchowk,Private,2064,
Phulbari R.S. Trade,Sindhupalchowk,Private,2065,
Nepal Drishtibihin Sanskritik Band,Sindhupalchowk,Non-Profit Distributing,2065,
Chhomin Mineral Water,Sindhupalchowk,Private,2065,
Sunkoshi Khani Tatha Bhugarbha Udhyog,Sindhupalchowk,Private,2065,
Buddhibhakta Construction Company,Sindhupalchowk,Private,2065,
Aarati Business,Sindhupalchowk,Private,2065,
Jugal Media,Sindhupalchowk,Private,2065,
Durga Janasewa Samudayik Kendra,Sindhupalchowk,Non-Profit Distributing,2065,
Keystone Public Academy,Sindhupalchowk,Private,2065,
Prabina Helambu Swiss Resorts,Sindhupalchowk,Private,2065,
Navabuddha Herbal Incence,Sindhupalchowk,Private,2065,
Sindhu Sadabar Aspatal,Sindhupalchowk,Private,2065,
Cable Vision Network,Sindhupalchowk,Private,2065,
Kshamadevi Furniture Tatha Vaniyar Pata Udhyog,Sindhupalchowk,Private,2065,
Sangey Hotel and Resort,Sindhupalchowk,Private,2065,
Sapience International Boarding School,Sindhupalchowk,Private,2065,
Palchowki Mai Roda Dhunga Udhyog,Sindhupalchowk,Private,2066,
Friendship Satra Investment,Sindhupalchowk,Private,2066,
Jugal Cable Network,Sindhupalchowk,Private,2066,
T.R.T. Eco Products Manufacture,Sindhupalchowk,Private,2066,
Panchbatika Nepal,Sindhupalchowk,Private,2066,
Melamchi Phatkeswor Indrawati Stone,Sindhupalchowk,Private,2066,
Hotel Melamchi Point With Cafe Zone,Sindhupalchowk,Private,2066,
Jalapa Infrastructure,Sindhupalchowk,Private,2066,
Palchowk Mai Infa,Sindhupalchowk,Private,2066,
