ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HIMALAYA RICE OIL AND FLOUR MILLS,Siraha,Private,2009,
MAHABIR INDUSTRY,Siraha,Private,2009,
SAPTARI SUGAR INDUSTRIES,Siraha,Private,2018,
SAGARMATHA TRANSPORT COMPANY,Siraha,Private,2026,
J. K. RICE MILL INDUSTRIES,Siraha,Private,2029,
SAGARMATHA BAKHRA PALAN,Siraha,Private,2030,
SAPTARI SAJHA BUS SEWA,Siraha,Private,2031,
JAYA SHREE SOLVENT,Siraha,Private,2033,
INDHU KHANDSARI SUGAR UDHYOG,Siraha,Private,2033,
PUSPATI TAKIJ,Siraha,Private,2033,
JAYA SHREE SOLVENT,Siraha,Private,2034,
PRAKASH RICE MILLS,Siraha,Private,2034,
LAXMI LAGHUBITTA BITTIYA SANSTHA,Siraha,Private,2037,
PARSHWA RICE MILL,Siraha,Private,2041,
SHANKER LOGENS,Siraha,Private,2044,
Thakur Kastha Udhyog,Siraha,Private,2044,
Gautm Chalchitra Mandir,Siraha,Private,2044,
Siraha Dhuwani Sewa,Siraha,Private,2045,
Himalayan  Farm,Siraha,Private,2047,
Himalayan   Human  Pipe  and  Concreat   Industries,Siraha,Private,2047,
Krishanal Carpet Crafts,Siraha,Private,2048,
Kuswaha Chalachitra Mandir,Siraha,Private,2049,
EVEREST SUNMIKE UDHYOG PVT.LTD,Siraha,Private,2049,
ABALA UPABHOKTA SEWA PVT LTD,Siraha,Private,2050,
NEW SAGARMATHA  BYABASAIK SEWA,Siraha,Private,2050,
SHARADA KHADSARI CHINI MILLS,Siraha,Private,2051,
SAMAKON LINKERS,Siraha,Private,2051,
KHAPANGI PRODUCTION,Siraha,Private,2051,
TEAM WORK MOVIES,Siraha,Private,2051,
NIMALCHULI FEED INDUSTRIES,Siraha,Private,2052,
HANUMAN COLD STORAGE,Siraha,Private,2052,
SHUBHALAXMI GHADERI JAGGA KHARID BIKRI KENDRA,Siraha,Private,2052,
RADHA KRISHNA FURNITURE UDYOG PVT.LTD.,Siraha,Private,2053,
TEXPO NEPAL,Siraha,Private,2053,
K.B.C. INTERNATIONAL COMPANY,Siraha,Private,2053,
PRASIDDHA ENTERPRISES PVT.LTD.,Siraha,Private,2053,
SOMANI CEMENT COMPANY,Siraha,Public,2053,
RISING (THE) ENGLISH BOARDING SCHOOL,Siraha,Private,2053,
EVER GREEN ACADEMY,Siraha,Private,2053,
